"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.987572e+001,
3001375000, -4.986575e+001,
3002750000, -4.980976e+001,
3004125000, -4.974119e+001,
3005500000, -4.976496e+001,
3006875000, -4.964537e+001,
3008250000, -4.967120e+001,
3009625000, -4.967220e+001,
3011000000, -4.959270e+001,
3012375000, -4.958873e+001,
3013750000, -4.955302e+001,
3015125000, -4.958468e+001,
3016500000, -4.951514e+001,
3017875000, -4.946424e+001,
3019250000, -4.945705e+001,
3020625000, -4.932409e+001,
3022000000, -4.933897e+001,
3023375000, -4.926004e+001,
3024750000, -4.923148e+001,
3026125000, -4.916805e+001,
3027500000, -4.916428e+001,
3028875000, -4.907006e+001,
3030250000, -4.899873e+001,
3031625000, -4.897812e+001,
3033000000, -4.891650e+001,
3034375000, -4.892732e+001,
3035750000, -4.884462e+001,
3037125000, -4.882949e+001,
3038500000, -4.876211e+001,
3039875000, -4.871189e+001,
3041250000, -4.867967e+001,
3042625000, -4.862746e+001,
3044000000, -4.864439e+001,
3045375000, -4.857731e+001,
3046750000, -4.850298e+001,
3048125000, -4.849571e+001,
3049500000, -4.846097e+001,
3050875000, -4.845877e+001,
3052250000, -4.840225e+001,
3053625000, -4.838266e+001,
3055000000, -4.830313e+001,
3056375000, -4.828442e+001,
3057750000, -4.823977e+001,
3059125000, -4.822667e+001,
3060500000, -4.818816e+001,
3061875000, -4.814558e+001,
3063250000, -4.811708e+001,
3064625000, -4.814226e+001,
3066000000, -4.808189e+001,
3067375000, -4.802329e+001,
3068750000, -4.803184e+001,
3070125000, -4.795743e+001,
3071500000, -4.796515e+001,
3072875000, -4.794354e+001,
3074250000, -4.791457e+001,
3075625000, -4.789494e+001,
3077000000, -4.786289e+001,
3078375000, -4.783646e+001,
3079750000, -4.776847e+001,
3081125000, -4.776450e+001,
3082500000, -4.769474e+001,
3083875000, -4.778265e+001,
3085250000, -4.767800e+001,
3086625000, -4.762790e+001,
3088000000, -4.762094e+001,
3089375000, -4.757813e+001,
3090750000, -4.757221e+001,
3092125000, -4.758798e+001,
3093500000, -4.756285e+001,
3094875000, -4.756153e+001,
3096250000, -4.753073e+001,
3097625000, -4.749176e+001,
3099000000, -4.750679e+001,
3100375000, -4.747728e+001,
3101750000, -4.751295e+001,
3103125000, -4.744535e+001,
3104500000, -4.742295e+001,
3105875000, -4.742987e+001,
3107250000, -4.728041e+001,
3108625000, -4.731989e+001,
3110000000, -4.727618e+001,
3111375000, -4.728498e+001,
3112750000, -4.727706e+001,
3114125000, -4.721277e+001,
3115500000, -4.719521e+001,
3116875000, -4.720283e+001,
3118250000, -4.717593e+001,
3119625000, -4.715170e+001,
3121000000, -4.711447e+001,
3122375000, -4.707226e+001,
3123750000, -4.706318e+001,
3125125000, -4.707682e+001,
3126500000, -4.709951e+001,
3127875000, -4.701983e+001,
3129250000, -4.704198e+001,
3130625000, -4.699913e+001,
3132000000, -4.697829e+001,
3133375000, -4.700061e+001,
3134750000, -4.699318e+001,
3136125000, -4.690569e+001,
3137500000, -4.693148e+001,
3138875000, -4.688726e+001,
3140250000, -4.697140e+001,
3141625000, -4.691815e+001,
3143000000, -4.689856e+001,
3144375000, -4.691395e+001,
3145750000, -4.686913e+001,
3147125000, -4.682222e+001,
3148500000, -4.679125e+001,
3149875000, -4.687237e+001,
3151250000, -4.677468e+001,
3152625000, -4.678551e+001,
3154000000, -4.681925e+001,
3155375000, -4.678133e+001,
3156750000, -4.679444e+001,
3158125000, -4.672676e+001,
3159500000, -4.672785e+001,
3160875000, -4.673060e+001,
3162250000, -4.673233e+001,
3163625000, -4.680090e+001,
3165000000, -4.678841e+001,
3166375000, -4.676926e+001,
3167750000, -4.676532e+001,
3169125000, -4.677502e+001,
3170500000, -4.675595e+001,
3171875000, -4.677963e+001,
3173250000, -4.678770e+001,
3174625000, -4.679233e+001,
3176000000, -4.681432e+001,
3177375000, -4.683849e+001,
3178750000, -4.687548e+001,
3180125000, -4.683733e+001,
3181500000, -4.689619e+001,
3182875000, -4.689008e+001,
3184250000, -4.687778e+001,
3185625000, -4.694219e+001,
3187000000, -4.689486e+001,
3188375000, -4.695092e+001,
3189750000, -4.692787e+001,
3191125000, -4.693286e+001,
3192500000, -4.695525e+001,
3193875000, -4.696147e+001,
3195250000, -4.701540e+001,
3196625000, -4.701917e+001,
3198000000, -4.704055e+001,
3199375000, -4.706578e+001,
3200750000, -4.709558e+001,
3202125000, -4.714600e+001,
3203500000, -4.717430e+001,
3204875000, -4.719902e+001,
3206250000, -4.719284e+001,
3207625000, -4.722701e+001,
3209000000, -4.724211e+001,
3210375000, -4.727974e+001,
3211750000, -4.730952e+001,
3213125000, -4.730865e+001,
3214500000, -4.737580e+001,
3215875000, -4.738588e+001,
3217250000, -4.743481e+001,
3218625000, -4.746360e+001,
3220000000, -4.747744e+001,
3221375000, -4.753185e+001,
3222750000, -4.756862e+001,
3224125000, -4.762428e+001,
3225500000, -4.762797e+001,
3226875000, -4.768506e+001,
3228250000, -4.770476e+001,
3229625000, -4.775099e+001,
3231000000, -4.780349e+001,
3232375000, -4.782077e+001,
3233750000, -4.786613e+001,
3235125000, -4.794208e+001,
3236500000, -4.796439e+001,
3237875000, -4.798123e+001,
3239250000, -4.804435e+001,
3240625000, -4.804863e+001,
3242000000, -4.814103e+001,
3243375000, -4.813129e+001,
3244750000, -4.823012e+001,
3246125000, -4.823527e+001,
3247500000, -4.824484e+001,
3248875000, -4.826505e+001,
3250250000, -4.832499e+001,
3251625000, -4.832655e+001,
3253000000, -4.834642e+001,
3254375000, -4.835727e+001,
3255750000, -4.841275e+001,
3257125000, -4.844297e+001,
3258500000, -4.844897e+001,
3259875000, -4.851502e+001,
3261250000, -4.854737e+001,
3262625000, -4.849524e+001,
3264000000, -4.851749e+001,
3265375000, -4.856538e+001,
3266750000, -4.848981e+001,
3268125000, -4.859120e+001,
3269500000, -4.856009e+001,
3270875000, -4.863518e+001,
3272250000, -4.857708e+001,
3273625000, -4.857661e+001,
3275000000, -4.856776e+001,
3276375000, -4.856462e+001,
3277750000, -4.858078e+001,
3279125000, -4.861216e+001,
3280500000, -4.853844e+001,
3281875000, -4.859251e+001,
3283250000, -4.853440e+001,
3284625000, -4.855123e+001,
3286000000, -4.851541e+001,
3287375000, -4.850296e+001,
3288750000, -4.853406e+001,
3290125000, -4.848288e+001,
3291500000, -4.844023e+001,
3292875000, -4.839314e+001,
3294250000, -4.836702e+001,
3295625000, -4.841314e+001,
3297000000, -4.829663e+001,
3298375000, -4.833627e+001,
3299750000, -4.826926e+001,
3301125000, -4.823068e+001,
3302500000, -4.820784e+001,
3303875000, -4.818153e+001,
3305250000, -4.814375e+001,
3306625000, -4.808297e+001,
3308000000, -4.811882e+001,
3309375000, -4.805663e+001,
3310750000, -4.804251e+001,
3312125000, -4.794464e+001,
3313500000, -4.789040e+001,
3314875000, -4.789618e+001,
3316250000, -4.788604e+001,
3317625000, -4.784250e+001,
3319000000, -4.777458e+001,
3320375000, -4.774627e+001,
3321750000, -4.773328e+001,
3323125000, -4.772073e+001,
3324500000, -4.769693e+001,
3325875000, -4.767378e+001,
3327250000, -4.759941e+001,
3328625000, -4.755220e+001,
3330000000, -4.753046e+001,
3331375000, -4.746795e+001,
3332750000, -4.748573e+001,
3334125000, -4.743652e+001,
3335500000, -4.738852e+001,
3336875000, -4.737337e+001,
3338250000, -4.729934e+001,
3339625000, -4.727749e+001,
3341000000, -4.728716e+001,
3342375000, -4.721364e+001,
3343750000, -4.722116e+001,
3345125000, -4.724138e+001,
3346500000, -4.722574e+001,
3347875000, -4.714216e+001,
3349250000, -4.711885e+001,
3350625000, -4.712089e+001,
3352000000, -4.708465e+001,
3353375000, -4.710038e+001,
3354750000, -4.712321e+001,
3356125000, -4.708365e+001,
3357500000, -4.707772e+001,
3358875000, -4.707817e+001,
3360250000, -4.707689e+001,
3361625000, -4.707182e+001,
3363000000, -4.710997e+001,
3364375000, -4.707715e+001,
3365750000, -4.710629e+001,
3367125000, -4.710479e+001,
3368500000, -4.711501e+001,
3369875000, -4.712189e+001,
3371250000, -4.717792e+001,
3372625000, -4.718012e+001,
3374000000, -4.717025e+001,
3375375000, -4.719104e+001,
3376750000, -4.722980e+001,
3378125000, -4.727204e+001,
3379500000, -4.724555e+001,
3380875000, -4.728730e+001,
3382250000, -4.727271e+001,
3383625000, -4.732096e+001,
3385000000, -4.730486e+001,
3386375000, -4.733499e+001,
3387750000, -4.734903e+001,
3389125000, -4.737217e+001,
3390500000, -4.741007e+001,
3391875000, -4.744180e+001,
3393250000, -4.746991e+001,
3394625000, -4.750806e+001,
3396000000, -4.752364e+001,
3397375000, -4.749134e+001,
3398750000, -4.754306e+001,
3400125000, -4.758818e+001,
3401500000, -4.760112e+001,
3402875000, -4.762307e+001,
3404250000, -4.767435e+001,
3405625000, -4.765154e+001,
3407000000, -4.773056e+001,
3408375000, -4.770786e+001,
3409750000, -4.774720e+001,
3411125000, -4.776366e+001,
3412500000, -4.777666e+001,
