"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -5.003535e+001,
3001375000, -4.995173e+001,
3002750000, -4.991133e+001,
3004125000, -4.985315e+001,
3005500000, -4.977540e+001,
3006875000, -4.979345e+001,
3008250000, -4.977405e+001,
3009625000, -4.971424e+001,
3011000000, -4.968713e+001,
3012375000, -4.967978e+001,
3013750000, -4.959021e+001,
3015125000, -4.960632e+001,
3016500000, -4.956130e+001,
3017875000, -4.950640e+001,
3019250000, -4.945330e+001,
3020625000, -4.939660e+001,
3022000000, -4.941396e+001,
3023375000, -4.933176e+001,
3024750000, -4.928802e+001,
3026125000, -4.929768e+001,
3027500000, -4.923807e+001,
3028875000, -4.915532e+001,
3030250000, -4.911848e+001,
3031625000, -4.911093e+001,
3033000000, -4.910857e+001,
3034375000, -4.904641e+001,
3035750000, -4.901225e+001,
3037125000, -4.894497e+001,
3038500000, -4.887709e+001,
3039875000, -4.894078e+001,
3041250000, -4.879270e+001,
3042625000, -4.878601e+001,
3044000000, -4.877209e+001,
3045375000, -4.870800e+001,
3046750000, -4.866695e+001,
3048125000, -4.862029e+001,
3049500000, -4.857084e+001,
3050875000, -4.855186e+001,
3052250000, -4.847274e+001,
3053625000, -4.847974e+001,
3055000000, -4.845025e+001,
3056375000, -4.841589e+001,
3057750000, -4.836991e+001,
3059125000, -4.831351e+001,
3060500000, -4.833780e+001,
3061875000, -4.831849e+001,
3063250000, -4.825559e+001,
3064625000, -4.820374e+001,
3066000000, -4.819951e+001,
3067375000, -4.814040e+001,
3068750000, -4.813598e+001,
3070125000, -4.811272e+001,
3071500000, -4.811942e+001,
3072875000, -4.803043e+001,
3074250000, -4.804712e+001,
3075625000, -4.800346e+001,
3077000000, -4.803049e+001,
3078375000, -4.797690e+001,
3079750000, -4.794086e+001,
3081125000, -4.793514e+001,
3082500000, -4.791574e+001,
3083875000, -4.784720e+001,
3085250000, -4.782755e+001,
3086625000, -4.779592e+001,
3088000000, -4.783174e+001,
3089375000, -4.778981e+001,
3090750000, -4.775739e+001,
3092125000, -4.777285e+001,
3093500000, -4.773746e+001,
3094875000, -4.774924e+001,
3096250000, -4.766964e+001,
3097625000, -4.767970e+001,
3099000000, -4.765612e+001,
3100375000, -4.761887e+001,
3101750000, -4.762632e+001,
3103125000, -4.757079e+001,
3104500000, -4.759556e+001,
3105875000, -4.758820e+001,
3107250000, -4.759040e+001,
3108625000, -4.756473e+001,
3110000000, -4.750816e+001,
3111375000, -4.749002e+001,
3112750000, -4.749952e+001,
3114125000, -4.747851e+001,
3115500000, -4.745033e+001,
3116875000, -4.741891e+001,
3118250000, -4.742554e+001,
3119625000, -4.735435e+001,
3121000000, -4.730758e+001,
3122375000, -4.735708e+001,
3123750000, -4.732512e+001,
3125125000, -4.727239e+001,
3126500000, -4.731115e+001,
3127875000, -4.722604e+001,
3129250000, -4.722454e+001,
3130625000, -4.721859e+001,
3132000000, -4.721012e+001,
3133375000, -4.716466e+001,
3134750000, -4.718328e+001,
3136125000, -4.713396e+001,
3137500000, -4.714145e+001,
3138875000, -4.716748e+001,
3140250000, -4.709602e+001,
3141625000, -4.708355e+001,
3143000000, -4.711626e+001,
3144375000, -4.704786e+001,
3145750000, -4.704586e+001,
3147125000, -4.711167e+001,
3148500000, -4.709160e+001,
3149875000, -4.711726e+001,
3151250000, -4.705776e+001,
3152625000, -4.709813e+001,
3154000000, -4.709713e+001,
3155375000, -4.706213e+001,
3156750000, -4.708910e+001,
3158125000, -4.707286e+001,
3159500000, -4.707739e+001,
3160875000, -4.710552e+001,
3162250000, -4.712719e+001,
3163625000, -4.712158e+001,
3165000000, -4.708760e+001,
3166375000, -4.716520e+001,
3167750000, -4.718882e+001,
3169125000, -4.717040e+001,
3170500000, -4.713503e+001,
3171875000, -4.719684e+001,
3173250000, -4.723841e+001,
3174625000, -4.721146e+001,
3176000000, -4.721883e+001,
3177375000, -4.727365e+001,
3178750000, -4.726056e+001,
3180125000, -4.730425e+001,
