"S12 Log Mag"
"Frequency (Hz)","dB",
3000000000, -5.039350e+001,
3001250000, -5.038704e+001,
3002500000, -5.037050e+001,
3003750000, -5.036710e+001,
3005000000, -5.031939e+001,
3006250000, -5.022419e+001,
3007500000, -5.018816e+001,
3008750000, -5.015328e+001,
3010000000, -5.009221e+001,
3011250000, -5.012883e+001,
3012500000, -5.002126e+001,
3013750000, -5.002494e+001,
3015000000, -5.000761e+001,
3016250000, -4.997370e+001,
3017500000, -4.994451e+001,
3018750000, -4.992239e+001,
3020000000, -4.983585e+001,
3021250000, -4.980881e+001,
3022500000, -4.976229e+001,
3023750000, -4.971789e+001,
3025000000, -4.972940e+001,
3026250000, -4.962753e+001,
3027500000, -4.963911e+001,
3028750000, -4.960099e+001,
3030000000, -4.950536e+001,
3031250000, -4.946283e+001,
3032500000, -4.947086e+001,
3033750000, -4.942790e+001,
3035000000, -4.937412e+001,
3036250000, -4.934179e+001,
3037500000, -4.927046e+001,
3038750000, -4.927467e+001,
3040000000, -4.920831e+001,
3041250000, -4.919658e+001,
3042500000, -4.911573e+001,
3043750000, -4.910775e+001,
3045000000, -4.910733e+001,
3046250000, -4.902578e+001,
3047500000, -4.902915e+001,
3048750000, -4.893429e+001,
3050000000, -4.893826e+001,
3051250000, -4.887620e+001,
3052500000, -4.888944e+001,
3053750000, -4.875664e+001,
3055000000, -4.878721e+001,
3056250000, -4.873446e+001,
3057500000, -4.869626e+001,
3058750000, -4.865602e+001,
3060000000, -4.866406e+001,
3061250000, -4.864044e+001,
3062500000, -4.862900e+001,
3063750000, -4.860030e+001,
3065000000, -4.858553e+001,
3066250000, -4.855376e+001,
3067500000, -4.852911e+001,
3068750000, -4.851856e+001,
3070000000, -4.849854e+001,
3071250000, -4.845539e+001,
3072500000, -4.844594e+001,
3073750000, -4.841173e+001,
3075000000, -4.840318e+001,
3076250000, -4.837843e+001,
3077500000, -4.841338e+001,
3078750000, -4.838998e+001,
3080000000, -4.836917e+001,
3081250000, -4.839217e+001,
3082500000, -4.833262e+001,
3083750000, -4.828901e+001,
3085000000, -4.827990e+001,
3086250000, -4.830441e+001,
3087500000, -4.826537e+001,
3088750000, -4.827098e+001,
3090000000, -4.826173e+001,
3091250000, -4.821373e+001,
3092500000, -4.822439e+001,
3093750000, -4.813655e+001,
3095000000, -4.817082e+001,
3096250000, -4.818935e+001,
3097500000, -4.808434e+001,
3098750000, -4.807234e+001,
3100000000, -4.807042e+001,
3101250000, -4.811378e+001,
3102500000, -4.807379e+001,
3103750000, -4.804223e+001,
3105000000, -4.799567e+001,
3106250000, -4.798274e+001,
3107500000, -4.794520e+001,
3108750000, -4.791682e+001,
3110000000, -4.791791e+001,
3111250000, -4.789817e+001,
3112500000, -4.790553e+001,
3113750000, -4.786596e+001,
3115000000, -4.785283e+001,
3116250000, -4.779590e+001,
3117500000, -4.779763e+001,
3118750000, -4.780516e+001,
3120000000, -4.779941e+001,
3121250000, -4.777438e+001,
3122500000, -4.775773e+001,
3123750000, -4.771497e+001,
3125000000, -4.771725e+001,
3126250000, -4.775551e+001,
3127500000, -4.771511e+001,
3128750000, -4.768995e+001,
3130000000, -4.761748e+001,
3131250000, -4.767989e+001,
3132500000, -4.763668e+001,
3133750000, -4.768677e+001,
3135000000, -4.761382e+001,
3136250000, -4.761304e+001,
3137500000, -4.757469e+001,
