"S12 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.713762e+001,
3001375000, -4.717149e+001,
3002750000, -4.707077e+001,
3004125000, -4.703867e+001,
3005500000, -4.700983e+001,
3006875000, -4.692542e+001,
3008250000, -4.694655e+001,
3009625000, -4.689651e+001,
3011000000, -4.684727e+001,
3012375000, -4.681327e+001,
3013750000, -4.674588e+001,
3015125000, -4.672702e+001,
3016500000, -4.669463e+001,
3017875000, -4.665346e+001,
3019250000, -4.660415e+001,
3020625000, -4.655642e+001,
3022000000, -4.652438e+001,
3023375000, -4.650227e+001,
3024750000, -4.642104e+001,
3026125000, -4.639355e+001,
3027500000, -4.635868e+001,
3028875000, -4.627883e+001,
3030250000, -4.622646e+001,
3031625000, -4.616129e+001,
3033000000, -4.612922e+001,
3034375000, -4.611529e+001,
3035750000, -4.608813e+001,
3037125000, -4.603410e+001,
3038500000, -4.598810e+001,
3039875000, -4.595462e+001,
3041250000, -4.590555e+001,
3042625000, -4.585999e+001,
3044000000, -4.584289e+001,
3045375000, -4.581083e+001,
3046750000, -4.576327e+001,
3048125000, -4.573219e+001,
3049500000, -4.569832e+001,
3050875000, -4.564731e+001,
3052250000, -4.563839e+001,
3053625000, -4.558291e+001,
3055000000, -4.556331e+001,
3056375000, -4.551768e+001,
3057750000, -4.548472e+001,
3059125000, -4.545898e+001,
3060500000, -4.545055e+001,
3061875000, -4.542562e+001,
3063250000, -4.541187e+001,
3064625000, -4.537576e+001,
3066000000, -4.533091e+001,
3067375000, -4.529662e+001,
3068750000, -4.526395e+001,
3070125000, -4.524995e+001,
3071500000, -4.522866e+001,
3072875000, -4.524733e+001,
3074250000, -4.518414e+001,
3075625000, -4.518658e+001,
3077000000, -4.516447e+001,
3078375000, -4.517433e+001,
3079750000, -4.514743e+001,
3081125000, -4.513981e+001,
3082500000, -4.513516e+001,
3083875000, -4.511079e+001,
3085250000, -4.511287e+001,
3086625000, -4.507579e+001,
3088000000, -4.510172e+001,
3089375000, -4.506705e+001,
3090750000, -4.504449e+001,
3092125000, -4.504274e+001,
3093500000, -4.504939e+001,
3094875000, -4.500317e+001,
3096250000, -4.503984e+001,
3097625000, -4.498826e+001,
3099000000, -4.497797e+001,
3100375000, -4.498852e+001,
3101750000, -4.497718e+001,
3103125000, -4.496292e+001,
3104500000, -4.493405e+001,
3105875000, -4.496630e+001,
3107250000, -4.496432e+001,
3108625000, -4.495112e+001,
3110000000, -4.495761e+001,
3111375000, -4.491864e+001,
3112750000, -4.492987e+001,
3114125000, -4.490398e+001,
3115500000, -4.491690e+001,
3116875000, -4.488722e+001,
3118250000, -4.487928e+001,
3119625000, -4.482841e+001,
3121000000, -4.484682e+001,
3122375000, -4.481172e+001,
3123750000, -4.479512e+001,
3125125000, -4.478571e+001,
3126500000, -4.475586e+001,
3127875000, -4.477180e+001,
3129250000, -4.474685e+001,
3130625000, -4.474017e+001,
3132000000, -4.471483e+001,
3133375000, -4.474781e+001,
3134750000, -4.469103e+001,
3136125000, -4.469195e+001,
3137500000, -4.466208e+001,
3138875000, -4.464231e+001,
3140250000, -4.464625e+001,
3141625000, -4.459957e+001,
3143000000, -4.458373e+001,
3144375000, -4.457122e+001,
3145750000, -4.455234e+001,
3147125000, -4.452995e+001,
3148500000, -4.453679e+001,
3149875000, -4.452469e+001,
3151250000, -4.455389e+001,
3152625000, -4.455478e+001,
3154000000, -4.454613e+001,
3155375000, -4.455099e+001,
3156750000, -4.454257e+001,
3158125000, -4.454068e+001,
3159500000, -4.455640e+001,
3160875000, -4.457110e+001,
3162250000, -4.456976e+001,
3163625000, -4.458055e+001,
3165000000, -4.458080e+001,
3166375000, -4.459944e+001,
3167750000, -4.460741e+001,
3169125000, -4.462073e+001,
3170500000, -4.462267e+001,
3171875000, -4.463034e+001,
3173250000, -4.467180e+001,
