"S12 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.733830e+001,
3001375000, -4.731358e+001,
3002750000, -4.727747e+001,
3004125000, -4.724239e+001,
3005500000, -4.716855e+001,
3006875000, -4.713213e+001,
3008250000, -4.715903e+001,
3009625000, -4.709193e+001,
3011000000, -4.706134e+001,
3012375000, -4.702684e+001,
3013750000, -4.702616e+001,
3015125000, -4.696171e+001,
3016500000, -4.691835e+001,
3017875000, -4.688068e+001,
3019250000, -4.679437e+001,
3020625000, -4.679973e+001,
3022000000, -4.673115e+001,
3023375000, -4.668438e+001,
3024750000, -4.665403e+001,
3026125000, -4.658309e+001,
3027500000, -4.653561e+001,
3028875000, -4.648168e+001,
3030250000, -4.643694e+001,
3031625000, -4.635851e+001,
3033000000, -4.635758e+001,
3034375000, -4.629712e+001,
3035750000, -4.626752e+001,
3037125000, -4.625129e+001,
3038500000, -4.617199e+001,
3039875000, -4.616594e+001,
3041250000, -4.610777e+001,
3042625000, -4.606255e+001,
3044000000, -4.600623e+001,
3045375000, -4.601355e+001,
3046750000, -4.596754e+001,
3048125000, -4.595982e+001,
3049500000, -4.590294e+001,
3050875000, -4.585984e+001,
3052250000, -4.583278e+001,
3053625000, -4.580735e+001,
3055000000, -4.578474e+001,
3056375000, -4.577518e+001,
3057750000, -4.574930e+001,
3059125000, -4.573023e+001,
3060500000, -4.570787e+001,
3061875000, -4.571159e+001,
3063250000, -4.569775e+001,
3064625000, -4.565779e+001,
3066000000, -4.567375e+001,
3067375000, -4.562033e+001,
3068750000, -4.560052e+001,
3070125000, -4.559166e+001,
3071500000, -4.560479e+001,
3072875000, -4.556801e+001,
3074250000, -4.557432e+001,
3075625000, -4.555499e+001,
3077000000, -4.556323e+001,
3078375000, -4.557176e+001,
3079750000, -4.555288e+001,
3081125000, -4.554724e+001,
3082500000, -4.550084e+001,
3083875000, -4.552739e+001,
3085250000, -4.546753e+001,
3086625000, -4.549538e+001,
3088000000, -4.545259e+001,
3089375000, -4.543454e+001,
3090750000, -4.542704e+001,
3092125000, -4.542846e+001,
3093500000, -4.545021e+001,
3094875000, -4.543624e+001,
3096250000, -4.539062e+001,
3097625000, -4.539874e+001,
3099000000, -4.537016e+001,
3100375000, -4.540927e+001,
3101750000, -4.540911e+001,
3103125000, -4.540181e+001,
3104500000, -4.536106e+001,
3105875000, -4.540333e+001,
3107250000, -4.537062e+001,
3108625000, -4.536095e+001,
3110000000, -4.532643e+001,
3111375000, -4.532242e+001,
3112750000, -4.531746e+001,
3114125000, -4.528542e+001,
3115500000, -4.528145e+001,
3116875000, -4.529245e+001,
3118250000, -4.528494e+001,
3119625000, -4.527614e+001,
3121000000, -4.524050e+001,
3122375000, -4.521093e+001,
3123750000, -4.519058e+001,
3125125000, -4.513693e+001,
3126500000, -4.513350e+001,
3127875000, -4.511816e+001,
3129250000, -4.514183e+001,
3130625000, -4.514685e+001,
3132000000, -4.510663e+001,
3133375000, -4.508765e+001,
3134750000, -4.509798e+001,
3136125000, -4.505442e+001,
3137500000, -4.504903e+001,
3138875000, -4.502982e+001,
3140250000, -4.502068e+001,
3141625000, -4.498307e+001,
3143000000, -4.496449e+001,
3144375000, -4.494012e+001,
3145750000, -4.496984e+001,
3147125000, -4.494395e+001,
3148500000, -4.493042e+001,
3149875000, -4.490094e+001,
3151250000, -4.491257e+001,
3152625000, -4.491481e+001,
3154000000, -4.488866e+001,
3155375000, -4.487311e+001,
3156750000, -4.486250e+001,
3158125000, -4.487318e+001,
3159500000, -4.487397e+001,
3160875000, -4.485615e+001,
3162250000, -4.490964e+001,
3163625000, -4.488083e+001,
3165000000, -4.488201e+001,
3166375000, -4.490168e+001,
3167750000, -4.491076e+001,
3169125000, -4.487532e+001,
3170500000, -4.492891e+001,
3171875000, -4.491186e+001,
3173250000, -4.495151e+001,
3174625000, -4.494510e+001,
3176000000, -4.495432e+001,
3177375000, -4.498897e+001,
3178750000, -4.499345e+001,
3180125000, -4.500346e+001,
3181500000, -4.504098e+001,
3182875000, -4.504795e+001,
3184250000, -4.505773e+001,
3185625000, -4.505876e+001,
3187000000, -4.505480e+001,
3188375000, -4.510049e+001,
3189750000, -4.511954e+001,
3191125000, -4.514568e+001,
3192500000, -4.517663e+001,
3193875000, -4.519596e+001,
3195250000, -4.522262e+001,
3196625000, -4.527577e+001,
3198000000, -4.530466e+001,
3199375000, -4.533896e+001,
3200750000, -4.535363e+001,
3202125000, -4.540968e+001,
3203500000, -4.544864e+001,
3204875000, -4.543858e+001,
3206250000, -4.549126e+001,
3207625000, -4.554549e+001,
3209000000, -4.556239e+001,
3210375000, -4.561553e+001,
3211750000, -4.565077e+001,
3213125000, -4.572115e+001,
3214500000, -4.576274e+001,
3215875000, -4.575983e+001,
3217250000, -4.581587e+001,
3218625000, -4.584041e+001,
3220000000, -4.584873e+001,
3221375000, -4.593460e+001,
3222750000, -4.596975e+001,
3224125000, -4.597808e+001,
3225500000, -4.604998e+001,
3226875000, -4.608455e+001,
3228250000, -4.610810e+001,
3229625000, -4.619839e+001,
3231000000, -4.620520e+001,
3232375000, -4.620977e+001,
3233750000, -4.627616e+001,
3235125000, -4.632750e+001,
3236500000, -4.633319e+001,
3237875000, -4.639414e+001,
3239250000, -4.642301e+001,
3240625000, -4.644042e+001,
3242000000, -4.650468e+001,
3243375000, -4.650991e+001,
3244750000, -4.654520e+001,
3246125000, -4.654128e+001,
