"S21 Log Mag"
"Frequency (Hz)","dB",
3200000000, -5.166323e+001,
3201250000, -5.165132e+001,
3202500000, -5.164979e+001,
3203750000, -5.173523e+001,
3205000000, -5.171939e+001,
3206250000, -5.176615e+001,
3207500000, -5.173770e+001,
3208750000, -5.169829e+001,
3210000000, -5.175006e+001,
3211250000, -5.178854e+001,
3212500000, -5.182205e+001,
3213750000, -5.186303e+001,
3215000000, -5.192686e+001,
3216250000, -5.197821e+001,
3217500000, -5.198631e+001,
3218750000, -5.212486e+001,
3220000000, -5.204306e+001,
3221250000, -5.213324e+001,
3222500000, -5.214436e+001,
3223750000, -5.218612e+001,
3225000000, -5.215222e+001,
3226250000, -5.228607e+001,
3227500000, -5.227874e+001,
3228750000, -5.231134e+001,
3230000000, -5.239888e+001,
3231250000, -5.244422e+001,
3232500000, -5.242224e+001,
3233750000, -5.250985e+001,
3235000000, -5.254003e+001,
3236250000, -5.255945e+001,
3237500000, -5.257189e+001,
3238750000, -5.262112e+001,
3240000000, -5.268534e+001,
3241250000, -5.263349e+001,
3242500000, -5.266200e+001,
3243750000, -5.276734e+001,
3245000000, -5.273021e+001,
3246250000, -5.289769e+001,
3247500000, -5.277308e+001,
3248750000, -5.285464e+001,
3250000000, -5.290799e+001,
3251250000, -5.283425e+001,
3252500000, -5.295413e+001,
3253750000, -5.286864e+001,
3255000000, -5.292361e+001,
3256250000, -5.291176e+001,
3257500000, -5.288857e+001,
3258750000, -5.303897e+001,
3260000000, -5.295869e+001,
3261250000, -5.296075e+001,
3262500000, -5.301833e+001,
3263750000, -5.303366e+001,
3265000000, -5.306112e+001,
3266250000, -5.301691e+001,
3267500000, -5.294724e+001,
3268750000, -5.299839e+001,
3270000000, -5.302843e+001,
3271250000, -5.296812e+001,
3272500000, -5.302492e+001,
3273750000, -5.299509e+001,
3275000000, -5.294161e+001,
3276250000, -5.302175e+001,
3277500000, -5.290567e+001,
3278750000, -5.291245e+001,
3280000000, -5.302569e+001,
3281250000, -5.291483e+001,
3282500000, -5.298211e+001,
3283750000, -5.289801e+001,
3285000000, -5.295565e+001,
3286250000, -5.297937e+001,
3287500000, -5.292522e+001,
3288750000, -5.273981e+001,
3290000000, -5.284559e+001,
3291250000, -5.291512e+001,
3292500000, -5.295414e+001,
3293750000, -5.285550e+001,
3295000000, -5.285488e+001,
3296250000, -5.279297e+001,
3297500000, -5.276213e+001,
3298750000, -5.268861e+001,
3300000000, -5.269011e+001,
3301250000, -5.278939e+001,
3302500000, -5.263027e+001,
3303750000, -5.261555e+001,
3305000000, -5.262456e+001,
3306250000, -5.258424e+001,
3307500000, -5.265341e+001,
3308750000, -5.256309e+001,
3310000000, -5.259381e+001,
3311250000, -5.251004e+001,
3312500000, -5.256536e+001,
3313750000, -5.252586e+001,
3315000000, -5.247213e+001,
3316250000, -5.252362e+001,
3317500000, -5.244099e+001,
3318750000, -5.248006e+001,
3320000000, -5.245296e+001,
3321250000, -5.237012e+001,
3322500000, -5.230918e+001,
3323750000, -5.226727e+001,
3325000000, -5.228086e+001,
3326250000, -5.228212e+001,
3327500000, -5.220771e+001,
3328750000, -5.220140e+001,
3330000000, -5.214133e+001,
3331250000, -5.219236e+001,
3332500000, -5.207965e+001,
3333750000, -5.209645e+001,
3335000000, -5.199540e+001,
3336250000, -5.194802e+001,
3337500000, -5.194391e+001,
3338750000, -5.186649e+001,
3340000000, -5.181092e+001,
3341250000, -5.185564e+001,
3342500000, -5.185443e+001,
3343750000, -5.177057e+001,
3345000000, -5.178764e+001,
3346250000, -5.176781e+001,
3347500000, -5.171511e+001,
3348750000, -5.170205e+001,
3350000000, -5.172387e+001,
3351250000, -5.168640e+001,
3352500000, -5.170964e+001,
3353750000, -5.170225e+001,
3355000000, -5.168028e+001,
3356250000, -5.170535e+001,
3357500000, -5.167262e+001,
3358750000, -5.170655e+001,
3360000000, -5.174118e+001,
3361250000, -5.168696e+001,
3362500000, -5.172186e+001,
3363750000, -5.179952e+001,
3365000000, -5.180047e+001,
3366250000, -5.181358e+001,
3367500000, -5.185337e+001,
3368750000, -5.177492e+001,
3370000000, -5.188601e+001,
3371250000, -5.187450e+001,
3372500000, -5.188832e+001,
3373750000, -5.195950e+001,
3375000000, -5.191331e+001,
3376250000, -5.189638e+001,
3377500000, -5.197372e+001,
3378750000, -5.201145e+001,
