"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.828301e+001,
3001562500, -4.823436e+001,
3003125000, -4.815412e+001,
3004687500, -4.816330e+001,
3006250000, -4.813187e+001,
3007812500, -4.811917e+001,
3009375000, -4.801806e+001,
3010937500, -4.799311e+001,
3012500000, -4.798925e+001,
3014062500, -4.788556e+001,
3015625000, -4.788467e+001,
3017187500, -4.778798e+001,
3018750000, -4.775303e+001,
3020312500, -4.773419e+001,
3021875000, -4.765062e+001,
3023437500, -4.759921e+001,
3025000000, -4.759896e+001,
3026562500, -4.760280e+001,
3028125000, -4.743138e+001,
3029687500, -4.750349e+001,
3031250000, -4.738842e+001,
3032812500, -4.732295e+001,
3034375000, -4.729508e+001,
3035937500, -4.726330e+001,
3037500000, -4.718449e+001,
3039062500, -4.716256e+001,
3040625000, -4.705317e+001,
3042187500, -4.706255e+001,
3043750000, -4.700578e+001,
3045312500, -4.691435e+001,
3046875000, -4.694525e+001,
3048437500, -4.687915e+001,
3050000000, -4.681650e+001,
3051562500, -4.680948e+001,
3053125000, -4.682527e+001,
3054687500, -4.674805e+001,
3056250000, -4.670826e+001,
3057812500, -4.668308e+001,
3059375000, -4.661565e+001,
3060937500, -4.662222e+001,
3062500000, -4.661169e+001,
3064062500, -4.662635e+001,
3065625000, -4.655581e+001,
3067187500, -4.653836e+001,
3068750000, -4.650391e+001,
3070312500, -4.653719e+001,
3071875000, -4.651236e+001,
3073437500, -4.649408e+001,
3075000000, -4.650655e+001,
3076562500, -4.642895e+001,
3078125000, -4.644054e+001,
3079687500, -4.641693e+001,
3081250000, -4.647306e+001,
3082812500, -4.644595e+001,
3084375000, -4.651234e+001,
3085937500, -4.645173e+001,
3087500000, -4.643599e+001,
3089062500, -4.644432e+001,
3090625000, -4.650268e+001,
3092187500, -4.642841e+001,
3093750000, -4.649047e+001,
3095312500, -4.641607e+001,
3096875000, -4.641908e+001,
3098437500, -4.640825e+001,
3100000000, -4.638886e+001,
3101562500, -4.642252e+001,
3103125000, -4.640706e+001,
3104687500, -4.643980e+001,
3106250000, -4.639389e+001,
3107812500, -4.636320e+001,
3109375000, -4.640881e+001,
3110937500, -4.639777e+001,
3112500000, -4.635640e+001,
3114062500, -4.639680e+001,
3115625000, -4.637048e+001,
3117187500, -4.634302e+001,
3118750000, -4.637246e+001,
3120312500, -4.636376e+001,
3121875000, -4.636517e+001,
3123437500, -4.633858e+001,
3125000000, -4.632270e+001,
3126562500, -4.632231e+001,
3128125000, -4.632355e+001,
3129687500, -4.628213e+001,
3131250000, -4.634753e+001,
3132812500, -4.626065e+001,
3134375000, -4.626624e+001,
3135937500, -4.630624e+001,
3137500000, -4.622132e+001,
3139062500, -4.620795e+001,
3140625000, -4.618142e+001,
3142187500, -4.619758e+001,
3143750000, -4.621266e+001,
3145312500, -4.618773e+001,
3146875000, -4.615079e+001,
3148437500, -4.610873e+001,
3150000000, -4.612086e+001,
3151562500, -4.610299e+001,
3153125000, -4.608860e+001,
3154687500, -4.607539e+001,
3156250000, -4.604693e+001,
3157812500, -4.604390e+001,
3159375000, -4.602811e+001,
3160937500, -4.602545e+001,
3162500000, -4.601395e+001,
3164062500, -4.603008e+001,
3165625000, -4.602952e+001,
3167187500, -4.607169e+001,
3168750000, -4.602822e+001,
3170312500, -4.609001e+001,
3171875000, -4.609967e+001,
3173437500, -4.608376e+001,
3175000000, -4.612938e+001,
3176562500, -4.613409e+001,
3178125000, -4.616453e+001,
3179687500, -4.615770e+001,
3181250000, -4.613718e+001,
3182812500, -4.619741e+001,
3184375000, -4.618670e+001,
3185937500, -4.615863e+001,
3187500000, -4.623211e+001,
3189062500, -4.627148e+001,
3190625000, -4.623188e+001,
3192187500, -4.627435e+001,
3193750000, -4.630347e+001,
3195312500, -4.629780e+001,
3196875000, -4.636409e+001,
3198437500, -4.639743e+001,
3200000000, -4.640812e+001,
3201562500, -4.646655e+001,
3203125000, -4.647739e+001,
3204687500, -4.647298e+001,
3206250000, -4.658079e+001,
3207812500, -4.656250e+001,
3209375000, -4.654319e+001,
3210937500, -4.667400e+001,
3212500000, -4.666607e+001,
3214062500, -4.664640e+001,
3215625000, -4.675042e+001,
3217187500, -4.675286e+001,
3218750000, -4.676758e+001,
3220312500, -4.689661e+001,
3221875000, -4.691865e+001,
3223437500, -4.692065e+001,
3225000000, -4.698640e+001,
3226562500, -4.698785e+001,
3228125000, -4.704764e+001,
3229687500, -4.705620e+001,
3231250000, -4.713931e+001,
3232812500, -4.713188e+001,
3234375000, -4.719435e+001,
3235937500, -4.722956e+001,
3237500000, -4.719596e+001,
3239062500, -4.726191e+001,
3240625000, -4.733404e+001,
3242187500, -4.730901e+001,
3243750000, -4.732133e+001,
3245312500, -4.737154e+001,
3246875000, -4.748044e+001,
3248437500, -4.742200e+001,
3250000000, -4.740335e+001,
3251562500, -4.749974e+001,
3253125000, -4.743480e+001,
3254687500, -4.753284e+001,
3256250000, -4.749028e+001,
3257812500, -4.753044e+001,
3259375000, -4.754385e+001,
3260937500, -4.756777e+001,
3262500000, -4.750993e+001,
3264062500, -4.747867e+001,
3265625000, -4.750217e+001,
3267187500, -4.750733e+001,
3268750000, -4.755741e+001,
3270312500, -4.743523e+001,
3271875000, -4.752905e+001,
3273437500, -4.751287e+001,
3275000000, -4.752836e+001,
3276562500, -4.747717e+001,
3278125000, -4.742931e+001,
3279687500, -4.745782e+001,
3281250000, -4.735950e+001,
3282812500, -4.745409e+001,
3284375000, -4.731549e+001,
3285937500, -4.734741e+001,
3287500000, -4.731340e+001,
3289062500, -4.723864e+001,
3290625000, -4.725241e+001,
3292187500, -4.717992e+001,
3293750000, -4.712908e+001,
3295312500, -4.710313e+001,
3296875000, -4.705470e+001,
3298437500, -4.708068e+001,
3300000000, -4.702147e+001,
3301562500, -4.691847e+001,
3303125000, -4.693130e+001,
3304687500, -4.685842e+001,
3306250000, -4.679064e+001,
3307812500, -4.685430e+001,
3309375000, -4.670852e+001,
3310937500, -4.674773e+001,
3312500000, -4.669794e+001,
3314062500, -4.662806e+001,
3315625000, -4.674600e+001,
3317187500, -4.660792e+001,
3318750000, -4.651266e+001,
3320312500, -4.664557e+001,
3321875000, -4.650111e+001,
3323437500, -4.648913e+001,
