"S12 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.607757e+002,
3001562500, 1.581307e+002,
3003125000, 1.568182e+002,
3004687500, 1.545458e+002,
3006250000, 1.526629e+002,
3007812500, 1.510090e+002,
3009375000, 1.493246e+002,
3010937500, 1.471175e+002,
3012500000, 1.451132e+002,
3014062500, 1.435273e+002,
3015625000, 1.415825e+002,
3017187500, 1.396119e+002,
3018750000, 1.376605e+002,
3020312500, 1.354712e+002,
3021875000, 1.336343e+002,
3023437500, 1.315842e+002,
3025000000, 1.296967e+002,
3026562500, 1.274344e+002,
3028125000, 1.255723e+002,
3029687500, 1.237461e+002,
3031250000, 1.215688e+002,
3032812500, 1.198387e+002,
3034375000, 1.175198e+002,
3035937500, 1.152252e+002,
3037500000, 1.134571e+002,
3039062500, 1.115455e+002,
3040625000, 1.091162e+002,
3042187500, 1.070142e+002,
3043750000, 1.052179e+002,
3045312500, 1.028269e+002,
3046875000, 1.008630e+002,
3048437500, 9.872537e+001,
3050000000, 9.640308e+001,
3051562500, 9.420531e+001,
3053125000, 9.198725e+001,
3054687500, 8.999355e+001,
3056250000, 8.767816e+001,
3057812500, 8.546054e+001,
3059375000, 8.339620e+001,
3060937500, 8.080325e+001,
3062500000, 7.865901e+001,
3064062500, 7.638955e+001,
3065625000, 7.445095e+001,
3067187500, 7.199592e+001,
3068750000, 6.957558e+001,
3070312500, 6.736141e+001,
3071875000, 6.565101e+001,
3073437500, 6.351672e+001,
3075000000, 6.083341e+001,
3076562500, 5.892404e+001,
3078125000, 5.640574e+001,
3079687500, 5.445088e+001,
3081250000, 5.219125e+001,
3082812500, 4.983820e+001,
3084375000, 4.764062e+001,
3085937500, 4.556939e+001,
3087500000, 4.340316e+001,
3089062500, 4.138542e+001,
3090625000, 3.931074e+001,
3092187500, 3.706734e+001,
3093750000, 3.484884e+001,
3095312500, 3.283975e+001,
3096875000, 3.084499e+001,
3098437500, 2.866188e+001,
3100000000, 2.640573e+001,
3101562500, 2.464521e+001,
3103125000, 2.258792e+001,
3104687500, 2.029272e+001,
3106250000, 1.796444e+001,
3107812500, 1.584873e+001,
3109375000, 1.372261e+001,
3110937500, 1.141202e+001,
3112500000, 9.553477e+000,
3114062500, 7.380331e+000,
3115625000, 5.532128e+000,
3117187500, 3.233615e+000,
3118750000, 8.477087e-001,
3120312500, -1.240728e+000,
3121875000, -3.220335e+000,
3123437500, -5.457055e+000,
3125000000, -7.446627e+000,
3126562500, -9.709029e+000,
3128125000, -1.148065e+001,
3129687500, -1.346820e+001,
3131250000, -1.583617e+001,
3132812500, -1.778820e+001,
3134375000, -1.996024e+001,
3135937500, -2.233211e+001,
3137500000, -2.429357e+001,
3139062500, -2.650735e+001,
3140625000, -2.856297e+001,
3142187500, -3.080853e+001,
3143750000, -3.316643e+001,
3145312500, -3.514629e+001,
3146875000, -3.695901e+001,
3148437500, -3.949152e+001,
3150000000, -4.172064e+001,
3151562500, -4.412462e+001,
3153125000, -4.608235e+001,
3154687500, -4.845172e+001,
3156250000, -5.056941e+001,
3157812500, -5.314262e+001,
3159375000, -5.494842e+001,
3160937500, -5.722018e+001,
3162500000, -5.969260e+001,
3164062500, -6.186289e+001,
3165625000, -6.373207e+001,
3167187500, -6.629408e+001,
3168750000, -6.843851e+001,
3170312500, -7.056477e+001,
3171875000, -7.293697e+001,
3173437500, -7.500816e+001,
3175000000, -7.699970e+001,
3176562500, -7.940288e+001,
3178125000, -8.148622e+001,
3179687500, -8.387628e+001,
3181250000, -8.571504e+001,
3182812500, -8.811837e+001,
3184375000, -9.034892e+001,
3185937500, -9.242270e+001,
3187500000, -9.451652e+001,
3189062500, -9.684055e+001,
3190625000, -9.883864e+001,
3192187500, -1.013435e+002,
3193750000, -1.031900e+002,
3195312500, -1.055523e+002,
3196875000, -1.076440e+002,
3198437500, -1.097470e+002,
3200000000, -1.119834e+002,
3201562500, -1.137268e+002,
3203125000, -1.160962e+002,
3204687500, -1.176200e+002,
3206250000, -1.200854e+002,
3207812500, -1.217980e+002,
3209375000, -1.239787e+002,
3210937500, -1.257922e+002,
3212500000, -1.281385e+002,
3214062500, -1.299718e+002,
3215625000, -1.319563e+002,
3217187500, -1.340861e+002,
3218750000, -1.359648e+002,
3220312500, -1.377611e+002,
3221875000, -1.398595e+002,
3223437500, -1.413443e+002,
3225000000, -1.436864e+002,
3226562500, -1.451726e+002,
3228125000, -1.474944e+002,
3229687500, -1.492040e+002,
3231250000, -1.506983e+002,
3232812500, -1.528861e+002,
3234375000, -1.548867e+002,
3235937500, -1.563641e+002,
3237500000, -1.584029e+002,
3239062500, -1.602103e+002,
3240625000, -1.617143e+002,
3242187500, -1.639440e+002,
3243750000, -1.657071e+002,
3245312500, -1.676056e+002,
3246875000, -1.690393e+002,
3248437500, -1.707909e+002,
3250000000, -1.725524e+002,
3251562500, -1.742622e+002,
3253125000, -1.757065e+002,
3254687500, -1.779388e+002,
3256250000, -1.792082e+002,
3257812500, 1.786066e+002,
3259375000, 1.769019e+002,
3260937500, 1.751992e+002,
3262500000, 1.737626e+002,
3264062500, 1.722160e+002,
3265625000, 1.709407e+002,
3267187500, 1.687627e+002,
3268750000, 1.670001e+002,
3270312500, 1.654009e+002,
3271875000, 1.632352e+002,
3273437500, 1.616107e+002,
3275000000, 1.597665e+002,
3276562500, 1.580956e+002,
3278125000, 1.564510e+002,
3279687500, 1.548445e+002,
3281250000, 1.531605e+002,
3282812500, 1.507535e+002,
3284375000, 1.490896e+002,
3285937500, 1.473205e+002,
3287500000, 1.458975e+002,
3289062500, 1.438884e+002,
3290625000, 1.419136e+002,
3292187500, 1.401705e+002,
3293750000, 1.385913e+002,
3295312500, 1.364682e+002,
3296875000, 1.344462e+002,
3298437500, 1.326824e+002,
3300000000, 1.308995e+002,
3301562500, 1.288509e+002,
3303125000, 1.272986e+002,
3304687500, 1.249748e+002,
3306250000, 1.236461e+002,
3307812500, 1.212280e+002,
3309375000, 1.191105e+002,
3310937500, 1.169392e+002,
3312500000, 1.150118e+002,
3314062500, 1.129919e+002,
3315625000, 1.108897e+002,
3317187500, 1.093755e+002,
3318750000, 1.068256e+002,
3320312500, 1.051300e+002,
3321875000, 1.025090e+002,
3323437500, 1.007372e+002,
3325000000, 9.879602e+001,
3326562500, 9.624109e+001,
3328125000, 9.435316e+001,
3329687500, 9.236511e+001,
3331250000, 9.018203e+001,
3332812500, 8.779603e+001,
3334375000, 8.558783e+001,
3335937500, 8.362890e+001,
3337500000, 8.142896e+001,
3339062500, 7.895774e+001,
3340625000, 7.663082e+001,
3342187500, 7.456723e+001,
3343750000, 7.191936e+001,
3345312500, 6.991888e+001,
3346875000, 6.748919e+001,
3348437500, 6.557229e+001,
3350000000, 6.321725e+001,
3351562500, 6.064866e+001,
3353125000, 5.865594e+001,
3354687500, 5.619308e+001,
3356250000, 5.383839e+001,
3357812500, 5.157240e+001,
3359375000, 4.912242e+001,
3360937500, 4.735394e+001,
3362500000, 4.428878e+001,
3364062500, 4.231785e+001,
3365625000, 3.997509e+001,
3367187500, 3.709165e+001,
3368750000, 3.537852e+001,
3370312500, 3.285242e+001,
3371875000, 3.065538e+001,
3373437500, 2.850417e+001,
3375000000, 2.592144e+001,
3376562500, 2.428101e+001,
3378125000, 2.154634e+001,
3379687500, 1.974741e+001,
3381250000, 1.750857e+001,
3382812500, 1.533195e+001,
3384375000, 1.367210e+001,
3385937500, 1.139495e+001,
3387500000, 9.227103e+000,
3389062500, 6.762659e+000,
3390625000, 4.888641e+000,
3392187500, 2.946934e+000,
3393750000, 1.230269e+000,
3395312500, -9.928319e-001,
3396875000, -3.385022e+000,
3398437500, -5.297301e+000,
3400000000, -7.300630e+000,
3401562500, -9.020866e+000,
3403125000, -1.131940e+001,
3404687500, -1.324836e+001,
3406250000, -1.510138e+001,
3407812500, -1.739341e+001,
3409375000, -1.910949e+001,
3410937500, -2.100402e+001,
3412500000, -2.334450e+001,
3414062500, -2.522406e+001,
3415625000, -2.672398e+001,
3417187500, -2.890300e+001,
3418750000, -3.051481e+001,
3420312500, -3.237748e+001,
3421875000, -3.387789e+001,
3423437500, -3.548867e+001,
3425000000, -3.834474e+001,
3426562500, -3.983447e+001,
3428125000, -4.142883e+001,
3429687500, -4.368243e+001,
3431250000, -4.546119e+001,
3432812500, -4.725808e+001,
3434375000, -4.932796e+001,
3435937500, -5.129153e+001,
3437500000, -5.292068e+001,
3439062500, -5.546558e+001,
3440625000, -5.708060e+001,
3442187500, -5.861356e+001,
3443750000, -6.108687e+001,
3445312500, -6.256136e+001,
3446875000, -6.458341e+001,
3448437500, -6.668556e+001,
3450000000, -6.861422e+001,
3451562500, -7.051767e+001,
3453125000, -7.228849e+001,
3454687500, -7.420407e+001,
3456250000, -7.625059e+001,
3457812500, -7.832264e+001,
3459375000, -8.033036e+001,
3460937500, -8.211541e+001,
3462500000, -8.412580e+001,
3464062500, -8.589535e+001,
3465625000, -8.830296e+001,
3467187500, -9.015404e+001,
3468750000, -9.272167e+001,
3470312500, -9.419722e+001,
3471875000, -9.666237e+001,
3473437500, -9.884579e+001,
3475000000, -1.009226e+002,
3476562500, -1.030308e+002,
3478125000, -1.053411e+002,
3479687500, -1.076247e+002,
3481250000, -1.099565e+002,
3482812500, -1.121122e+002,
3484375000, -1.144041e+002,
3485937500, -1.162228e+002,
3487500000, -1.188069e+002,
3489062500, -1.207270e+002,
3490625000, -1.228257e+002,
3492187500, -1.249131e+002,
3493750000, -1.269937e+002,
3495312500, -1.291432e+002,
3496875000, -1.310835e+002,
3498437500, -1.332454e+002,
3500000000, -1.361348e+002,
3501562500, -1.376918e+002,
3503125000, -1.403670e+002,
3504687500, -1.430063e+002,
3506250000, -1.450572e+002,
3507812500, -1.474844e+002,
3509375000, -1.493607e+002,
3510937500, -1.522103e+002,
3512500000, -1.537074e+002,
3514062500, -1.557274e+002,
3515625000, -1.582698e+002,
3517187500, -1.597383e+002,
3518750000, -1.616537e+002,
