"S12 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.566320e+001,
3501250000, -4.571672e+001,
3502500000, -4.572539e+001,
3503750000, -4.576813e+001,
3505000000, -4.579332e+001,
3506250000, -4.581264e+001,
3507500000, -4.580942e+001,
3508750000, -4.580896e+001,
3510000000, -4.589762e+001,
3511250000, -4.588920e+001,
3512500000, -4.585075e+001,
3513750000, -4.583907e+001,
3515000000, -4.595073e+001,
3516250000, -4.588310e+001,
3517500000, -4.591316e+001,
3518750000, -4.593846e+001,
3520000000, -4.590628e+001,
3521250000, -4.596439e+001,
3522500000, -4.600229e+001,
3523750000, -4.603127e+001,
3525000000, -4.606677e+001,
3526250000, -4.612692e+001,
3527500000, -4.612584e+001,
3528750000, -4.616097e+001,
3530000000, -4.620031e+001,
3531250000, -4.626165e+001,
3532500000, -4.626150e+001,
3533750000, -4.624048e+001,
3535000000, -4.625938e+001,
3536250000, -4.626373e+001,
3537500000, -4.630771e+001,
3538750000, -4.635255e+001,
3540000000, -4.633913e+001,
3541250000, -4.638368e+001,
3542500000, -4.642599e+001,
3543750000, -4.649792e+001,
3545000000, -4.652053e+001,
3546250000, -4.662333e+001,
3547500000, -4.664739e+001,
3548750000, -4.667595e+001,
3550000000, -4.668160e+001,
3551250000, -4.674847e+001,
3552500000, -4.676940e+001,
3553750000, -4.680988e+001,
3555000000, -4.678791e+001,
3556250000, -4.682695e+001,
3557500000, -4.680086e+001,
3558750000, -4.685079e+001,
3560000000, -4.689599e+001,
3561250000, -4.694012e+001,
3562500000, -4.688288e+001,
3563750000, -4.691647e+001,
3565000000, -4.696629e+001,
3566250000, -4.703705e+001,
3567500000, -4.703222e+001,
3568750000, -4.709059e+001,
3570000000, -4.706079e+001,
3571250000, -4.705865e+001,
3572500000, -4.708837e+001,
3573750000, -4.709845e+001,
3575000000, -4.712652e+001,
3576250000, -4.711146e+001,
3577500000, -4.713708e+001,
3578750000, -4.710679e+001,
3580000000, -4.713097e+001,
3581250000, -4.709237e+001,
3582500000, -4.712747e+001,
3583750000, -4.713362e+001,
3585000000, -4.709517e+001,
3586250000, -4.717748e+001,
3587500000, -4.716615e+001,
3588750000, -4.716431e+001,
3590000000, -4.720372e+001,
3591250000, -4.720852e+001,
3592500000, -4.721396e+001,
3593750000, -4.721635e+001,
3595000000, -4.710998e+001,
3596250000, -4.714248e+001,
3597500000, -4.708504e+001,
3598750000, -4.708498e+001,
3600000000, -4.713847e+001,
3601250000, -4.706415e+001,
3602500000, -4.699185e+001,
3603750000, -4.696155e+001,
3605000000, -4.694828e+001,
3606250000, -4.689987e+001,
3607500000, -4.691674e+001,
3608750000, -4.693543e+001,
3610000000, -4.689132e+001,
3611250000, -4.685878e+001,
3612500000, -4.687080e+001,
3613750000, -4.685398e+001,
3615000000, -4.688450e+001,
3616250000, -4.684074e+001,
3617500000, -4.681479e+001,
3618750000, -4.677857e+001,
3620000000, -4.680720e+001,
3621250000, -4.666408e+001,
3622500000, -4.660468e+001,
3623750000, -4.672615e+001,
3625000000, -4.670224e+001,
3626250000, -4.656388e+001,
3627500000, -4.650882e+001,
3628750000, -4.655731e+001,
3630000000, -4.652234e+001,
3631250000, -4.650501e+001,
3632500000, -4.657121e+001,
3633750000, -4.658172e+001,
3635000000, -4.651250e+001,
3636250000, -4.648352e+001,
3637500000, -4.659523e+001,
3638750000, -4.654010e+001,
3640000000, -4.651270e+001,
3641250000, -4.648024e+001,
3642500000, -4.648758e+001,
3643750000, -4.655571e+001,
3645000000, -4.647633e+001,
3646250000, -4.636242e+001,
3647500000, -4.643736e+001,
3648750000, -4.654238e+001,
3650000000, -4.648597e+001,
3651250000, -4.642356e+001,
3652500000, -4.642404e+001,
3653750000, -4.642363e+001,
3655000000, -4.638929e+001,
3656250000, -4.639701e+001,
3657500000, -4.656306e+001,
3658750000, -4.655010e+001,
3660000000, -4.651334e+001,
3661250000, -4.646192e+001,
3662500000, -4.656368e+001,
3663750000, -4.657858e+001,
3665000000, -4.657825e+001,
3666250000, -4.649852e+001,
3667500000, -4.653590e+001,
3668750000, -4.658828e+001,
3670000000, -4.665343e+001,
3671250000, -4.649723e+001,
3672500000, -4.647030e+001,
3673750000, -4.660321e+001,
3675000000, -4.659024e+001,
3676250000, -4.660872e+001,
3677500000, -4.666669e+001,
3678750000, -4.670600e+001,
3680000000, -4.659437e+001,
3681250000, -4.653331e+001,
3682500000, -4.672635e+001,
3683750000, -4.687948e+001,
3685000000, -4.686466e+001,
3686250000, -4.676533e+001,
3687500000, -4.680999e+001,
3688750000, -4.696658e+001,
3690000000, -4.702272e+001,
3691250000, -4.698353e+001,
3692500000, -4.685153e+001,
3693750000, -4.687475e+001,
3695000000, -4.698594e+001,
3696250000, -4.709412e+001,
3697500000, -4.702859e+001,
3698750000, -4.694805e+001,
3700000000, -4.700215e+001,
3701250000, -4.704749e+001,
3702500000, -4.704032e+001,
3703750000, -4.718716e+001,
3705000000, -4.719345e+001,
3706250000, -4.711121e+001,
3707500000, -4.702327e+001,
3708750000, -4.718367e+001,
3710000000, -4.735430e+001,
3711250000, -4.735571e+001,
3712500000, -4.724468e+001,
3713750000, -4.727910e+001,
3715000000, -4.725550e+001,
3716250000, -4.738781e+001,
3717500000, -4.741970e+001,
3718750000, -4.729499e+001,
3720000000, -4.721096e+001,
3721250000, -4.722701e+001,
3722500000, -4.721803e+001,
3723750000, -4.727512e+001,
3725000000, -4.728665e+001,
3726250000, -4.721451e+001,
3727500000, -4.708350e+001,
3728750000, -4.711567e+001,
3730000000, -4.708376e+001,
3731250000, -4.724229e+001,
3732500000, -4.732776e+001,
3733750000, -4.720018e+001,
3735000000, -4.702413e+001,
3736250000, -4.703638e+001,
