"S21 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.472385e+001,
3501250000, -4.461816e+001,
3502500000, -4.459908e+001,
3503750000, -4.461808e+001,
3505000000, -4.463697e+001,
3506250000, -4.460843e+001,
3507500000, -4.469090e+001,
3508750000, -4.473137e+001,
3510000000, -4.467710e+001,
3511250000, -4.467897e+001,
3512500000, -4.470803e+001,
3513750000, -4.482685e+001,
3515000000, -4.481772e+001,
3516250000, -4.472637e+001,
3517500000, -4.469682e+001,
3518750000, -4.485670e+001,
3520000000, -4.494923e+001,
3521250000, -4.489661e+001,
3522500000, -4.484417e+001,
3523750000, -4.497197e+001,
3525000000, -4.495735e+001,
3526250000, -4.495586e+001,
3527500000, -4.503315e+001,
3528750000, -4.513289e+001,
3530000000, -4.517930e+001,
3531250000, -4.516018e+001,
3532500000, -4.509354e+001,
3533750000, -4.517824e+001,
3535000000, -4.526598e+001,
3536250000, -4.526760e+001,
3537500000, -4.517074e+001,
3538750000, -4.518563e+001,
3540000000, -4.540299e+001,
3541250000, -4.541776e+001,
3542500000, -4.524529e+001,
3543750000, -4.537481e+001,
3545000000, -4.547501e+001,
3546250000, -4.544883e+001,
3547500000, -4.537292e+001,
3548750000, -4.551620e+001,
3550000000, -4.560397e+001,
3551250000, -4.561674e+001,
3552500000, -4.560969e+001,
3553750000, -4.555776e+001,
3555000000, -4.557938e+001,
3556250000, -4.566814e+001,
3557500000, -4.573146e+001,
3558750000, -4.555093e+001,
3560000000, -4.563374e+001,
3561250000, -4.582746e+001,
3562500000, -4.577999e+001,
3563750000, -4.575920e+001,
3565000000, -4.580985e+001,
3566250000, -4.588019e+001,
3567500000, -4.587732e+001,
3568750000, -4.576989e+001,
3570000000, -4.580791e+001,
3571250000, -4.600892e+001,
3572500000, -4.600299e+001,
3573750000, -4.596847e+001,
3575000000, -4.594135e+001,
3576250000, -4.586316e+001,
3577500000, -4.595545e+001,
3578750000, -4.607988e+001,
3580000000, -4.600342e+001,
3581250000, -4.593193e+001,
