"S21 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.576464e+001,
3501250000, -4.562148e+001,
3502500000, -4.547178e+001,
3503750000, -4.535956e+001,
3505000000, -4.558353e+001,
3506250000, -4.589044e+001,
3507500000, -4.574566e+001,
3508750000, -4.542952e+001,
3510000000, -4.550585e+001,
3511250000, -4.579161e+001,
3512500000, -4.569614e+001,
3513750000, -4.559364e+001,
3515000000, -4.563703e+001,
3516250000, -4.563055e+001,
3517500000, -4.554490e+001,
3518750000, -4.564730e+001,
3520000000, -4.586441e+001,
3521250000, -4.596897e+001,
3522500000, -4.598917e+001,
3523750000, -4.572866e+001,
3525000000, -4.562839e+001,
3526250000, -4.587057e+001,
3527500000, -4.618692e+001,
3528750000, -4.622540e+001,
3530000000, -4.587697e+001,
3531250000, -4.588369e+001,
3532500000, -4.606200e+001,
3533750000, -4.606883e+001,
3535000000, -4.602786e+001,
3536250000, -4.628694e+001,
3537500000, -4.616061e+001,
3538750000, -4.595766e+001,
3540000000, -4.603736e+001,
3541250000, -4.616325e+001,
3542500000, -4.648837e+001,
3543750000, -4.659209e+001,
3545000000, -4.640668e+001,
3546250000, -4.611937e+001,
3547500000, -4.608207e+001,
3548750000, -4.646146e+001,
3550000000, -4.680582e+001,
3551250000, -4.665434e+001,
3552500000, -4.635376e+001,
3553750000, -4.650436e+001,
3555000000, -4.664057e+001,
3556250000, -4.637729e+001,
3557500000, -4.641368e+001,
3558750000, -4.681224e+001,
3560000000, -4.680309e+001,
3561250000, -4.647361e+001,
3562500000, -4.630472e+001,
3563750000, -4.654567e+001,
3565000000, -4.693500e+001,
3566250000, -4.712120e+001,
3567500000, -4.696165e+001,
3568750000, -4.658387e+001,
3570000000, -4.638378e+001,
3571250000, -4.669705e+001,
3572500000, -4.708599e+001,
3573750000, -4.714229e+001,
3575000000, -4.667464e+001,
3576250000, -4.691610e+001,
3577500000, -4.702951e+001,
3578750000, -4.670969e+001,
3580000000, -4.642428e+001,
3581250000, -4.679803e+001,
3582500000, -4.731731e+001,
3583750000, -4.690191e+001,
3585000000, -4.667827e+001,
3586250000, -4.657680e+001,
3587500000, -4.673715e+001,
