"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -7.009965e+001,
2000937500, -6.985665e+001,
2001875000, -7.245646e+001,
2002812500, -6.992654e+001,
2003750000, -6.950455e+001,
2004687500, -7.071590e+001,
2005625000, -7.276765e+001,
2006562500, -7.050664e+001,
2007500000, -7.021555e+001,
2008437500, -6.845964e+001,
2009375000, -7.074075e+001,
2010312500, -7.227501e+001,
2011250000, -7.198927e+001,
2012187500, -7.013940e+001,
2013125000, -7.158199e+001,
2014062500, -7.252857e+001,
2015000000, -7.190166e+001,
2015937500, -7.244843e+001,
2016875000, -7.283120e+001,
2017812500, -6.969689e+001,
2018750000, -7.116323e+001,
2019687500, -7.122070e+001,
2020625000, -7.239683e+001,
2021562500, -7.012144e+001,
2022500000, -7.220496e+001,
2023437500, -7.154088e+001,
2024375000, -7.186340e+001,
2025312500, -7.385038e+001,
2026250000, -7.236299e+001,
2027187500, -7.416531e+001,
2028125000, -7.346713e+001,
2029062500, -7.245847e+001,
2030000000, -7.412027e+001,
2030937500, -7.272494e+001,
2031875000, -7.224491e+001,
2032812500, -7.268987e+001,
2033750000, -7.313759e+001,
2034687500, -7.283867e+001,
2035625000, -7.416082e+001,
2036562500, -7.365289e+001,
2037500000, -7.332938e+001,
2038437500, -7.228154e+001,
2039375000, -7.258771e+001,
2040312500, -7.388103e+001,
2041250000, -7.257220e+001,
2042187500, -7.188628e+001,
2043125000, -7.278886e+001,
2044062500, -7.170247e+001,
2045000000, -7.453537e+001,
2045937500, -7.396085e+001,
2046875000, -7.198701e+001,
2047812500, -7.192333e+001,
2048750000, -7.610420e+001,
2049687500, -7.277253e+001,
2050625000, -7.290998e+001,
2051562500, -7.364500e+001,
2052500000, -7.350481e+001,
2053437500, -7.408864e+001,
2054375000, -7.284578e+001,
2055312500, -7.291695e+001,
2056250000, -7.211434e+001,
2057187500, -7.497247e+001,
2058125000, -7.264896e+001,
2059062500, -7.195337e+001,
2060000000, -7.539652e+001,
2060937500, -7.366013e+001,
2061875000, -7.230952e+001,
2062812500, -7.372839e+001,
2063750000, -7.206828e+001,
2064687500, -7.327957e+001,
2065625000, -7.207516e+001,
2066562500, -7.336845e+001,
2067500000, -7.532474e+001,
2068437500, -7.176479e+001,
2069375000, -7.231449e+001,
2070312500, -7.337132e+001,
2071250000, -7.365585e+001,
2072187500, -7.397076e+001,
2073125000, -7.249711e+001,
2074062500, -7.257671e+001,
2075000000, -7.225937e+001,
2075937500, -7.276233e+001,
2076875000, -7.092497e+001,
2077812500, -7.062357e+001,
2078750000, -7.322630e+001,
2079687500, -7.387032e+001,
2080625000, -7.329459e+001,
2081562500, -7.436028e+001,
2082500000, -7.137905e+001,
2083437500, -7.418670e+001,
2084375000, -7.172704e+001,
2085312500, -6.944474e+001,
2086250000, -6.946320e+001,
2087187500, -7.316206e+001,
2088125000, -7.495632e+001,
2089062500, -7.270530e+001,
2090000000, -7.076949e+001,
2090937500, -7.659785e+001,
2091875000, -7.340812e+001,
2092812500, -7.214849e+001,
2093750000, -7.183891e+001,
2094687500, -7.741074e+001,
2095625000, -7.088404e+001,
2096562500, -7.297997e+001,
2097500000, -7.382838e+001,
2098437500, -7.373923e+001,
2099375000, -7.413062e+001,
2100312500, -7.070324e+001,
2101250000, -7.117371e+001,
2102187500, -7.061234e+001,
2103125000, -7.615450e+001,
2104062500, -7.244951e+001,
2105000000, -7.080192e+001,
2105937500, -7.195189e+001,
2106875000, -7.203453e+001,
2107812500, -7.434462e+001,
2108750000, -7.113571e+001,
2109687500, -7.366833e+001,
2110625000, -7.185295e+001,
2111562500, -7.119833e+001,
2112500000, -7.230189e+001,
2113437500, -7.196022e+001,
2114375000, -7.530115e+001,
2115312500, -7.540334e+001,
2116250000, -7.476767e+001,
2117187500, -7.311003e+001,
2118125000, -7.644595e+001,
2119062500, -7.175576e+001,
2120000000, -7.184270e+001,
2120937500, -7.324764e+001,
2121875000, -7.457045e+001,
2122812500, -7.150282e+001,
2123750000, -7.256348e+001,
2124687500, -7.571162e+001,
2125625000, -7.583487e+001,
2126562500, -7.387112e+001,
2127500000, -7.363744e+001,
2128437500, -7.010092e+001,
2129375000, -7.439465e+001,
2130312500, -7.611363e+001,
2131250000, -7.270650e+001,
2132187500, -7.429121e+001,
2133125000, -7.320025e+001,
2134062500, -7.368948e+001,
2135000000, -7.233163e+001,
2135937500, -7.323089e+001,
2136875000, -7.232536e+001,
2137812500, -7.441989e+001,
2138750000, -7.494664e+001,
2139687500, -7.224390e+001,
2140625000, -7.283991e+001,
2141562500, -7.508271e+001,
2142500000, -7.359236e+001,
2143437500, -7.457024e+001,
2144375000, -7.591561e+001,
2145312500, -7.278706e+001,
2146250000, -7.576186e+001,
2147187500, -7.297190e+001,
2148125000, -7.475348e+001,
2149062500, -7.626169e+001,
2150000000, -7.516310e+001,
2150937500, -7.249740e+001,
2151875000, -7.499194e+001,
2152812500, -7.412206e+001,
2153750000, -7.440528e+001,
2154687500, -7.481177e+001,
2155625000, -7.817875e+001,
2156562500, -7.377833e+001,
2157500000, -7.561597e+001,
2158437500, -7.245081e+001,
2159375000, -7.686855e+001,
2160312500, -7.381218e+001,
2161250000, -7.509023e+001,
2162187500, -7.640038e+001,
2163125000, -7.415575e+001,
2164062500, -7.619645e+001,
2165000000, -7.583837e+001,
2165937500, -7.246960e+001,
2166875000, -7.509552e+001,
2167812500, -7.495995e+001,
2168750000, -7.581232e+001,
2169687500, -7.362603e+001,
2170625000, -7.366090e+001,
2171562500, -7.532327e+001,
2172500000, -7.723527e+001,
2173437500, -7.332079e+001,
2174375000, -7.729002e+001,
2175312500, -7.657408e+001,
2176250000, -7.458956e+001,
2177187500, -7.159947e+001,
2178125000, -7.378037e+001,
2179062500, -7.889031e+001,
2180000000, -7.933593e+001,
2180937500, -7.263323e+001,
2181875000, -7.459295e+001,
2182812500, -7.214970e+001,
2183750000, -7.265437e+001,
2184687500, -7.398485e+001,
2185625000, -7.307674e+001,
2186562500, -7.152235e+001,
2187500000, -8.078329e+001,
2188437500, -7.420893e+001,
2189375000, -7.613832e+001,
2190312500, -7.602083e+001,
2191250000, -7.588474e+001,
2192187500, -7.546682e+001,
2193125000, -7.394852e+001,
2194062500, -7.524647e+001,
2195000000, -7.368130e+001,
2195937500, -7.274654e+001,
2196875000, -7.326337e+001,
2197812500, -7.590413e+001,
2198750000, -7.755284e+001,
2199687500, -7.333906e+001,
2200625000, -7.372549e+001,
2201562500, -7.403504e+001,
2202500000, -7.454364e+001,
2203437500, -7.476617e+001,
2204375000, -7.544184e+001,
2205312500, -7.670792e+001,
2206250000, -7.634536e+001,
2207187500, -7.489956e+001,
2208125000, -7.697757e+001,
2209062500, -7.443283e+001,
2210000000, -7.516508e+001,
2210937500, -7.418587e+001,
2211875000, -7.415128e+001,
2212812500, -7.236066e+001,
2213750000, -7.517324e+001,
2214687500, -7.600856e+001,
2215625000, -7.594771e+001,
2216562500, -7.386053e+001,
2217500000, -7.535952e+001,
2218437500, -7.326173e+001,
2219375000, -7.348414e+001,
2220312500, -7.200231e+001,
2221250000, -7.483344e+001,
2222187500, -7.374071e+001,
2223125000, -7.522758e+001,
2224062500, -7.259914e+001,
2225000000, -7.470713e+001,
2225937500, -7.545493e+001,
2226875000, -7.547271e+001,
2227812500, -7.436089e+001,
2228750000, -7.524239e+001,
2229687500, -7.635239e+001,
2230625000, -7.707543e+001,
2231562500, -7.400578e+001,
2232500000, -7.415433e+001,
2233437500, -7.496793e+001,
2234375000, -7.501816e+001,
2235312500, -7.120590e+001,
2236250000, -7.486892e+001,
2237187500, -7.411926e+001,
2238125000, -7.583080e+001,
2239062500, -7.386906e+001,
2240000000, -7.247366e+001,
2240937500, -7.536552e+001,
2241875000, -7.598097e+001,
2242812500, -7.366766e+001,
2243750000, -7.312193e+001,
2244687500, -7.330791e+001,
2245625000, -7.206110e+001,
2246562500, -7.406704e+001,
2247500000, -7.452978e+001,
2248437500, -7.562354e+001,
2249375000, -7.481505e+001,
2250312500, -7.547773e+001,
2251250000, -7.340428e+001,
2252187500, -7.398459e+001,
2253125000, -7.750668e+001,
2254062500, -7.483580e+001,
2255000000, -7.478989e+001,
2255937500, -7.854176e+001,
2256875000, -7.366945e+001,
2257812500, -7.470996e+001,
2258750000, -7.639813e+001,
2259687500, -7.103364e+001,
2260625000, -7.478875e+001,
2261562500, -7.585992e+001,
2262500000, -7.545679e+001,
2263437500, -7.454815e+001,
2264375000, -7.534711e+001,
2265312500, -7.675908e+001,
2266250000, -7.852905e+001,
2267187500, -7.236620e+001,
2268125000, -7.762501e+001,
2269062500, -7.399051e+001,
2270000000, -7.471898e+001,
2270937500, -7.233656e+001,
2271875000, -7.669899e+001,
2272812500, -8.203497e+001,
2273750000, -7.789999e+001,
2274687500, -7.537626e+001,
2275625000, -7.487008e+001,
2276562500, -7.527927e+001,
2277500000, -7.441279e+001,
2278437500, -7.620068e+001,
2279375000, -7.576418e+001,
2280312500, -7.289419e+001,
2281250000, -7.488931e+001,
2282187500, -7.300166e+001,
2283125000, -7.363876e+001,
2284062500, -7.447939e+001,
2285000000, -7.734371e+001,
2285937500, -7.496024e+001,
2286875000, -7.409048e+001,
2287812500, -8.095140e+001,
2288750000, -7.853940e+001,
2289687500, -7.539890e+001,
2290625000, -7.685371e+001,
2291562500, -7.850170e+001,
2292500000, -7.739362e+001,
2293437500, -7.330515e+001,
2294375000, -7.535212e+001,
2295312500, -7.528979e+001,
2296250000, -7.460126e+001,
2297187500, -7.725509e+001,
2298125000, -7.391689e+001,
2299062500, -7.424200e+001,
2300000000, -7.616280e+001,
2300937500, -7.618930e+001,
2301875000, -8.002267e+001,
2302812500, -7.702523e+001,
2303750000, -7.407794e+001,
2304687500, -7.502747e+001,
2305625000, -7.440542e+001,
2306562500, -7.471620e+001,
2307500000, -7.927446e+001,
2308437500, -7.834237e+001,
2309375000, -7.733168e+001,
2310312500, -7.917514e+001,
2311250000, -7.965307e+001,
2312187500, -7.620866e+001,
2313125000, -7.560608e+001,
2314062500, -7.460107e+001,
2315000000, -7.514771e+001,
2315937500, -7.683469e+001,
