"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.411777e+001,
2001875000, -6.338929e+001,
2003750000, -6.442314e+001,
2005625000, -6.453488e+001,
2007500000, -6.453920e+001,
2009375000, -6.485397e+001,
2011250000, -6.462175e+001,
2013125000, -6.444907e+001,
2015000000, -6.429623e+001,
2016875000, -6.480421e+001,
2018750000, -6.542091e+001,
2020625000, -6.542474e+001,
2022500000, -6.431335e+001,
2024375000, -6.502038e+001,
2026250000, -6.530820e+001,
2028125000, -6.483805e+001,
2030000000, -6.467226e+001,
2031875000, -6.466038e+001,
2033750000, -6.481229e+001,
2035625000, -6.499809e+001,
2037500000, -6.506822e+001,
2039375000, -6.515907e+001,
2041250000, -6.578402e+001,
2043125000, -6.512335e+001,
2045000000, -6.520842e+001,
2046875000, -6.488245e+001,
2048750000, -6.476376e+001,
2050625000, -6.459373e+001,
2052500000, -6.474865e+001,
2054375000, -6.448250e+001,
2056250000, -6.496650e+001,
2058125000, -6.509332e+001,
2060000000, -6.488416e+001,
2061875000, -6.536711e+001,
2063750000, -6.479098e+001,
2065625000, -6.500873e+001,
2067500000, -6.535480e+001,
2069375000, -6.485773e+001,
2071250000, -6.504186e+001,
2073125000, -6.519490e+001,
2075000000, -6.532457e+001,
2076875000, -6.520470e+001,
2078750000, -6.446326e+001,
2080625000, -6.603209e+001,
2082500000, -6.546593e+001,
2084375000, -6.502439e+001,
2086250000, -6.505001e+001,
2088125000, -6.482703e+001,
2090000000, -6.523475e+001,
2091875000, -6.529367e+001,
2093750000, -6.500943e+001,
2095625000, -6.486369e+001,
2097500000, -6.547634e+001,
2099375000, -6.493752e+001,
2101250000, -6.466054e+001,
2103125000, -6.539915e+001,
2105000000, -6.515839e+001,
2106875000, -6.558051e+001,
2108750000, -6.430133e+001,
2110625000, -6.549320e+001,
2112500000, -6.488625e+001,
2114375000, -6.468202e+001,
2116250000, -6.513670e+001,
2118125000, -6.496770e+001,
2120000000, -6.565482e+001,
2121875000, -6.573331e+001,
2123750000, -6.535648e+001,
2125625000, -6.537636e+001,
2127500000, -6.541979e+001,
2129375000, -6.576753e+001,
2131250000, -6.529526e+001,
2133125000, -6.542556e+001,
2135000000, -6.562132e+001,
2136875000, -6.609011e+001,
2138750000, -6.521764e+001,
2140625000, -6.567085e+001,
2142500000, -6.623141e+001,
2144375000, -6.573756e+001,
2146250000, -6.592340e+001,
2148125000, -6.667075e+001,
2150000000, -6.684044e+001,
2151875000, -6.715792e+001,
2153750000, -6.620444e+001,
2155625000, -6.638666e+001,
2157500000, -6.679691e+001,
2159375000, -6.751649e+001,
2161250000, -6.660558e+001,
2163125000, -6.673570e+001,
2165000000, -6.715777e+001,
2166875000, -6.681989e+001,
2168750000, -6.746861e+001,
2170625000, -6.735246e+001,
2172500000, -6.736794e+001,
2174375000, -6.714045e+001,
2176250000, -6.735527e+001,
2178125000, -6.784274e+001,
2180000000, -6.668356e+001,
2181875000, -6.601299e+001,
2183750000, -6.813563e+001,
2185625000, -6.717490e+001,
2187500000, -6.729416e+001,
2189375000, -6.694249e+001,
2191250000, -6.748598e+001,
2193125000, -6.643175e+001,
2195000000, -6.619872e+001,
2196875000, -6.680652e+001,
2198750000, -6.780329e+001,
2200625000, -6.629530e+001,
2202500000, -6.574434e+001,
2204375000, -6.682303e+001,
2206250000, -6.793892e+001,
2208125000, -6.734677e+001,
2210000000, -6.649411e+001,
2211875000, -6.645963e+001,
2213750000, -6.695556e+001,
2215625000, -6.700951e+001,
2217500000, -6.718192e+001,
2219375000, -6.710199e+001,
2221250000, -6.670779e+001,
2223125000, -6.725660e+001,
2225000000, -6.597896e+001,
2226875000, -6.694497e+001,
2228750000, -6.742191e+001,
2230625000, -6.697994e+001,
2232500000, -6.778874e+001,
2234375000, -6.662903e+001,
2236250000, -6.682398e+001,
2238125000, -6.729169e+001,
2240000000, -6.714571e+001,
2241875000, -6.759297e+001,
2243750000, -6.777427e+001,
2245625000, -6.830879e+001,
2247500000, -6.957050e+001,
2249375000, -6.813653e+001,
2251250000, -6.772192e+001,
2253125000, -6.803651e+001,
2255000000, -6.784631e+001,
2256875000, -6.789470e+001,
2258750000, -6.776436e+001,
2260625000, -6.815005e+001,
2262500000, -6.880456e+001,
2264375000, -6.872913e+001,
2266250000, -6.823801e+001,
2268125000, -6.840249e+001,
2270000000, -6.859379e+001,
2271875000, -6.928112e+001,
2273750000, -6.906767e+001,
2275625000, -6.769626e+001,
2277500000, -6.815736e+001,
2279375000, -6.823229e+001,
2281250000, -6.873438e+001,
2283125000, -6.759074e+001,
2285000000, -6.934242e+001,
2286875000, -6.992737e+001,
2288750000, -6.965318e+001,
2290625000, -6.927888e+001,
2292500000, -6.927562e+001,
2294375000, -6.795184e+001,
2296250000, -6.796460e+001,
2298125000, -6.828548e+001,
2300000000, -6.827937e+001,
2301875000, -6.817903e+001,
2303750000, -6.830807e+001,
2305625000, -6.835501e+001,
2307500000, -6.717882e+001,
2309375000, -6.824230e+001,
2311250000, -6.691898e+001,
2313125000, -6.719553e+001,
2315000000, -6.756445e+001,
2316875000, -6.719694e+001,
2318750000, -6.649317e+001,
2320625000, -6.659946e+001,
2322500000, -6.731983e+001,
2324375000, -6.736848e+001,
2326250000, -6.700757e+001,
2328125000, -6.689478e+001,
2330000000, -6.684401e+001,
2331875000, -6.647851e+001,
2333750000, -6.661391e+001,
2335625000, -6.707869e+001,
2337500000, -6.639222e+001,
2339375000, -6.663272e+001,
2341250000, -6.639560e+001,
2343125000, -6.639954e+001,
2345000000, -6.669665e+001,
2346875000, -6.712621e+001,
2348750000, -6.690281e+001,
2350625000, -6.542915e+001,
2352500000, -6.613715e+001,
2354375000, -6.597295e+001,
2356250000, -6.592598e+001,
2358125000, -6.606334e+001,
2360000000, -6.627258e+001,
2361875000, -6.710552e+001,
2363750000, -6.586623e+001,
2365625000, -6.600563e+001,
2367500000, -6.562636e+001,
2369375000, -6.613260e+001,
2371250000, -6.654104e+001,
2373125000, -6.606079e+001,
2375000000, -6.703764e+001,
2376875000, -6.644785e+001,
2378750000, -6.651337e+001,
2380625000, -6.660116e+001,
2382500000, -6.688696e+001,
2384375000, -6.699855e+001,
2386250000, -6.727579e+001,
2388125000, -6.705933e+001,
2390000000, -6.628412e+001,
2391875000, -6.740845e+001,
2393750000, -6.626184e+001,
2395625000, -6.626318e+001,
2397500000, -6.611235e+001,
2399375000, -6.669400e+001,
2401250000, -6.603441e+001,
2403125000, -6.651317e+001,
2405000000, -6.613778e+001,
2406875000, -6.667596e+001,
2408750000, -6.641740e+001,
2410625000, -6.617123e+001,
2412500000, -6.589201e+001,
2414375000, -6.538384e+001,
2416250000, -6.545631e+001,
2418125000, -6.548566e+001,
2420000000, -6.515589e+001,
2421875000, -6.521578e+001,
2423750000, -6.495120e+001,
2425625000, -6.499295e+001,
2427500000, -6.550229e+001,
2429375000, -6.501173e+001,
2431250000, -6.516011e+001,
2433125000, -6.447176e+001,
2435000000, -6.438519e+001,
2436875000, -6.469653e+001,
2438750000, -6.485365e+001,
2440625000, -6.464307e+001,
2442500000, -6.426988e+001,
2444375000, -6.470759e+001,
2446250000, -6.407928e+001,
2448125000, -6.556966e+001,
2450000000, -6.467452e+001,
2451875000, -6.402930e+001,
2453750000, -6.433961e+001,
2455625000, -6.515594e+001,
2457500000, -6.377719e+001,
2459375000, -6.408540e+001,
2461250000, -6.437631e+001,
2463125000, -6.377550e+001,
2465000000, -6.461682e+001,
