"S21 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.473193e+001,
2001875000, -6.322788e+001,
2003750000, -6.433270e+001,
2005625000, -6.328652e+001,
2007500000, -6.468641e+001,
2009375000, -6.426959e+001,
2011250000, -6.393211e+001,
2013125000, -6.394882e+001,
2015000000, -6.430183e+001,
2016875000, -6.499934e+001,
2018750000, -6.409103e+001,
2020625000, -6.496797e+001,
2022500000, -6.527319e+001,
2024375000, -6.419479e+001,
2026250000, -6.405370e+001,
2028125000, -6.542200e+001,
2030000000, -6.514148e+001,
2031875000, -6.474152e+001,
2033750000, -6.452206e+001,
2035625000, -6.427554e+001,
2037500000, -6.500164e+001,
2039375000, -6.473550e+001,
2041250000, -6.463425e+001,
2043125000, -6.515486e+001,
2045000000, -6.498329e+001,
2046875000, -6.446314e+001,
2048750000, -6.458048e+001,
2050625000, -6.457882e+001,
2052500000, -6.448946e+001,
2054375000, -6.505869e+001,
2056250000, -6.469252e+001,
2058125000, -6.410979e+001,
2060000000, -6.507965e+001,
2061875000, -6.500260e+001,
2063750000, -6.375125e+001,
2065625000, -6.461880e+001,
2067500000, -6.398822e+001,
2069375000, -6.376546e+001,
2071250000, -6.444295e+001,
2073125000, -6.462227e+001,
2075000000, -6.467251e+001,
2076875000, -6.488875e+001,
2078750000, -6.397698e+001,
2080625000, -6.363097e+001,
2082500000, -6.471303e+001,
2084375000, -6.557763e+001,
2086250000, -6.413976e+001,
2088125000, -6.421066e+001,
2090000000, -6.421345e+001,
2091875000, -6.502486e+001,
2093750000, -6.535721e+001,
2095625000, -6.477503e+001,
2097500000, -6.492176e+001,
2099375000, -6.518755e+001,
2101250000, -6.461132e+001,
2103125000, -6.362641e+001,
2105000000, -6.470920e+001,
2106875000, -6.496276e+001,
2108750000, -6.441666e+001,
2110625000, -6.466190e+001,
2112500000, -6.535157e+001,
2114375000, -6.446010e+001,
2116250000, -6.520222e+001,
2118125000, -6.412208e+001,
2120000000, -6.520306e+001,
2121875000, -6.428457e+001,
2123750000, -6.519083e+001,
2125625000, -6.543620e+001,
2127500000, -6.505864e+001,
2129375000, -6.566477e+001,
2131250000, -6.518964e+001,
2133125000, -6.556960e+001,
2135000000, -6.525753e+001,
2136875000, -6.526896e+001,
2138750000, -6.539174e+001,
2140625000, -6.565213e+001,
2142500000, -6.570728e+001,
2144375000, -6.575208e+001,
2146250000, -6.557239e+001,
2148125000, -6.618598e+001,
2150000000, -6.560656e+001,
2151875000, -6.568211e+001,
2153750000, -6.571394e+001,
2155625000, -6.616247e+001,
2157500000, -6.622469e+001,
2159375000, -6.583503e+001,
2161250000, -6.649500e+001,
2163125000, -6.623752e+001,
2165000000, -6.730645e+001,
2166875000, -6.691172e+001,
2168750000, -6.597803e+001,
2170625000, -6.687403e+001,
2172500000, -6.546996e+001,
2174375000, -6.671001e+001,
2176250000, -6.598804e+001,
2178125000, -6.641211e+001,
2180000000, -6.612178e+001,
2181875000, -6.645455e+001,
2183750000, -6.544579e+001,
2185625000, -6.624551e+001,
2187500000, -6.571265e+001,
2189375000, -6.565475e+001,
2191250000, -6.589883e+001,
2193125000, -6.559919e+001,
2195000000, -6.617229e+001,
2196875000, -6.542623e+001,
2198750000, -6.555370e+001,
2200625000, -6.569432e+001,
2202500000, -6.554346e+001,
2204375000, -6.479062e+001,
2206250000, -6.591647e+001,
2208125000, -6.519034e+001,
2210000000, -6.634612e+001,
2211875000, -6.633716e+001,
2213750000, -6.559853e+001,
2215625000, -6.527930e+001,
2217500000, -6.512154e+001,
2219375000, -6.671699e+001,
2221250000, -6.486961e+001,
2223125000, -6.533732e+001,
2225000000, -6.476855e+001,
2226875000, -6.540277e+001,
2228750000, -6.516794e+001,
2230625000, -6.502212e+001,
2232500000, -6.587997e+001,
2234375000, -6.492319e+001,
2236250000, -6.526516e+001,
2238125000, -6.506052e+001,
2240000000, -6.540573e+001,
2241875000, -6.538239e+001,
2243750000, -6.609550e+001,
2245625000, -6.580985e+001,
2247500000, -6.578064e+001,
2249375000, -6.540192e+001,
2251250000, -6.460201e+001,
2253125000, -6.587914e+001,
2255000000, -6.566258e+001,
2256875000, -6.565809e+001,
2258750000, -6.502936e+001,
2260625000, -6.630824e+001,
2262500000, -6.577639e+001,
2264375000, -6.573583e+001,
2266250000, -6.601000e+001,
2268125000, -6.736614e+001,
2270000000, -6.713213e+001,
2271875000, -6.680139e+001,
2273750000, -6.593775e+001,
2275625000, -6.781940e+001,
2277500000, -6.810421e+001,
2279375000, -6.671483e+001,
2281250000, -6.605975e+001,
2283125000, -6.760896e+001,
2285000000, -6.635343e+001,
2286875000, -6.629787e+001,
2288750000, -6.531086e+001,
2290625000, -6.701215e+001,
2292500000, -6.714867e+001,
2294375000, -6.645801e+001,
2296250000, -6.579616e+001,
2298125000, -6.667132e+001,
2300000000, -6.674989e+001,
2301875000, -6.677882e+001,
2303750000, -6.650994e+001,
2305625000, -6.684663e+001,
2307500000, -6.594740e+001,
2309375000, -6.610284e+001,
2311250000, -6.557738e+001,
2313125000, -6.603860e+001,
2315000000, -6.595253e+001,
2316875000, -6.671003e+001,
2318750000, -6.513985e+001,
2320625000, -6.561493e+001,
2322500000, -6.558181e+001,
2324375000, -6.607108e+001,
2326250000, -6.574393e+001,
2328125000, -6.488665e+001,
2330000000, -6.516762e+001,
2331875000, -6.627229e+001,
2333750000, -6.528069e+001,
2335625000, -6.514326e+001,
2337500000, -6.541606e+001,
2339375000, -6.510194e+001,
2341250000, -6.527424e+001,
2343125000, -6.500494e+001,
2345000000, -6.545675e+001,
2346875000, -6.496205e+001,
2348750000, -6.417522e+001,
2350625000, -6.587485e+001,
2352500000, -6.504572e+001,
2354375000, -6.486742e+001,
2356250000, -6.580370e+001,
2358125000, -6.464307e+001,
2360000000, -6.504131e+001,
2361875000, -6.617513e+001,
2363750000, -6.483386e+001,
2365625000, -6.570821e+001,
2367500000, -6.512426e+001,
2369375000, -6.609187e+001,
2371250000, -6.577747e+001,
2373125000, -6.543751e+001,
2375000000, -6.461056e+001,
2376875000, -6.478971e+001,
2378750000, -6.505109e+001,
2380625000, -6.551287e+001,
2382500000, -6.558127e+001,
2384375000, -6.497346e+001,
2386250000, -6.465755e+001,
2388125000, -6.525712e+001,
2390000000, -6.551533e+001,
2391875000, -6.521882e+001,
2393750000, -6.433713e+001,
2395625000, -6.585582e+001,
2397500000, -6.559146e+001,
2399375000, -6.496024e+001,
2401250000, -6.568681e+001,
2403125000, -6.613789e+001,
2405000000, -6.493388e+001,
2406875000, -6.536690e+001,
2408750000, -6.522048e+001,
2410625000, -6.567419e+001,
2412500000, -6.521693e+001,
2414375000, -6.536026e+001,
2416250000, -6.534890e+001,
2418125000, -6.585455e+001,
2420000000, -6.553130e+001,
2421875000, -6.523922e+001,
2423750000, -6.564540e+001,
2425625000, -6.495740e+001,
2427500000, -6.531160e+001,
2429375000, -6.575452e+001,
2431250000, -6.473949e+001,
2433125000, -6.485338e+001,
2435000000, -6.532035e+001,
2436875000, -6.550439e+001,
2438750000, -6.502397e+001,
2440625000, -6.420879e+001,
2442500000, -6.529235e+001,
2444375000, -6.533267e+001,
2446250000, -6.572227e+001,
2448125000, -6.482326e+001,
2450000000, -6.524612e+001,
2451875000, -6.453152e+001,
2453750000, -6.523288e+001,
2455625000, -6.458547e+001,
2457500000, -6.531765e+001,
2459375000, -6.533424e+001,
2461250000, -6.460836e+001,
2463125000, -6.462499e+001,
2465000000, -6.536197e+001,
2466875000, -6.480698e+001,
2468750000, -6.610170e+001,
2470625000, -6.489751e+001,
2472500000, -6.498949e+001,
2474375000, -6.517654e+001,
2476250000, -6.451928e+001,
2478125000, -6.476641e+001,
2480000000, -6.461285e+001,
2481875000, -6.544446e+001,
2483750000, -6.486881e+001,
2485625000, -6.470825e+001,
2487500000, -6.492619e+001,
2489375000, -6.371347e+001,
2491250000, -6.498573e+001,
2493125000, -6.462327e+001,
2495000000, -6.417942e+001,
2496875000, -6.485299e+001,
2498750000, -6.406693e+001,
2500625000, -6.456597e+001,
2502500000, -6.397489e+001,
2504375000, -6.406078e+001,
2506250000, -6.484836e+001,
2508125000, -6.441045e+001,
2510000000, -6.415278e+001,
2511875000, -6.431647e+001,
2513750000, -6.451066e+001,
2515625000, -6.423645e+001,
2517500000, -6.462984e+001,
2519375000, -6.448161e+001,
2521250000, -6.482378e+001,
2523125000, -6.485061e+001,
2525000000, -6.459578e+001,
2526875000, -6.477801e+001,
2528750000, -6.513554e+001,
2530625000, -6.459428e+001,
2532500000, -6.566570e+001,
2534375000, -6.496211e+001,
2536250000, -6.509074e+001,
2538125000, -6.581118e+001,
2540000000, -6.469523e+001,
2541875000, -6.575524e+001,
2543750000, -6.504263e+001,
2545625000, -6.588306e+001,
2547500000, -6.568611e+001,
2549375000, -6.464895e+001,
2551250000, -6.493653e+001,
2553125000, -6.525828e+001,
2555000000, -6.499435e+001,
2556875000, -6.493087e+001,
2558750000, -6.508807e+001,
2560625000, -6.537793e+001,
