"S21 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.307907e+001,
2001875000, -6.416589e+001,
2003750000, -6.351606e+001,
2005625000, -6.588432e+001,
2007500000, -6.423431e+001,
2009375000, -6.485207e+001,
2011250000, -6.430627e+001,
2013125000, -6.406976e+001,
2015000000, -6.474674e+001,
2016875000, -6.481402e+001,
2018750000, -6.468465e+001,
2020625000, -6.398304e+001,
2022500000, -6.418129e+001,
2024375000, -6.504022e+001,
2026250000, -6.443639e+001,
2028125000, -6.398863e+001,
2030000000, -6.503930e+001,
2031875000, -6.449986e+001,
2033750000, -6.470143e+001,
2035625000, -6.456414e+001,
2037500000, -6.486945e+001,
2039375000, -6.465757e+001,
2041250000, -6.530228e+001,
2043125000, -6.473232e+001,
2045000000, -6.462127e+001,
2046875000, -6.488194e+001,
2048750000, -6.499940e+001,
2050625000, -6.473434e+001,
2052500000, -6.397141e+001,
2054375000, -6.478575e+001,
2056250000, -6.471742e+001,
2058125000, -6.436610e+001,
2060000000, -6.419185e+001,
2061875000, -6.433262e+001,
2063750000, -6.489446e+001,
2065625000, -6.446994e+001,
2067500000, -6.420352e+001,
2069375000, -6.450820e+001,
2071250000, -6.515634e+001,
2073125000, -6.413741e+001,
2075000000, -6.442170e+001,
2076875000, -6.511757e+001,
2078750000, -6.510426e+001,
2080625000, -6.494328e+001,
2082500000, -6.475580e+001,
2084375000, -6.428244e+001,
2086250000, -6.462490e+001,
2088125000, -6.467242e+001,
2090000000, -6.515141e+001,
2091875000, -6.378574e+001,
2093750000, -6.436436e+001,
2095625000, -6.463651e+001,
2097500000, -6.406269e+001,
2099375000, -6.486968e+001,
2101250000, -6.524509e+001,
2103125000, -6.562959e+001,
2105000000, -6.434420e+001,
2106875000, -6.482467e+001,
2108750000, -6.468453e+001,
2110625000, -6.499320e+001,
2112500000, -6.496863e+001,
2114375000, -6.541924e+001,
2116250000, -6.440565e+001,
2118125000, -6.519971e+001,
2120000000, -6.556259e+001,
2121875000, -6.545607e+001,
2123750000, -6.552424e+001,
2125625000, -6.460253e+001,
2127500000, -6.528825e+001,
2129375000, -6.515602e+001,
2131250000, -6.534906e+001,
2133125000, -6.489874e+001,
2135000000, -6.516787e+001,
2136875000, -6.642763e+001,
2138750000, -6.493341e+001,
2140625000, -6.466511e+001,
2142500000, -6.557813e+001,
2144375000, -6.603261e+001,
2146250000, -6.602563e+001,
2148125000, -6.580476e+001,
2150000000, -6.614195e+001,
2151875000, -6.615604e+001,
2153750000, -6.573656e+001,
2155625000, -6.512358e+001,
2157500000, -6.566325e+001,
2159375000, -6.651485e+001,
2161250000, -6.647639e+001,
2163125000, -6.608458e+001,
2165000000, -6.617252e+001,
2166875000, -6.556609e+001,
2168750000, -6.684162e+001,
2170625000, -6.530021e+001,
2172500000, -6.591870e+001,
2174375000, -6.683918e+001,
2176250000, -6.650790e+001,
2178125000, -6.600391e+001,
2180000000, -6.578722e+001,
2181875000, -6.695513e+001,
2183750000, -6.721468e+001,
2185625000, -6.556647e+001,
2187500000, -6.495625e+001,
2189375000, -6.564402e+001,
2191250000, -6.712912e+001,
2193125000, -6.663001e+001,
2195000000, -6.631566e+001,
2196875000, -6.484703e+001,
2198750000, -6.624892e+001,
2200625000, -6.730548e+001,
2202500000, -6.588276e+001,
2204375000, -6.556953e+001,
2206250000, -6.533692e+001,
2208125000, -6.655112e+001,
2210000000, -6.658701e+001,
2211875000, -6.508414e+001,
2213750000, -6.514342e+001,
2215625000, -6.645569e+001,
2217500000, -6.485056e+001,
2219375000, -6.488337e+001,
2221250000, -6.516548e+001,
2223125000, -6.529362e+001,
2225000000, -6.521204e+001,
2226875000, -6.461778e+001,
2228750000, -6.525478e+001,
2230625000, -6.549171e+001,
2232500000, -6.446287e+001,
2234375000, -6.527526e+001,
2236250000, -6.460432e+001,
2238125000, -6.562460e+001,
2240000000, -6.471351e+001,
2241875000, -6.499067e+001,
2243750000, -6.479559e+001,
2245625000, -6.530269e+001,
2247500000, -6.537244e+001,
2249375000, -6.528835e+001,
2251250000, -6.498425e+001,
2253125000, -6.576312e+001,
2255000000, -6.577042e+001,
2256875000, -6.547931e+001,
2258750000, -6.595198e+001,
2260625000, -6.654449e+001,
2262500000, -6.629489e+001,
2264375000, -6.768420e+001,
2266250000, -6.714030e+001,
2268125000, -6.597074e+001,
2270000000, -6.690716e+001,
2271875000, -6.615490e+001,
2273750000, -6.572803e+001,
2275625000, -6.543742e+001,
2277500000, -6.707169e+001,
2279375000, -6.704323e+001,
2281250000, -6.686913e+001,
2283125000, -6.537879e+001,
2285000000, -6.596373e+001,
2286875000, -6.624567e+001,
2288750000, -6.611143e+001,
2290625000, -6.713647e+001,
2292500000, -6.723074e+001,
2294375000, -6.627114e+001,
2296250000, -6.646208e+001,
2298125000, -6.676504e+001,
2300000000, -6.794514e+001,
2301875000, -6.650323e+001,
2303750000, -6.666245e+001,
2305625000, -6.724531e+001,
2307500000, -6.648917e+001,
2309375000, -6.681626e+001,
2311250000, -6.620927e+001,
2313125000, -6.561465e+001,
2315000000, -6.596519e+001,
2316875000, -6.624501e+001,
2318750000, -6.703275e+001,
2320625000, -6.569761e+001,
2322500000, -6.608165e+001,
2324375000, -6.585876e+001,
2326250000, -6.620733e+001,
2328125000, -6.657169e+001,
2330000000, -6.451972e+001,
2331875000, -6.503590e+001,
2333750000, -6.513667e+001,
2335625000, -6.572339e+001,
2337500000, -6.518579e+001,
2339375000, -6.507208e+001,
2341250000, -6.523611e+001,
2343125000, -6.533778e+001,
2345000000, -6.522778e+001,
2346875000, -6.457041e+001,
2348750000, -6.599507e+001,
2350625000, -6.511487e+001,
2352500000, -6.559493e+001,
2354375000, -6.657104e+001,
2356250000, -6.511126e+001,
2358125000, -6.474937e+001,
2360000000, -6.608318e+001,
2361875000, -6.536918e+001,
2363750000, -6.402379e+001,
2365625000, -6.599575e+001,
2367500000, -6.521022e+001,
2369375000, -6.535490e+001,
2371250000, -6.489948e+001,
2373125000, -6.534070e+001,
2375000000, -6.562075e+001,
2376875000, -6.552158e+001,
2378750000, -6.501187e+001,
2380625000, -6.499834e+001,
2382500000, -6.527560e+001,
2384375000, -6.576809e+001,
2386250000, -6.539651e+001,
2388125000, -6.442777e+001,
2390000000, -6.563875e+001,
2391875000, -6.671737e+001,
2393750000, -6.526855e+001,
2395625000, -6.458127e+001,
2397500000, -6.617571e+001,
2399375000, -6.527777e+001,
2401250000, -6.538091e+001,
2403125000, -6.558857e+001,
2405000000, -6.481628e+001,
2406875000, -6.559673e+001,
2408750000, -6.522319e+001,
2410625000, -6.521312e+001,
2412500000, -6.531819e+001,
2414375000, -6.533039e+001,
2416250000, -6.524213e+001,
2418125000, -6.502480e+001,
2420000000, -6.524870e+001,
2421875000, -6.529522e+001,
2423750000, -6.550336e+001,
2425625000, -6.550624e+001,
2427500000, -6.584695e+001,
2429375000, -6.574878e+001,
2431250000, -6.536433e+001,
2433125000, -6.542523e+001,
2435000000, -6.424871e+001,
2436875000, -6.428217e+001,
2438750000, -6.463657e+001,
2440625000, -6.583754e+001,
2442500000, -6.559978e+001,
2444375000, -6.509779e+001,
2446250000, -6.525188e+001,
2448125000, -6.561919e+001,
2450000000, -6.591959e+001,
2451875000, -6.467324e+001,
2453750000, -6.481798e+001,
2455625000, -6.535573e+001,
2457500000, -6.529721e+001,
2459375000, -6.593184e+001,
2461250000, -6.503439e+001,
2463125000, -6.451420e+001,
2465000000, -6.504506e+001,
2466875000, -6.444042e+001,
2468750000, -6.488267e+001,
2470625000, -6.460641e+001,
2472500000, -6.442275e+001,
2474375000, -6.415257e+001,
2476250000, -6.378051e+001,
2478125000, -6.428258e+001,
2480000000, -6.580084e+001,
2481875000, -6.472041e+001,
2483750000, -6.466296e+001,
2485625000, -6.382800e+001,
2487500000, -6.471396e+001,
2489375000, -6.487130e+001,
2491250000, -6.392708e+001,
2493125000, -6.439333e+001,
2495000000, -6.518893e+001,
2496875000, -6.400197e+001,
2498750000, -6.360828e+001,
2500625000, -6.408910e+001,
2502500000, -6.497266e+001,
2504375000, -6.461327e+001,
2506250000, -6.413042e+001,
2508125000, -6.386741e+001,
