"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.454469e+001,
2001875000, -6.454898e+001,
2003750000, -6.449273e+001,
2005625000, -6.391872e+001,
2007500000, -6.433038e+001,
2009375000, -6.394111e+001,
2011250000, -6.508696e+001,
2013125000, -6.468345e+001,
2015000000, -6.428140e+001,
2016875000, -6.534092e+001,
2018750000, -6.442008e+001,
2020625000, -6.484832e+001,
2022500000, -6.445613e+001,
2024375000, -6.451822e+001,
2026250000, -6.523466e+001,
2028125000, -6.447580e+001,
2030000000, -6.514429e+001,
2031875000, -6.524981e+001,
2033750000, -6.529523e+001,
2035625000, -6.453948e+001,
2037500000, -6.591978e+001,
2039375000, -6.555952e+001,
2041250000, -6.558424e+001,
2043125000, -6.477203e+001,
2045000000, -6.488861e+001,
2046875000, -6.484354e+001,
2048750000, -6.502586e+001,
2050625000, -6.509408e+001,
2052500000, -6.504667e+001,
2054375000, -6.496113e+001,
2056250000, -6.460299e+001,
2058125000, -6.464289e+001,
2060000000, -6.502341e+001,
2061875000, -6.452453e+001,
2063750000, -6.507230e+001,
2065625000, -6.510808e+001,
2067500000, -6.524837e+001,
2069375000, -6.467370e+001,
2071250000, -6.546829e+001,
2073125000, -6.515202e+001,
2075000000, -6.527525e+001,
2076875000, -6.517920e+001,
2078750000, -6.446214e+001,
2080625000, -6.446036e+001,
2082500000, -6.491031e+001,
2084375000, -6.497778e+001,
2086250000, -6.414960e+001,
2088125000, -6.515141e+001,
2090000000, -6.446302e+001,
2091875000, -6.455789e+001,
2093750000, -6.519920e+001,
2095625000, -6.504280e+001,
2097500000, -6.605516e+001,
2099375000, -6.503723e+001,
2101250000, -6.486305e+001,
2103125000, -6.527179e+001,
2105000000, -6.564729e+001,
2106875000, -6.503125e+001,
2108750000, -6.454630e+001,
2110625000, -6.462889e+001,
2112500000, -6.480161e+001,
2114375000, -6.499957e+001,
2116250000, -6.430374e+001,
2118125000, -6.505352e+001,
2120000000, -6.511403e+001,
2121875000, -6.553185e+001,
2123750000, -6.605854e+001,
2125625000, -6.555797e+001,
2127500000, -6.572276e+001,
2129375000, -6.581142e+001,
2131250000, -6.509528e+001,
2133125000, -6.534808e+001,
2135000000, -6.585251e+001,
2136875000, -6.572791e+001,
2138750000, -6.594061e+001,
2140625000, -6.517342e+001,
2142500000, -6.635432e+001,
2144375000, -6.584714e+001,
2146250000, -6.591299e+001,
2148125000, -6.583803e+001,
2150000000, -6.574384e+001,
2151875000, -6.599809e+001,
2153750000, -6.602124e+001,
2155625000, -6.713062e+001,
2157500000, -6.559972e+001,
2159375000, -6.653927e+001,
2161250000, -6.637922e+001,
2163125000, -6.607453e+001,
2165000000, -6.665299e+001,
2166875000, -6.696246e+001,
2168750000, -6.651337e+001,
2170625000, -6.691381e+001,
2172500000, -6.593932e+001,
2174375000, -6.679792e+001,
2176250000, -6.747411e+001,
2178125000, -6.630149e+001,
2180000000, -6.666591e+001,
2181875000, -6.674006e+001,
2183750000, -6.795107e+001,
2185625000, -6.680701e+001,
2187500000, -6.626853e+001,
2189375000, -6.681789e+001,
2191250000, -6.657401e+001,
2193125000, -6.556853e+001,
2195000000, -6.533178e+001,
2196875000, -6.580796e+001,
2198750000, -6.626886e+001,
2200625000, -6.614585e+001,
2202500000, -6.584637e+001,
2204375000, -6.582557e+001,
2206250000, -6.571924e+001,
2208125000, -6.560123e+001,
2210000000, -6.544600e+001,
2211875000, -6.568971e+001,
2213750000, -6.561702e+001,
2215625000, -6.540858e+001,
2217500000, -6.584522e+001,
2219375000, -6.572352e+001,
2221250000, -6.517068e+001,
2223125000, -6.486508e+001,
2225000000, -6.541186e+001,
2226875000, -6.581746e+001,
2228750000, -6.530344e+001,
2230625000, -6.564250e+001,
2232500000, -6.540967e+001,
2234375000, -6.529852e+001,
2236250000, -6.524030e+001,
2238125000, -6.534559e+001,
2240000000, -6.578279e+001,
2241875000, -6.527370e+001,
2243750000, -6.588839e+001,
2245625000, -6.522436e+001,
2247500000, -6.538778e+001,
2249375000, -6.578546e+001,
2251250000, -6.583754e+001,
2253125000, -6.500060e+001,
2255000000, -6.542612e+001,
2256875000, -6.554917e+001,
2258750000, -6.475906e+001,
2260625000, -6.699034e+001,
2262500000, -6.557627e+001,
2264375000, -6.612694e+001,
2266250000, -6.566636e+001,
2268125000, -6.579346e+001,
2270000000, -6.585353e+001,
2271875000, -6.665138e+001,
2273750000, -6.652361e+001,
2275625000, -6.706440e+001,
2277500000, -6.693450e+001,
2279375000, -6.574207e+001,
2281250000, -6.559690e+001,
2283125000, -6.608295e+001,
2285000000, -6.668583e+001,
2286875000, -6.678680e+001,
2288750000, -6.648687e+001,
2290625000, -6.696333e+001,
2292500000, -6.617879e+001,
2294375000, -6.691948e+001,
2296250000, -6.521825e+001,
2298125000, -6.632616e+001,
2300000000, -6.567575e+001,
2301875000, -6.668982e+001,
2303750000, -6.653288e+001,
2305625000, -6.615553e+001,
2307500000, -6.596944e+001,
2309375000, -6.589178e+001,
2311250000, -6.560999e+001,
2313125000, -6.539190e+001,
2315000000, -6.612190e+001,
2316875000, -6.565711e+001,
2318750000, -6.596789e+001,
2320625000, -6.569271e+001,
2322500000, -6.555263e+001,
2324375000, -6.540820e+001,
2326250000, -6.571432e+001,
2328125000, -6.532196e+001,
2330000000, -6.492366e+001,
2331875000, -6.556292e+001,
2333750000, -6.566650e+001,
2335625000, -6.474745e+001,
2337500000, -6.510535e+001,
2339375000, -6.538624e+001,
2341250000, -6.534579e+001,
2343125000, -6.527687e+001,
2345000000, -6.481132e+001,
2346875000, -6.531787e+001,
2348750000, -6.562139e+001,
2350625000, -6.629046e+001,
2352500000, -6.546039e+001,
2354375000, -6.510233e+001,
2356250000, -6.546053e+001,
2358125000, -6.499249e+001,
2360000000, -6.569844e+001,
2361875000, -6.522794e+001,
2363750000, -6.448858e+001,
2365625000, -6.541606e+001,
2367500000, -6.541824e+001,
2369375000, -6.585439e+001,
2371250000, -6.569613e+001,
2373125000, -6.640411e+001,
2375000000, -6.563673e+001,
2376875000, -6.584381e+001,
2378750000, -6.528912e+001,
2380625000, -6.549601e+001,
2382500000, -6.552556e+001,
2384375000, -6.580131e+001,
2386250000, -6.534624e+001,
2388125000, -6.517591e+001,
2390000000, -6.568755e+001,
2391875000, -6.499241e+001,
2393750000, -6.550974e+001,
2395625000, -6.591261e+001,
2397500000, -6.566028e+001,
2399375000, -6.579076e+001,
2401250000, -6.567454e+001,
2403125000, -6.561643e+001,
2405000000, -6.538109e+001,
2406875000, -6.555754e+001,
2408750000, -6.540548e+001,
2410625000, -6.554899e+001,
