"S21 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.386155e+001,
2001875000, -6.449313e+001,
2003750000, -6.334949e+001,
2005625000, -6.451128e+001,
2007500000, -6.422317e+001,
2009375000, -6.447224e+001,
2011250000, -6.452890e+001,
2013125000, -6.422795e+001,
2015000000, -6.464660e+001,
2016875000, -6.405265e+001,
2018750000, -6.393748e+001,
2020625000, -6.340601e+001,
2022500000, -6.509890e+001,
2024375000, -6.410146e+001,
2026250000, -6.448272e+001,
2028125000, -6.478650e+001,
2030000000, -6.418925e+001,
2031875000, -6.482539e+001,
2033750000, -6.504301e+001,
2035625000, -6.440899e+001,
2037500000, -6.586129e+001,
2039375000, -6.434024e+001,
2041250000, -6.471073e+001,
2043125000, -6.498237e+001,
2045000000, -6.510087e+001,
2046875000, -6.459103e+001,
2048750000, -6.479850e+001,
2050625000, -6.436280e+001,
2052500000, -6.575883e+001,
2054375000, -6.476298e+001,
2056250000, -6.474802e+001,
2058125000, -6.432607e+001,
2060000000, -6.418905e+001,
2061875000, -6.522466e+001,
2063750000, -6.424586e+001,
2065625000, -6.540621e+001,
2067500000, -6.503761e+001,
2069375000, -6.417410e+001,
2071250000, -6.402585e+001,
2073125000, -6.521626e+001,
2075000000, -6.451908e+001,
2076875000, -6.582736e+001,
2078750000, -6.434386e+001,
2080625000, -6.420522e+001,
2082500000, -6.425159e+001,
2084375000, -6.460265e+001,
2086250000, -6.430376e+001,
2088125000, -6.537218e+001,
2090000000, -6.424652e+001,
2091875000, -6.470705e+001,
2093750000, -6.520660e+001,
2095625000, -6.457516e+001,
2097500000, -6.492843e+001,
2099375000, -6.513908e+001,
2101250000, -6.451543e+001,
2103125000, -6.485492e+001,
2105000000, -6.507748e+001,
2106875000, -6.488468e+001,
2108750000, -6.483134e+001,
2110625000, -6.467894e+001,
2112500000, -6.559658e+001,
2114375000, -6.496150e+001,
2116250000, -6.449526e+001,
2118125000, -6.434658e+001,
2120000000, -6.503945e+001,
2121875000, -6.455378e+001,
2123750000, -6.517377e+001,
2125625000, -6.497905e+001,
2127500000, -6.409994e+001,
2129375000, -6.480184e+001,
2131250000, -6.483864e+001,
2133125000, -6.592379e+001,
2135000000, -6.543970e+001,
2136875000, -6.553054e+001,
2138750000, -6.514395e+001,
2140625000, -6.671842e+001,
2142500000, -6.569315e+001,
2144375000, -6.549147e+001,
2146250000, -6.505176e+001,
2148125000, -6.595979e+001,
2150000000, -6.636213e+001,
2151875000, -6.521444e+001,
2153750000, -6.571638e+001,
2155625000, -6.624583e+001,
2157500000, -6.677513e+001,
2159375000, -6.693977e+001,
2161250000, -6.482160e+001,
2163125000, -6.563140e+001,
2165000000, -6.656832e+001,
2166875000, -6.584803e+001,
2168750000, -6.635050e+001,
2170625000, -6.545914e+001,
2172500000, -6.606926e+001,
2174375000, -6.655422e+001,
2176250000, -6.662157e+001,
2178125000, -6.535143e+001,
2180000000, -6.794730e+001,
2181875000, -6.665252e+001,
2183750000, -6.610067e+001,
2185625000, -6.643694e+001,
2187500000, -6.631901e+001,
2189375000, -6.695579e+001,
2191250000, -6.574452e+001,
2193125000, -6.713132e+001,
2195000000, -6.681113e+001,
2196875000, -6.647961e+001,
2198750000, -6.535341e+001,
2200625000, -6.655808e+001,
2202500000, -6.563971e+001,
2204375000, -6.599551e+001,
2206250000, -6.578762e+001,
2208125000, -6.557981e+001,
2210000000, -6.613085e+001,
2211875000, -6.582819e+001,
2213750000, -6.473540e+001,
2215625000, -6.569134e+001,
2217500000, -6.530086e+001,
2219375000, -6.608865e+001,
2221250000, -6.465266e+001,
2223125000, -6.455682e+001,
2225000000, -6.524387e+001,
2226875000, -6.485008e+001,
2228750000, -6.532688e+001,
2230625000, -6.441368e+001,
2232500000, -6.495914e+001,
2234375000, -6.530420e+001,
2236250000, -6.514942e+001,
2238125000, -6.448889e+001,
2240000000, -6.451294e+001,
2241875000, -6.447863e+001,
2243750000, -6.531130e+001,
2245625000, -6.543835e+001,
2247500000, -6.460288e+001,
2249375000, -6.525449e+001,
2251250000, -6.613734e+001,
2253125000, -6.578687e+001,
2255000000, -6.520304e+001,
2256875000, -6.582324e+001,
2258750000, -6.568109e+001,
2260625000, -6.584827e+001,
2262500000, -6.574898e+001,
2264375000, -6.474871e+001,
2266250000, -6.638538e+001,
2268125000, -6.662170e+001,
2270000000, -6.577911e+001,
2271875000, -6.539651e+001,
2273750000, -6.622825e+001,
2275625000, -6.753291e+001,
2277500000, -6.534950e+001,
2279375000, -6.617237e+001,
2281250000, -6.569185e+001,
2283125000, -6.621582e+001,
2285000000, -6.673495e+001,
2286875000, -6.669708e+001,
2288750000, -6.596201e+001,
2290625000, -6.659641e+001,
2292500000, -6.764865e+001,
2294375000, -6.619146e+001,
2296250000, -6.631239e+001,
2298125000, -6.594852e+001,
2300000000, -6.654125e+001,
2301875000, -6.553424e+001,
2303750000, -6.520133e+001,
2305625000, -6.490213e+001,
2307500000, -6.661643e+001,
2309375000, -6.560310e+001,
2311250000, -6.570190e+001,
2313125000, -6.477457e+001,
2315000000, -6.589928e+001,
2316875000, -6.545694e+001,
2318750000, -6.501625e+001,
2320625000, -6.445778e+001,
2322500000, -6.542201e+001,
2324375000, -6.567171e+001,
2326250000, -6.527876e+001,
2328125000, -6.477439e+001,
2330000000, -6.481404e+001,
2331875000, -6.541242e+001,
