"S21 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.431097e+001,
2001875000, -6.443902e+001,
2003750000, -6.331673e+001,
2005625000, -6.377773e+001,
2007500000, -6.500077e+001,
2009375000, -6.384158e+001,
2011250000, -6.554577e+001,
2013125000, -6.417742e+001,
2015000000, -6.485927e+001,
2016875000, -6.484817e+001,
2018750000, -6.458105e+001,
2020625000, -6.425037e+001,
2022500000, -6.430611e+001,
2024375000, -6.491516e+001,
2026250000, -6.438172e+001,
2028125000, -6.467060e+001,
2030000000, -6.479193e+001,
2031875000, -6.489902e+001,
2033750000, -6.547000e+001,
2035625000, -6.494850e+001,
2037500000, -6.468179e+001,
2039375000, -6.541540e+001,
2041250000, -6.536935e+001,
2043125000, -6.475635e+001,
2045000000, -6.492319e+001,
2046875000, -6.428165e+001,
2048750000, -6.457807e+001,
2050625000, -6.450060e+001,
2052500000, -6.504357e+001,
2054375000, -6.473748e+001,
2056250000, -6.536232e+001,
2058125000, -6.532027e+001,
2060000000, -6.463554e+001,
2061875000, -6.413562e+001,
2063750000, -6.489458e+001,
2065625000, -6.526463e+001,
2067500000, -6.531688e+001,
2069375000, -6.434958e+001,
2071250000, -6.421281e+001,
2073125000, -6.496241e+001,
2075000000, -6.574246e+001,
2076875000, -6.435847e+001,
2078750000, -6.502805e+001,
2080625000, -6.487212e+001,
2082500000, -6.501057e+001,
2084375000, -6.518155e+001,
2086250000, -6.539941e+001,
2088125000, -6.468610e+001,
2090000000, -6.518092e+001,
2091875000, -6.528342e+001,
2093750000, -6.503336e+001,
2095625000, -6.453223e+001,
2097500000, -6.475663e+001,
2099375000, -6.481652e+001,
2101250000, -6.508703e+001,
2103125000, -6.557355e+001,
2105000000, -6.496861e+001,
2106875000, -6.567135e+001,
2108750000, -6.358981e+001,
2110625000, -6.514320e+001,
2112500000, -6.504633e+001,
2114375000, -6.474653e+001,
2116250000, -6.565237e+001,
2118125000, -6.549503e+001,
2120000000, -6.558901e+001,
2121875000, -6.406268e+001,
2123750000, -6.453780e+001,
2125625000, -6.478353e+001,
2127500000, -6.545942e+001,
2129375000, -6.481299e+001,
2131250000, -6.587482e+001,
2133125000, -6.444971e+001,
2135000000, -6.473172e+001,
2136875000, -6.578804e+001,
2138750000, -6.520431e+001,
2140625000, -6.570473e+001,
2142500000, -6.598838e+001,
2144375000, -6.590829e+001,
2146250000, -6.558116e+001,
2148125000, -6.680869e+001,
2150000000, -6.523339e+001,
2151875000, -6.574248e+001,
2153750000, -6.599818e+001,
2155625000, -6.588757e+001,
2157500000, -6.625925e+001,
2159375000, -6.686582e+001,
2161250000, -6.649671e+001,
2163125000, -6.641512e+001,
2165000000, -6.600697e+001,
2166875000, -6.715754e+001,
2168750000, -6.696101e+001,
2170625000, -6.709409e+001,
2172500000, -6.707721e+001,
2174375000, -6.707916e+001,
2176250000, -6.612829e+001,
2178125000, -6.758090e+001,
2180000000, -6.598209e+001,
2181875000, -6.824091e+001,
2183750000, -6.679061e+001,
2185625000, -6.732291e+001,
2187500000, -6.633557e+001,
2189375000, -6.709929e+001,
2191250000, -6.570216e+001,
2193125000, -6.630699e+001,
2195000000, -6.644220e+001,
2196875000, -6.606271e+001,
2198750000, -6.590211e+001,
2200625000, -6.764798e+001,
2202500000, -6.726803e+001,
2204375000, -6.590820e+001,
2206250000, -6.591432e+001,
2208125000, -6.583117e+001,
2210000000, -6.660617e+001,
2211875000, -6.546386e+001,
2213750000, -6.497241e+001,
2215625000, -6.617488e+001,
2217500000, -6.604498e+001,
2219375000, -6.572022e+001,
2221250000, -6.509334e+001,
2223125000, -6.595422e+001,
2225000000, -6.497594e+001,
2226875000, -6.560547e+001,
2228750000, -6.568851e+001,
2230625000, -6.492842e+001,
2232500000, -6.520590e+001,
2234375000, -6.592194e+001,
2236250000, -6.533929e+001,
2238125000, -6.572804e+001,
2240000000, -6.633006e+001,
2241875000, -6.569714e+001,
2243750000, -6.570257e+001,
2245625000, -6.529147e+001,
2247500000, -6.567930e+001,
2249375000, -6.578680e+001,
2251250000, -6.663645e+001,
2253125000, -6.609074e+001,
