"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.499134e+001,
2001875000, -6.473425e+001,
2003750000, -6.460110e+001,
2005625000, -6.536855e+001,
2007500000, -6.399762e+001,
2009375000, -6.450827e+001,
2011250000, -6.484153e+001,
2013125000, -6.409529e+001,
2015000000, -6.534247e+001,
2016875000, -6.535014e+001,
2018750000, -6.569024e+001,
2020625000, -6.527455e+001,
2022500000, -6.483994e+001,
2024375000, -6.497353e+001,
2026250000, -6.545001e+001,
2028125000, -6.423258e+001,
2030000000, -6.504118e+001,
2031875000, -6.485308e+001,
2033750000, -6.518198e+001,
2035625000, -6.517747e+001,
2037500000, -6.439503e+001,
2039375000, -6.581471e+001,
2041250000, -6.567271e+001,
2043125000, -6.543250e+001,
2045000000, -6.480122e+001,
2046875000, -6.470738e+001,
2048750000, -6.493168e+001,
2050625000, -6.495419e+001,
2052500000, -6.496910e+001,
2054375000, -6.450882e+001,
2056250000, -6.484594e+001,
2058125000, -6.430949e+001,
2060000000, -6.524486e+001,
2061875000, -6.452538e+001,
2063750000, -6.456398e+001,
2065625000, -6.575883e+001,
2067500000, -6.519157e+001,
2069375000, -6.525400e+001,
2071250000, -6.498410e+001,
2073125000, -6.448605e+001,
2075000000, -6.527034e+001,
2076875000, -6.445446e+001,
2078750000, -6.569689e+001,
2080625000, -6.507210e+001,
2082500000, -6.512402e+001,
2084375000, -6.522222e+001,
2086250000, -6.514880e+001,
2088125000, -6.507626e+001,
2090000000, -6.479954e+001,
2091875000, -6.487608e+001,
2093750000, -6.471516e+001,
2095625000, -6.498731e+001,
2097500000, -6.506965e+001,
2099375000, -6.536305e+001,
2101250000, -6.497149e+001,
2103125000, -6.507094e+001,
2105000000, -6.472887e+001,
2106875000, -6.512151e+001,
2108750000, -6.540804e+001,
2110625000, -6.553477e+001,
2112500000, -6.537044e+001,
2114375000, -6.464459e+001,
2116250000, -6.543952e+001,
2118125000, -6.483647e+001,
2120000000, -6.471825e+001,
2121875000, -6.579133e+001,
2123750000, -6.553477e+001,
2125625000, -6.540034e+001,
2127500000, -6.517776e+001,
2129375000, -6.595335e+001,
2131250000, -6.556364e+001,
2133125000, -6.555938e+001,
2135000000, -6.491640e+001,
2136875000, -6.562312e+001,
2138750000, -6.611360e+001,
2140625000, -6.640191e+001,
2142500000, -6.584253e+001,
2144375000, -6.561266e+001,
2146250000, -6.558022e+001,
2148125000, -6.611179e+001,
2150000000, -6.649718e+001,
2151875000, -6.562408e+001,
2153750000, -6.599649e+001,
2155625000, -6.681143e+001,
2157500000, -6.542406e+001,
2159375000, -6.673158e+001,
2161250000, -6.608325e+001,
2163125000, -6.559236e+001,
2165000000, -6.636549e+001,
2166875000, -6.654827e+001,
2168750000, -6.652061e+001,
2170625000, -6.629958e+001,
2172500000, -6.678431e+001,
2174375000, -6.746336e+001,
2176250000, -6.579538e+001,
2178125000, -6.666897e+001,
2180000000, -6.593419e+001,
2181875000, -6.628912e+001,
2183750000, -6.623074e+001,
2185625000, -6.724676e+001,
2187500000, -6.729202e+001,
2189375000, -6.648080e+001,
2191250000, -6.579868e+001,
2193125000, -6.577813e+001,
2195000000, -6.606279e+001,
2196875000, -6.610777e+001,
2198750000, -6.629118e+001,
2200625000, -6.594093e+001,
2202500000, -6.597848e+001,
2204375000, -6.579867e+001,
2206250000, -6.585602e+001,
2208125000, -6.545766e+001,
2210000000, -6.516702e+001,
2211875000, -6.557310e+001,
2213750000, -6.542685e+001,
2215625000, -6.553150e+001,
2217500000, -6.529707e+001,
2219375000, -6.481199e+001,
2221250000, -6.514375e+001,
2223125000, -6.522126e+001,
2225000000, -6.519027e+001,
2226875000, -6.524340e+001,
2228750000, -6.563156e+001,
2230625000, -6.526197e+001,
2232500000, -6.542884e+001,
2234375000, -6.534701e+001,
2236250000, -6.514182e+001,
2238125000, -6.527753e+001,
2240000000, -6.499806e+001,
2241875000, -6.512975e+001,
2243750000, -6.535783e+001,
2245625000, -6.513306e+001,
2247500000, -6.519917e+001,
2249375000, -6.534747e+001,
2251250000, -6.585193e+001,
2253125000, -6.585029e+001,
2255000000, -6.556834e+001,
2256875000, -6.535269e+001,
2258750000, -6.600086e+001,
2260625000, -6.530837e+001,
2262500000, -6.579636e+001,
2264375000, -6.593285e+001,
2266250000, -6.636368e+001,
2268125000, -6.629841e+001,
2270000000, -6.684395e+001,
2271875000, -6.662519e+001,
2273750000, -6.619614e+001,
2275625000, -6.667003e+001,
