"S21 Log Mag"
"Frequency (Hz)","dB",
2000000000, -6.419321e+001,
2001875000, -6.428941e+001,
2003750000, -6.432305e+001,
2005625000, -6.416027e+001,
2007500000, -6.419524e+001,
2009375000, -6.384872e+001,
2011250000, -6.472771e+001,
2013125000, -6.445253e+001,
2015000000, -6.429211e+001,
2016875000, -6.561272e+001,
2018750000, -6.428574e+001,
2020625000, -6.443002e+001,
2022500000, -6.518193e+001,
2024375000, -6.412460e+001,
2026250000, -6.347776e+001,
2028125000, -6.405975e+001,
2030000000, -6.461963e+001,
2031875000, -6.365219e+001,
2033750000, -6.504375e+001,
2035625000, -6.470115e+001,
2037500000, -6.414481e+001,
2039375000, -6.496361e+001,
2041250000, -6.458286e+001,
2043125000, -6.469000e+001,
2045000000, -6.429228e+001,
2046875000, -6.454648e+001,
2048750000, -6.481731e+001,
2050625000, -6.446965e+001,
2052500000, -6.461392e+001,
2054375000, -6.434896e+001,
2056250000, -6.478159e+001,
2058125000, -6.378042e+001,
2060000000, -6.478143e+001,
2061875000, -6.435194e+001,
2063750000, -6.430430e+001,
2065625000, -6.428650e+001,
2067500000, -6.400063e+001,
2069375000, -6.411093e+001,
2071250000, -6.397697e+001,
2073125000, -6.482358e+001,
2075000000, -6.394941e+001,
2076875000, -6.491269e+001,
2078750000, -6.418929e+001,
2080625000, -6.398214e+001,
2082500000, -6.401426e+001,
2084375000, -6.420953e+001,
2086250000, -6.489095e+001,
2088125000, -6.418314e+001,
2090000000, -6.395166e+001,
2091875000, -6.481706e+001,
2093750000, -6.440274e+001,
2095625000, -6.445139e+001,
2097500000, -6.455916e+001,
2099375000, -6.449562e+001,
2101250000, -6.464023e+001,
2103125000, -6.405795e+001,
2105000000, -6.423167e+001,
2106875000, -6.439841e+001,
2108750000, -6.439875e+001,
2110625000, -6.529045e+001,
2112500000, -6.461989e+001,
2114375000, -6.491870e+001,
2116250000, -6.406757e+001,
2118125000, -6.482095e+001,
2120000000, -6.456254e+001,
2121875000, -6.528671e+001,
2123750000, -6.456190e+001,
2125625000, -6.492580e+001,
2127500000, -6.453822e+001,
2129375000, -6.400552e+001,
2131250000, -6.541483e+001,
2133125000, -6.553377e+001,
2135000000, -6.454689e+001,
2136875000, -6.508141e+001,
2138750000, -6.513978e+001,
2140625000, -6.590394e+001,
2142500000, -6.579154e+001,
2144375000, -6.545536e+001,
2146250000, -6.502134e+001,
2148125000, -6.585838e+001,
2150000000, -6.533839e+001,
2151875000, -6.554444e+001,
2153750000, -6.545750e+001,
2155625000, -6.581670e+001,
2157500000, -6.568237e+001,
2159375000, -6.533109e+001,
2161250000, -6.604802e+001,
2163125000, -6.569102e+001,
2165000000, -6.658575e+001,
2166875000, -6.592981e+001,
2168750000, -6.551655e+001,
2170625000, -6.571587e+001,
2172500000, -6.788705e+001,
2174375000, -6.648779e+001,
2176250000, -6.559918e+001,
2178125000, -6.681965e+001,
2180000000, -6.621458e+001,
2181875000, -6.580390e+001,
2183750000, -6.646416e+001,
2185625000, -6.531904e+001,
2187500000, -6.607810e+001,
2189375000, -6.672379e+001,
2191250000, -6.571920e+001,
2193125000, -6.532225e+001,
2195000000, -6.575502e+001,
2196875000, -6.562342e+001,
2198750000, -6.558478e+001,
2200625000, -6.610683e+001,
2202500000, -6.487222e+001,
2204375000, -6.546311e+001,
2206250000, -6.626713e+001,
2208125000, -6.487624e+001,
2210000000, -6.517928e+001,
2211875000, -6.609220e+001,
2213750000, -6.489114e+001,
2215625000, -6.417353e+001,
2217500000, -6.560511e+001,
2219375000, -6.459710e+001,
2221250000, -6.483870e+001,
