"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -3.367807e+001,
2001875000, -3.371411e+001,
2003750000, -3.379805e+001,
2005625000, -3.384063e+001,
2007500000, -3.390983e+001,
2009375000, -3.397126e+001,
2011250000, -3.403121e+001,
2013125000, -3.406264e+001,
2015000000, -3.408740e+001,
2016875000, -3.413073e+001,
2018750000, -3.415570e+001,
2020625000, -3.416726e+001,
2022500000, -3.416334e+001,
2024375000, -3.418398e+001,
2026250000, -3.422116e+001,
2028125000, -3.422691e+001,
2030000000, -3.417746e+001,
2031875000, -3.419789e+001,
2033750000, -3.419358e+001,
2035625000, -3.417530e+001,
2037500000, -3.418827e+001,
2039375000, -3.415350e+001,
2041250000, -3.418248e+001,
2043125000, -3.414475e+001,
2045000000, -3.412695e+001,
2046875000, -3.411222e+001,
2048750000, -3.410289e+001,
2050625000, -3.404537e+001,
2052500000, -3.407443e+001,
2054375000, -3.404900e+001,
2056250000, -3.401694e+001,
2058125000, -3.400346e+001,
2060000000, -3.402402e+001,
2061875000, -3.394300e+001,
2063750000, -3.395044e+001,
2065625000, -3.398302e+001,
2067500000, -3.394928e+001,
2069375000, -3.392648e+001,
2071250000, -3.393830e+001,
2073125000, -3.392134e+001,
2075000000, -3.389729e+001,
2076875000, -3.393243e+001,
2078750000, -3.389785e+001,
2080625000, -3.391854e+001,
2082500000, -3.392007e+001,
2084375000, -3.393332e+001,
2086250000, -3.393340e+001,
2088125000, -3.392662e+001,
2090000000, -3.390786e+001,
2091875000, -3.394740e+001,
2093750000, -3.394873e+001,
2095625000, -3.394622e+001,
2097500000, -3.395161e+001,
2099375000, -3.397303e+001,
2101250000, -3.395999e+001,
2103125000, -3.401901e+001,
2105000000, -3.401750e+001,
2106875000, -3.398595e+001,
2108750000, -3.406379e+001,
2110625000, -3.407227e+001,
2112500000, -3.407014e+001,
2114375000, -3.408926e+001,
2116250000, -3.412210e+001,
2118125000, -3.412206e+001,
2120000000, -3.418171e+001,
2121875000, -3.420139e+001,
2123750000, -3.423838e+001,
2125625000, -3.429087e+001,
2127500000, -3.430157e+001,
2129375000, -3.432446e+001,
2131250000, -3.440838e+001,
2133125000, -3.441965e+001,
2135000000, -3.449718e+001,
2136875000, -3.452122e+001,
2138750000, -3.458991e+001,
2140625000, -3.460076e+001,
2142500000, -3.466242e+001,
2144375000, -3.474351e+001,
2146250000, -3.475463e+001,
2148125000, -3.482426e+001,
2150000000, -3.482817e+001,
2151875000, -3.490300e+001,
2153750000, -3.496937e+001,
2155625000, -3.498772e+001,
2157500000, -3.501670e+001,
2159375000, -3.504948e+001,
2161250000, -3.507988e+001,
2163125000, -3.511790e+001,
2165000000, -3.512413e+001,
2166875000, -3.518900e+001,
2168750000, -3.520790e+001,
2170625000, -3.517949e+001,
2172500000, -3.518917e+001,
2174375000, -3.517846e+001,
2176250000, -3.514441e+001,
2178125000, -3.519765e+001,
2180000000, -3.517925e+001,
2181875000, -3.509457e+001,
2183750000, -3.509687e+001,
2185625000, -3.503492e+001,
2187500000, -3.494328e+001,
2189375000, -3.493649e+001,
2191250000, -3.487824e+001,
2193125000, -3.481653e+001,
2195000000, -3.479849e+001,
2196875000, -3.465481e+001,
2198750000, -3.459111e+001,
2200625000, -3.459890e+001,
2202500000, -3.441843e+001,
2204375000, -3.438126e+001,
2206250000, -3.433867e+001,
2208125000, -3.425119e+001,
2210000000, -3.419846e+001,
2211875000, -3.408936e+001,
2213750000, -3.416577e+001,
2215625000, -3.399333e+001,
2217500000, -3.394927e+001,
2219375000, -3.396300e+001,
2221250000, -3.384092e+001,
2223125000, -3.387935e+001,
2225000000, -3.377258e+001,
2226875000, -3.388573e+001,
2228750000, -3.374641e+001,
2230625000, -3.381929e+001,
2232500000, -3.383755e+001,
2234375000, -3.390162e+001,
2236250000, -3.388494e+001,
2238125000, -3.392347e+001,
2240000000, -3.404965e+001,
2241875000, -3.402890e+001,
2243750000, -3.411978e+001,
2245625000, -3.416346e+001,
2247500000, -3.434588e+001,
2249375000, -3.432288e+001,
2251250000, -3.443361e+001,
2253125000, -3.448537e+001,
2255000000, -3.471856e+001,
2256875000, -3.466020e+001,
2258750000, -3.478128e+001,
2260625000, -3.485205e+001,
2262500000, -3.507826e+001,
2264375000, -3.507589e+001,
2266250000, -3.518459e+001,
2268125000, -3.524100e+001,
2270000000, -3.538297e+001,
2271875000, -3.542287e+001,
2273750000, -3.541352e+001,
2275625000, -3.548609e+001,
2277500000, -3.553944e+001,
2279375000, -3.567140e+001,
2281250000, -3.554089e+001,
