"S12 Log Mag"
"Frequency (Hz)","dB",
2000000000, -5.170340e+001,
2001875000, -5.200825e+001,
2003750000, -5.168292e+001,
2005625000, -5.209340e+001,
2007500000, -5.190399e+001,
2009375000, -5.196810e+001,
2011250000, -5.215763e+001,
2013125000, -5.202405e+001,
2015000000, -5.204502e+001,
2016875000, -5.213982e+001,
2018750000, -5.232348e+001,
2020625000, -5.222412e+001,
2022500000, -5.223896e+001,
2024375000, -5.237096e+001,
2026250000, -5.236185e+001,
2028125000, -5.229589e+001,
2030000000, -5.238035e+001,
2031875000, -5.216185e+001,
2033750000, -5.222030e+001,
2035625000, -5.232616e+001,
2037500000, -5.224258e+001,
2039375000, -5.217425e+001,
2041250000, -5.229314e+001,
2043125000, -5.217532e+001,
2045000000, -5.227781e+001,
2046875000, -5.212252e+001,
2048750000, -5.217590e+001,
2050625000, -5.204898e+001,
2052500000, -5.224876e+001,
2054375000, -5.216336e+001,
2056250000, -5.212963e+001,
2058125000, -5.195212e+001,
2060000000, -5.190734e+001,
2061875000, -5.190290e+001,
2063750000, -5.211003e+001,
2065625000, -5.210629e+001,
2067500000, -5.185412e+001,
2069375000, -5.206932e+001,
2071250000, -5.202771e+001,
2073125000, -5.196059e+001,
2075000000, -5.201229e+001,
2076875000, -5.203091e+001,
2078750000, -5.199933e+001,
2080625000, -5.199477e+001,
2082500000, -5.195082e+001,
2084375000, -5.204037e+001,
2086250000, -5.190067e+001,
2088125000, -5.198247e+001,
2090000000, -5.201021e+001,
2091875000, -5.189710e+001,
2093750000, -5.184998e+001,
2095625000, -5.160681e+001,
2097500000, -5.223351e+001,
2099375000, -5.214985e+001,
2101250000, -5.194418e+001,
2103125000, -5.190834e+001,
2105000000, -5.205325e+001,
2106875000, -5.179787e+001,
2108750000, -5.201560e+001,
2110625000, -5.221241e+001,
2112500000, -5.219682e+001,
2114375000, -5.208721e+001,
2116250000, -5.214873e+001,
2118125000, -5.213216e+001,
2120000000, -5.214170e+001,
2121875000, -5.233096e+001,
2123750000, -5.214865e+001,
2125625000, -5.231541e+001,
2127500000, -5.220042e+001,
2129375000, -5.218839e+001,
2131250000, -5.234315e+001,
2133125000, -5.261109e+001,
2135000000, -5.256638e+001,
2136875000, -5.256928e+001,
2138750000, -5.259541e+001,
2140625000, -5.266867e+001,
2142500000, -5.282604e+001,
2144375000, -5.265651e+001,
2146250000, -5.284893e+001,
2148125000, -5.286280e+001,
2150000000, -5.288039e+001,
2151875000, -5.294937e+001,
2153750000, -5.284276e+001,
2155625000, -5.304697e+001,
2157500000, -5.318369e+001,
2159375000, -5.316877e+001,
2161250000, -5.314901e+001,
2163125000, -5.320190e+001,
2165000000, -5.310873e+001,
2166875000, -5.304598e+001,
2168750000, -5.326868e+001,
2170625000, -5.317039e+001,
2172500000, -5.304250e+001,
2174375000, -5.320412e+001,
2176250000, -5.294147e+001,
2178125000, -5.323831e+001,
2180000000, -5.312263e+001,
2181875000, -5.330033e+001,
2183750000, -5.295715e+001,
2185625000, -5.310508e+001,
2187500000, -5.286050e+001,
2189375000, -5.291117e+001,
2191250000, -5.278493e+001,
2193125000, -5.283277e+001,
2195000000, -5.273009e+001,
2196875000, -5.261092e+001,
2198750000, -5.267418e+001,
2200625000, -5.275377e+001,
2202500000, -5.247550e+001,
2204375000, -5.252451e+001,
2206250000, -5.216388e+001,
2208125000, -5.216527e+001,
2210000000, -5.207665e+001,
2211875000, -5.203326e+001,
2213750000, -5.221946e+001,
2215625000, -5.190779e+001,
2217500000, -5.192065e+001,
2219375000, -5.189679e+001,
2221250000, -5.182478e+001,
2223125000, -5.177177e+001,
2225000000, -5.181786e+001,
2226875000, -5.184308e+001,
2228750000, -5.180447e+001,
2230625000, -5.180096e+001,
2232500000, -5.201264e+001,
2234375000, -5.189691e+001,
2236250000, -5.192757e+001,
2238125000, -5.183582e+001,
2240000000, -5.202925e+001,
2241875000, -5.202133e+001,
2243750000, -5.196942e+001,
2245625000, -5.203054e+001,
2247500000, -5.222004e+001,
2249375000, -5.241920e+001,
2251250000, -5.237907e+001,
2253125000, -5.238706e+001,
2255000000, -5.255352e+001,
2256875000, -5.258815e+001,
2258750000, -5.265799e+001,
2260625000, -5.290865e+001,
2262500000, -5.316422e+001,
