"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -6.664074e+001,
3001250000, -6.651255e+001,
3002500000, -6.639558e+001,
3003750000, -6.612741e+001,
3005000000, -6.618974e+001,
3006250000, -6.641047e+001,
3007500000, -6.618647e+001,
3008750000, -6.636885e+001,
3010000000, -6.592907e+001,
3011250000, -6.584259e+001,
3012500000, -6.597570e+001,
3013750000, -6.627246e+001,
3015000000, -6.605676e+001,
3016250000, -6.576307e+001,
3017500000, -6.554157e+001,
3018750000, -6.536078e+001,
3020000000, -6.549771e+001,
3021250000, -6.501251e+001,
3022500000, -6.541514e+001,
3023750000, -6.545853e+001,
3025000000, -6.508567e+001,
3026250000, -6.523544e+001,
3027500000, -6.502721e+001,
3028750000, -6.512630e+001,
3030000000, -6.509339e+001,
3031250000, -6.510375e+001,
3032500000, -6.517969e+001,
3033750000, -6.510293e+001,
3035000000, -6.527335e+001,
3036250000, -6.500601e+001,
3037500000, -6.516827e+001,
3038750000, -6.481369e+001,
3040000000, -6.487935e+001,
3041250000, -6.502936e+001,
3042500000, -6.501035e+001,
3043750000, -6.502905e+001,
3045000000, -6.513123e+001,
3046250000, -6.505602e+001,
3047500000, -6.506599e+001,
3048750000, -6.496844e+001,
3050000000, -6.503599e+001,
3051250000, -6.489486e+001,
3052500000, -6.500701e+001,
3053750000, -6.495529e+001,
3055000000, -6.494804e+001,
3056250000, -6.511034e+001,
3057500000, -6.486832e+001,
3058750000, -6.497089e+001,
3060000000, -6.476412e+001,
3061250000, -6.462989e+001,
3062500000, -6.492946e+001,
3063750000, -6.466766e+001,
3065000000, -6.463570e+001,
3066250000, -6.472652e+001,
3067500000, -6.484329e+001,
3068750000, -6.470637e+001,
3070000000, -6.473121e+001,
3071250000, -6.463138e+001,
3072500000, -6.452127e+001,
3073750000, -6.452923e+001,
3075000000, -6.447658e+001,
3076250000, -6.433159e+001,
3077500000, -6.473141e+001,
3078750000, -6.457780e+001,
3080000000, -6.417612e+001,
3081250000, -6.447717e+001,
3082500000, -6.417781e+001,
3083750000, -6.434126e+001,
3085000000, -6.462670e+001,
3086250000, -6.436347e+001,
3087500000, -6.389711e+001,
3088750000, -6.403257e+001,
3090000000, -6.378709e+001,
3091250000, -6.362427e+001,
3092500000, -6.389160e+001,
3093750000, -6.397106e+001,
3095000000, -6.414624e+001,
3096250000, -6.393814e+001,
3097500000, -6.371996e+001,
3098750000, -6.386506e+001,
3100000000, -6.380260e+001,
3101250000, -6.336243e+001,
3102500000, -6.375503e+001,
3103750000, -6.362557e+001,
3105000000, -6.356360e+001,
3106250000, -6.339780e+001,
3107500000, -6.315838e+001,
3108750000, -6.305154e+001,
3110000000, -6.323217e+001,
3111250000, -6.348782e+001,
3112500000, -6.338722e+001,
3113750000, -6.308175e+001,
3115000000, -6.306266e+001,
3116250000, -6.289750e+001,
3117500000, -6.324188e+001,
3118750000, -6.319947e+001,
3120000000, -6.304608e+001,
3121250000, -6.294351e+001,
3122500000, -6.262329e+001,
3123750000, -6.284358e+001,
3125000000, -6.248273e+001,
3126250000, -6.262931e+001,
3127500000, -6.256398e+001,
3128750000, -6.232070e+001,
3130000000, -6.252409e+001,
3131250000, -6.248619e+001,
3132500000, -6.237577e+001,
3133750000, -6.227584e+001,
3135000000, -6.206186e+001,
3136250000, -6.220810e+001,
3137500000, -6.220226e+001,
3138750000, -6.251385e+001,
3140000000, -6.211578e+001,
3141250000, -6.244693e+001,
3142500000, -6.230647e+001,
3143750000, -6.256066e+001,
3145000000, -6.227197e+001,
3146250000, -6.228437e+001,
3147500000, -6.234554e+001,
3148750000, -6.270246e+001,
3150000000, -6.241145e+001,
3151250000, -6.267036e+001,
3152500000, -6.245967e+001,
3153750000, -6.261654e+001,
3155000000, -6.280451e+001,
3156250000, -6.278796e+001,
3157500000, -6.284423e+001,
