"S21 Log Mag"
"Frequency (Hz)","dB",
3500000000, -5.000770e+001,
3501250000, -4.986894e+001,
3502500000, -5.003231e+001,
3503750000, -5.015717e+001,
3505000000, -4.989720e+001,
3506250000, -4.994323e+001,
3507500000, -5.008010e+001,
3508750000, -4.994428e+001,
3510000000, -4.994789e+001,
3511250000, -5.001083e+001,
3512500000, -4.984491e+001,
3513750000, -4.994116e+001,
3515000000, -5.000630e+001,
3516250000, -5.002531e+001,
3517500000, -4.996666e+001,
3518750000, -4.998542e+001,
3520000000, -4.999851e+001,
3521250000, -5.008988e+001,
3522500000, -5.003751e+001,
3523750000, -4.990923e+001,
3525000000, -5.008363e+001,
3526250000, -5.021806e+001,
3527500000, -5.007554e+001,
3528750000, -5.000501e+001,
3530000000, -5.028330e+001,
3531250000, -5.015448e+001,
3532500000, -5.017263e+001,
3533750000, -5.029004e+001,
3535000000, -5.030540e+001,
3536250000, -5.023490e+001,
3537500000, -5.027735e+001,
3538750000, -5.041817e+001,
3540000000, -5.034310e+001,
3541250000, -5.040623e+001,
3542500000, -5.043003e+001,
3543750000, -5.050982e+001,
3545000000, -5.063718e+001,
3546250000, -5.058832e+001,
3547500000, -5.048393e+001,
3548750000, -5.056879e+001,
3550000000, -5.092487e+001,
3551250000, -5.062008e+001,
3552500000, -5.080432e+001,
3553750000, -5.096262e+001,
3555000000, -5.077724e+001,
3556250000, -5.089960e+001,
3557500000, -5.091165e+001,
3558750000, -5.102733e+001,
3560000000, -5.100218e+001,
3561250000, -5.091397e+001,
3562500000, -5.107554e+001,
3563750000, -5.115110e+001,
3565000000, -5.112622e+001,
3566250000, -5.115335e+001,
3567500000, -5.111761e+001,
3568750000, -5.119930e+001,
3570000000, -5.133906e+001,
3571250000, -5.129575e+001,
3572500000, -5.117475e+001,
3573750000, -5.156628e+001,
3575000000, -5.140051e+001,
3576250000, -5.125114e+001,
3577500000, -5.157944e+001,
3578750000, -5.161225e+001,
3580000000, -5.151198e+001,
3581250000, -5.161924e+001,
3582500000, -5.175347e+001,
3583750000, -5.173729e+001,
3585000000, -5.165759e+001,
3586250000, -5.169544e+001,
3587500000, -5.166558e+001,
3588750000, -5.171789e+001,
3590000000, -5.166875e+001,
3591250000, -5.180973e+001,
3592500000, -5.173737e+001,
3593750000, -5.168987e+001,
3595000000, -5.177938e+001,
3596250000, -5.181982e+001,
3597500000, -5.167880e+001,
3598750000, -5.192321e+001,
3600000000, -5.194712e+001,
3601250000, -5.174901e+001,
3602500000, -5.189768e+001,
3603750000, -5.197726e+001,
