"S12 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.995471e+001,
3501250000, -4.991005e+001,
3502500000, -4.994571e+001,
3503750000, -4.989725e+001,
3505000000, -4.983856e+001,
3506250000, -4.989404e+001,
3507500000, -4.984631e+001,
3508750000, -4.984457e+001,
3510000000, -4.983105e+001,
3511250000, -4.989665e+001,
3512500000, -4.990919e+001,
3513750000, -4.989764e+001,
3515000000, -4.987815e+001,
3516250000, -4.989463e+001,
3517500000, -4.995768e+001,
3518750000, -5.000049e+001,
3520000000, -5.003169e+001,
3521250000, -4.997884e+001,
3522500000, -5.009422e+001,
3523750000, -5.006980e+001,
3525000000, -5.012263e+001,
3526250000, -5.018047e+001,
3527500000, -5.013797e+001,
3528750000, -5.020118e+001,
3530000000, -5.023708e+001,
3531250000, -5.026306e+001,
3532500000, -5.032660e+001,
3533750000, -5.032243e+001,
3535000000, -5.033577e+001,
3536250000, -5.038479e+001,
3537500000, -5.039099e+001,
3538750000, -5.047858e+001,
3540000000, -5.053749e+001,
3541250000, -5.056448e+001,
3542500000, -5.052308e+001,
3543750000, -5.059880e+001,
3545000000, -5.061929e+001,
3546250000, -5.064349e+001,
3547500000, -5.073095e+001,
3548750000, -5.075729e+001,
3550000000, -5.079431e+001,
3551250000, -5.089981e+001,
3552500000, -5.089423e+001,
3553750000, -5.093142e+001,
3555000000, -5.097766e+001,
3556250000, -5.102370e+001,
3557500000, -5.106043e+001,
3558750000, -5.107427e+001,
3560000000, -5.110456e+001,
3561250000, -5.125204e+001,
3562500000, -5.124435e+001,
3563750000, -5.125541e+001,
3565000000, -5.130217e+001,
3566250000, -5.139427e+001,
3567500000, -5.133835e+001,
3568750000, -5.142154e+001,
3570000000, -5.137988e+001,
3571250000, -5.145118e+001,
3572500000, -5.138977e+001,
3573750000, -5.145161e+001,
3575000000, -5.152355e+001,
3576250000, -5.151957e+001,
3577500000, -5.161275e+001,
3578750000, -5.159504e+001,
3580000000, -5.164816e+001,
3581250000, -5.157907e+001,
3582500000, -5.169449e+001,
3583750000, -5.170034e+001,
3585000000, -5.168427e+001,
3586250000, -5.173564e+001,
3587500000, -5.165134e+001,
3588750000, -5.167488e+001,
3590000000, -5.173227e+001,
3591250000, -5.169521e+001,
3592500000, -5.176125e+001,
3593750000, -5.172449e+001,
3595000000, -5.166327e+001,
3596250000, -5.175345e+001,
3597500000, -5.170552e+001,
3598750000, -5.174802e+001,
3600000000, -5.183749e+001,
3601250000, -5.169944e+001,
3602500000, -5.169669e+001,
3603750000, -5.172129e+001,
3605000000, -5.171358e+001,
3606250000, -5.179350e+001,
3607500000, -5.171908e+001,
