"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -5.357815e+001,
3001250000, -5.345710e+001,
3002500000, -5.318580e+001,
3003750000, -5.320866e+001,
3005000000, -5.326845e+001,
3006250000, -5.311924e+001,
3007500000, -5.322015e+001,
3008750000, -5.302833e+001,
3010000000, -5.310994e+001,
3011250000, -5.308024e+001,
3012500000, -5.312170e+001,
3013750000, -5.295513e+001,
3015000000, -5.285628e+001,
3016250000, -5.305678e+001,
3017500000, -5.295275e+001,
3018750000, -5.269550e+001,
3020000000, -5.301083e+001,
3021250000, -5.278086e+001,
3022500000, -5.252132e+001,
3023750000, -5.270571e+001,
3025000000, -5.267371e+001,
3026250000, -5.257405e+001,
3027500000, -5.261964e+001,
3028750000, -5.268685e+001,
3030000000, -5.258435e+001,
3031250000, -5.256119e+001,
3032500000, -5.263346e+001,
3033750000, -5.255590e+001,
3035000000, -5.239522e+001,
3036250000, -5.261259e+001,
3037500000, -5.267808e+001,
3038750000, -5.231932e+001,
3040000000, -5.252199e+001,
3041250000, -5.258176e+001,
3042500000, -5.233463e+001,
3043750000, -5.221671e+001,
3045000000, -5.224863e+001,
3046250000, -5.224165e+001,
3047500000, -5.211989e+001,
3048750000, -5.213218e+001,
3050000000, -5.210011e+001,
3051250000, -5.197611e+001,
3052500000, -5.207599e+001,
3053750000, -5.212223e+001,
3055000000, -5.204216e+001,
3056250000, -5.173332e+001,
3057500000, -5.209916e+001,
3058750000, -5.211546e+001,
3060000000, -5.174651e+001,
3061250000, -5.200228e+001,
3062500000, -5.201631e+001,
3063750000, -5.179277e+001,
3065000000, -5.174119e+001,
3066250000, -5.171358e+001,
3067500000, -5.162767e+001,
3068750000, -5.167588e+001,
3070000000, -5.166605e+001,
3071250000, -5.169505e+001,
3072500000, -5.154088e+001,
3073750000, -5.156384e+001,
3075000000, -5.164037e+001,
3076250000, -5.174806e+001,
3077500000, -5.135590e+001,
3078750000, -5.132596e+001,
3080000000, -5.186863e+001,
3081250000, -5.141287e+001,
3082500000, -5.123840e+001,
3083750000, -5.148687e+001,
3085000000, -5.143619e+001,
3086250000, -5.127083e+001,
3087500000, -5.118982e+001,
3088750000, -5.117719e+001,
3090000000, -5.107823e+001,
3091250000, -5.107166e+001,
3092500000, -5.111409e+001,
3093750000, -5.113546e+001,
3095000000, -5.111316e+001,
3096250000, -5.106293e+001,
3097500000, -5.114444e+001,
3098750000, -5.145113e+001,
3100000000, -5.088643e+001,
3101250000, -5.074605e+001,
3102500000, -5.126551e+001,
3103750000, -5.091111e+001,
3105000000, -5.069711e+001,
3106250000, -5.098109e+001,
3107500000, -5.098584e+001,
3108750000, -5.078216e+001,
3110000000, -5.063068e+001,
3111250000, -5.067081e+001,
3112500000, -5.079599e+001,
3113750000, -5.067599e+001,
3115000000, -5.062606e+001,
3116250000, -5.073978e+001,
3117500000, -5.071386e+001,
3118750000, -5.061224e+001,
3120000000, -5.038628e+001,
3121250000, -5.077291e+001,
3122500000, -5.079959e+001,
3123750000, -5.034061e+001,
3125000000, -5.025127e+001,
3126250000, -5.066675e+001,
3127500000, -5.033956e+001,
3128750000, -5.034608e+001,
3130000000, -5.052565e+001,
3131250000, -5.046069e+001,
3132500000, -5.036567e+001,
3133750000, -5.023655e+001,
3135000000, -5.025443e+001,
3136250000, -5.041678e+001,
3137500000, -5.026131e+001,
3138750000, -5.014181e+001,
3140000000, -5.026157e+001,
3141250000, -5.047240e+001,
3142500000, -5.031442e+001,
3143750000, -5.006099e+001,
3145000000, -5.033056e+001,
3146250000, -5.076768e+001,
3147500000, -5.041173e+001,
3148750000, -5.013435e+001,
3150000000, -5.036459e+001,
3151250000, -5.070039e+001,
3152500000, -5.017433e+001,
3153750000, -5.021745e+001,
3155000000, -5.049711e+001,
3156250000, -5.057469e+001,
3157500000, -5.022385e+001,
3158750000, -5.014354e+001,
3160000000, -5.036796e+001,
3161250000, -5.042395e+001,
3162500000, -5.030984e+001,
3163750000, -5.018808e+001,
3165000000, -5.033913e+001,
3166250000, -5.046636e+001,
3167500000, -5.042132e+001,
3168750000, -5.010381e+001,
3170000000, -5.039871e+001,
3171250000, -5.065868e+001,
3172500000, -5.032610e+001,
3173750000, -5.019056e+001,
3175000000, -5.030816e+001,
3176250000, -5.052160e+001,
3177500000, -5.031923e+001,
3178750000, -5.021472e+001,
3180000000, -5.049493e+001,
3181250000, -5.057238e+001,
3182500000, -5.035503e+001,
3183750000, -5.016140e+001,
3185000000, -5.028048e+001,
3186250000, -5.049677e+001,
3187500000, -5.052428e+001,
3188750000, -5.031028e+001,
3190000000, -5.021212e+001,
3191250000, -5.052135e+001,
3192500000, -5.069376e+001,
3193750000, -5.027714e+001,
3195000000, -5.024498e+001,
3196250000, -5.100943e+001,
3197500000, -5.070642e+001,
3198750000, -5.046371e+001,
3200000000, -5.034838e+001,
3201250000, -5.075932e+001,
3202500000, -5.070946e+001,
3203750000, -5.053638e+001,
3205000000, -5.039777e+001,
3206250000, -5.054659e+001,
3207500000, -5.084595e+001,
3208750000, -5.083137e+001,
3210000000, -5.056732e+001,
3211250000, -5.050761e+001,
3212500000, -5.069576e+001,
3213750000, -5.101577e+001,
3215000000, -5.082900e+001,
3216250000, -5.057745e+001,
3217500000, -5.092049e+001,
3218750000, -5.126423e+001,
3220000000, -5.087496e+001,
3221250000, -5.048920e+001,
3222500000, -5.122119e+001,
3223750000, -5.173268e+001,
3225000000, -5.105354e+001,
3226250000, -5.068296e+001,
3227500000, -5.127825e+001,
3228750000, -5.158954e+001,
3230000000, -5.135975e+001,
3231250000, -5.140396e+001,
3232500000, -5.138284e+001,
3233750000, -5.122537e+001,
3235000000, -5.147999e+001,
3236250000, -5.168662e+001,
3237500000, -5.163254e+001,
3238750000, -5.136930e+001,
3240000000, -5.144778e+001,
3241250000, -5.199824e+001,
3242500000, -5.166573e+001,
3243750000, -5.133632e+001,
3245000000, -5.168293e+001,
3246250000, -5.228344e+001,
3247500000, -5.215253e+001,
3248750000, -5.134240e+001,
3250000000, -5.136411e+001,
3251250000, -5.251414e+001,
3252500000, -5.242474e+001,
3253750000, -5.144566e+001,
3255000000, -5.178685e+001,
3256250000, -5.235060e+001,
3257500000, -5.216874e+001,
3258750000, -5.209668e+001,
3260000000, -5.218256e+001,
3261250000, -5.225354e+001,
3262500000, -5.178108e+001,
3263750000, -5.203329e+001,
3265000000, -5.225974e+001,
3266250000, -5.230384e+001,
3267500000, -5.187963e+001,
3268750000, -5.211561e+001,
3270000000, -5.264254e+001,
3271250000, -5.225887e+001,
3272500000, -5.155114e+001,
3273750000, -5.190520e+001,
3275000000, -5.239710e+001,
3276250000, -5.308871e+001,
3277500000, -5.189705e+001,
3278750000, -5.088558e+001,
3280000000, -5.251764e+001,
3281250000, -5.275418e+001,
