"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.149870e+001,
34950000, -7.996411e+001,
59900000, -8.711012e+001,
84850000, -8.494039e+001,
109800000, -7.851839e+001,
134750000, -6.978058e+001,
159700000, -7.518018e+001,
184650000, -7.153098e+001,
209600000, -7.020341e+001,
234550000, -7.166457e+001,
259500000, -6.976254e+001,
284450000, -6.876193e+001,
309400000, -6.924036e+001,
334350000, -6.974361e+001,
359300000, -6.902428e+001,
384250000, -6.709674e+001,
409200000, -6.613596e+001,
434150000, -6.592103e+001,
459100000, -6.543524e+001,
484050000, -6.623636e+001,
509000000, -6.587800e+001,
533950000, -6.488229e+001,
558900000, -6.475124e+001,
583850000, -6.473921e+001,
608800000, -6.377752e+001,
633750000, -6.334098e+001,
658700000, -6.322695e+001,
683650000, -6.453439e+001,
708600000, -6.309534e+001,
733550000, -6.274738e+001,
758500000, -6.215429e+001,
783450000, -6.222561e+001,
808400000, -6.146684e+001,
833350000, -6.140675e+001,
858300000, -6.140513e+001,
883250000, -6.100012e+001,
908200000, -6.061415e+001,
933150000, -6.091792e+001,
958100000, -6.054781e+001,
983050000, -6.059239e+001,
1008000000, -6.039936e+001,
1032950000, -6.032241e+001,
1057900000, -6.005696e+001,
1082850000, -6.070571e+001,
1107800000, -6.058961e+001,
1132750000, -6.050554e+001,
1157700000, -6.033237e+001,
1182650000, -6.105009e+001,
1207600000, -6.055250e+001,
1232550000, -6.092554e+001,
1257500000, -6.097363e+001,
1282450000, -6.071714e+001,
1307400000, -6.074578e+001,
1332350000, -6.095279e+001,
1357300000, -6.117422e+001,
1382250000, -6.021270e+001,
1407200000, -6.065727e+001,
1432150000, -6.165351e+001,
1457100000, -6.195745e+001,
1482050000, -6.158178e+001,
1507000000, -6.212690e+001,
1531950000, -6.231605e+001,
1556900000, -6.263436e+001,
1581850000, -6.287290e+001,
1606800000, -6.302204e+001,
1631750000, -6.304038e+001,
1656700000, -6.272774e+001,
1681650000, -6.382011e+001,
1706600000, -6.457400e+001,
1731550000, -6.550558e+001,
1756500000, -6.481007e+001,
1781450000, -6.493450e+001,
1806400000, -6.634939e+001,
1831350000, -6.815434e+001,
1856300000, -6.850688e+001,
1881250000, -6.879068e+001,
1906200000, -6.926377e+001,
1931150000, -7.181855e+001,
1956100000, -7.122523e+001,
1981050000, -7.058086e+001,
2006000000, -7.051721e+001,
2030950000, -7.024728e+001,
2055900000, -7.359256e+001,
2080850000, -7.236331e+001,
2105800000, -7.453074e+001,
2130750000, -7.289772e+001,
2155700000, -7.566820e+001,
2180650000, -7.584689e+001,
2205600000, -7.503382e+001,
2230550000, -7.260111e+001,
2255500000, -7.190493e+001,
2280450000, -7.249689e+001,
2305400000, -7.298448e+001,
2330350000, -7.563984e+001,
2355300000, -7.154288e+001,
2380250000, -7.470426e+001,
2405200000, -7.518864e+001,
2430150000, -7.540171e+001,
2455100000, -7.451939e+001,
2480050000, -7.345116e+001,
2505000000, -7.170370e+001,
2529950000, -7.186073e+001,
2554900000, -7.157171e+001,
2579850000, -7.235423e+001,
2604800000, -7.140862e+001,
2629750000, -7.158221e+001,
2654700000, -7.119971e+001,
2679650000, -7.184483e+001,
2704600000, -6.977489e+001,
2729550000, -6.903115e+001,
2754500000, -6.894498e+001,
2779450000, -6.882845e+001,
2804400000, -6.765532e+001,
2829350000, -6.909099e+001,
2854300000, -6.830817e+001,
2879250000, -6.699696e+001,
2904200000, -6.709079e+001,
2929150000, -6.633948e+001,
2954100000, -6.761610e+001,
2979050000, -6.570300e+001,
3004000000, -6.424313e+001,
3028950000, -6.455426e+001,
3053900000, -6.339079e+001,
3078850000, -6.279762e+001,
3103800000, -6.149248e+001,
3128750000, -6.039854e+001,
3153700000, -6.073375e+001,
3178650000, -6.105481e+001,
3203600000, -6.118119e+001,
3228550000, -6.016553e+001,
3253500000, -5.995163e+001,
3278450000, -6.074395e+001,
3303400000, -5.988614e+001,
3328350000, -5.955883e+001,
3353300000, -5.909417e+001,
3378250000, -5.899925e+001,
3403200000, -5.963014e+001,
3428150000, -6.001562e+001,
3453100000, -5.996454e+001,
3478050000, -5.938552e+001,
3503000000, -5.983681e+001,
3527950000, -6.026862e+001,
3552900000, -5.960772e+001,
3577850000, -6.011853e+001,
3602800000, -6.167461e+001,
3627750000, -6.124337e+001,
3652700000, -6.045991e+001,
3677650000, -6.131105e+001,
3702600000, -6.108173e+001,
3727550000, -6.149327e+001,
3752500000, -6.164446e+001,
3777450000, -6.182967e+001,
3802400000, -6.202846e+001,
3827350000, -6.295790e+001,
3852300000, -6.497204e+001,
3877250000, -6.376031e+001,
3902200000, -6.496577e+001,
3927150000, -6.606116e+001,
3952100000, -6.636070e+001,
3977050000, -6.862808e+001,
4002000000, -6.758678e+001,
4026950000, -6.774859e+001,
4051900000, -6.842220e+001,
4076850000, -6.977505e+001,
4101800000, -6.896154e+001,
4126750000, -6.984905e+001,
4151700000, -6.685468e+001,
4176650000, -7.398396e+001,
4201600000, -7.027615e+001,
4226550000, -6.218502e+001,
4251500000, -6.300329e+001,
4276450000, -6.716337e+001,
4301400000, -7.557909e+001,
4326350000, -6.525931e+001,
4351300000, -6.999509e+001,
4376250000, -6.399697e+001,
4401200000, -6.305070e+001,
4426150000, -6.975345e+001,
4451100000, -6.500407e+001,
4476050000, -5.827845e+001,
4501000000, -4.053169e+001,
4525950000, -3.513568e+001,
4550900000, -4.507498e+001,
4575850000, -3.854289e+001,
4600800000, -6.202026e+001,
4625750000, -6.390327e+001,
4650700000, -6.345712e+001,
4675650000, -6.360734e+001,
4700600000, -6.457024e+001,
4725550000, -6.387584e+001,
4750500000, -6.348501e+001,
4775450000, -6.323280e+001,
4800400000, -6.273589e+001,
4825350000, -6.211796e+001,
4850300000, -6.307796e+001,
4875250000, -6.334031e+001,
4900200000, -6.443299e+001,
4925150000, -6.357903e+001,
4950100000, -6.356523e+001,
4975050000, -6.369030e+001,
5000000000, -6.373367e+001,
