"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.940094e+001,
13118750, -7.668776e+001,
16237500, -6.201180e+001,
19356250, -6.957145e+001,
22475000, -6.692326e+001,
25593750, -7.396273e+001,
28712500, -7.901646e+001,
31831250, -7.766621e+001,
34950000, -7.960416e+001,
38068750, -7.376775e+001,
41187500, -7.687820e+001,
44306250, -7.903427e+001,
47425000, -6.777300e+001,
50543750, -8.328667e+001,
53662500, -7.482642e+001,
56781250, -8.274151e+001,
59900000, -6.615638e+001,
63018750, -6.987566e+001,
66137500, -7.115790e+001,
69256250, -8.694565e+001,
72375000, -8.195844e+001,
75493750, -7.230103e+001,
78612500, -8.463526e+001,
81731250, -7.452152e+001,
84850000, -7.864792e+001,
87968750, -7.909010e+001,
91087500, -8.459504e+001,
94206250, -8.621190e+001,
97325000, -7.243619e+001,
100443750, -7.275811e+001,
103562500, -9.052361e+001,
106681250, -8.756025e+001,
109800000, -7.959026e+001,
112918750, -7.677684e+001,
116037500, -7.173902e+001,
119156250, -6.877544e+001,
122275000, -7.037299e+001,
125393750, -7.090312e+001,
128512500, -7.580630e+001,
131631250, -6.864523e+001,
134750000, -8.115159e+001,
137868750, -8.002557e+001,
140987500, -7.147027e+001,
144106250, -7.138290e+001,
147225000, -8.230212e+001,
150343750, -7.172145e+001,
153462500, -8.069800e+001,
156581250, -7.414989e+001,
159700000, -6.824124e+001,
162818750, -6.875895e+001,
165937500, -7.114518e+001,
169056250, -6.858669e+001,
172175000, -7.141937e+001,
175293750, -7.394732e+001,
178412500, -7.498344e+001,
181531250, -7.337856e+001,
184650000, -7.348769e+001,
187768750, -7.153334e+001,
190887500, -7.111486e+001,
194006250, -6.764083e+001,
197125000, -7.431236e+001,
200243750, -7.404871e+001,
203362500, -7.221201e+001,
206481250, -7.250501e+001,
209600000, -7.342639e+001,
212718750, -7.150543e+001,
215837500, -7.509831e+001,
218956250, -6.986362e+001,
222075000, -7.129248e+001,
225193750, -7.483163e+001,
228312500, -7.034978e+001,
231431250, -7.066068e+001,
234550000, -6.940485e+001,
237668750, -7.145206e+001,
240787500, -7.316974e+001,
243906250, -7.135013e+001,
247025000, -7.060703e+001,
250143750, -7.286482e+001,
253262500, -7.972012e+001,
256381250, -7.040134e+001,
259500000, -6.838845e+001,
262618750, -6.864967e+001,
265737500, -7.680032e+001,
268856250, -7.547278e+001,
271975000, -7.370692e+001,
275093750, -7.208570e+001,
278212500, -6.700912e+001,
281331250, -7.427562e+001,
284450000, -6.725504e+001,
287568750, -6.997636e+001,
290687500, -7.072695e+001,
293806250, -6.571160e+001,
296925000, -7.028487e+001,
300043750, -6.701956e+001,
303162500, -6.750461e+001,
306281250, -6.918398e+001,
309400000, -6.962059e+001,
312518750, -6.924624e+001,
315637500, -7.069743e+001,
318756250, -6.912689e+001,
321875000, -6.931652e+001,
324993750, -6.749033e+001,
328112500, -6.623128e+001,
331231250, -6.896784e+001,
334350000, -6.906229e+001,
337468750, -6.775433e+001,
340587500, -6.857568e+001,
343706250, -7.022921e+001,
346825000, -7.022838e+001,
349943750, -6.839502e+001,
353062500, -6.802847e+001,
356181250, -6.909332e+001,
359300000, -6.911668e+001,
362418750, -6.898627e+001,
365537500, -6.928606e+001,
368656250, -6.772031e+001,
371775000, -7.063278e+001,
374893750, -6.924571e+001,
378012500, -6.819392e+001,
381131250, -6.855958e+001,
384250000, -6.718135e+001,
387368750, -6.879020e+001,
390487500, -6.708943e+001,
393606250, -6.763474e+001,
396725000, -6.902307e+001,
399843750, -6.702084e+001,
402962500, -6.719231e+001,
406081250, -6.667972e+001,
409200000, -6.784816e+001,
412318750, -6.823712e+001,
415437500, -6.693076e+001,
418556250, -6.726702e+001,
421675000, -6.692513e+001,
424793750, -6.835161e+001,
427912500, -6.645895e+001,
431031250, -6.827792e+001,
434150000, -6.827693e+001,
437268750, -6.753173e+001,
440387500, -6.698487e+001,
443506250, -6.346409e+001,
446625000, -6.641093e+001,
449743750, -6.642928e+001,
452862500, -6.531148e+001,
455981250, -6.575848e+001,
459100000, -6.615142e+001,
462218750, -6.675513e+001,
465337500, -6.706600e+001,
468456250, -6.478439e+001,
471575000, -6.772892e+001,
474693750, -6.718433e+001,
477812500, -6.594499e+001,
480931250, -6.541285e+001,
484050000, -6.635336e+001,
487168750, -6.609142e+001,
490287500, -6.561655e+001,
493406250, -6.739641e+001,
496525000, -6.529041e+001,
499643750, -6.650385e+001,
502762500, -6.638213e+001,
505881250, -6.743906e+001,
509000000, -6.687182e+001,
512118750, -6.632164e+001,
515237500, -6.658138e+001,
518356250, -6.678838e+001,
521475000, -6.669543e+001,
524593750, -6.575446e+001,
527712500, -6.741894e+001,
530831250, -6.661188e+001,
533950000, -6.611518e+001,
537068750, -6.532772e+001,
540187500, -6.445881e+001,
543306250, -6.507874e+001,
546425000, -6.615877e+001,
549543750, -6.580333e+001,
552662500, -6.467259e+001,
555781250, -6.658057e+001,
558900000, -6.676080e+001,
562018750, -6.611504e+001,
565137500, -6.569078e+001,
568256250, -6.528109e+001,
571375000, -6.427708e+001,
574493750, -6.527927e+001,
577612500, -6.588362e+001,
580731250, -6.494113e+001,
583850000, -6.487357e+001,
586968750, -6.609792e+001,
590087500, -6.467661e+001,
593206250, -6.576826e+001,
596325000, -6.565841e+001,
599443750, -6.490398e+001,
602562500, -6.477240e+001,
605681250, -6.407825e+001,
608800000, -6.441203e+001,
611918750, -6.372458e+001,
615037500, -6.420545e+001,
618156250, -6.360463e+001,
621275000, -6.404102e+001,
624393750, -6.462360e+001,
627512500, -6.389230e+001,
630631250, -6.521327e+001,
633750000, -6.542113e+001,
636868750, -6.485885e+001,
639987500, -6.406985e+001,
643106250, -6.477919e+001,
646225000, -6.475562e+001,
649343750, -6.409888e+001,
652462500, -6.459791e+001,
655581250, -6.407133e+001,
658700000, -6.462946e+001,
661818750, -6.460936e+001,
664937500, -6.442167e+001,
668056250, -6.444197e+001,
671175000, -6.494777e+001,
674293750, -6.375561e+001,
677412500, -6.430828e+001,
680531250, -6.381962e+001,
683650000, -6.482219e+001,
686768750, -6.419300e+001,
689887500, -6.337725e+001,
693006250, -6.408441e+001,
