"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.556446e+001,
34950000, -8.169591e+001,
59900000, -8.497052e+001,
84850000, -7.613184e+001,
109800000, -7.806287e+001,
134750000, -8.159258e+001,
159700000, -6.867271e+001,
184650000, -7.384628e+001,
209600000, -7.189274e+001,
234550000, -7.293060e+001,
259500000, -7.434570e+001,
284450000, -7.779317e+001,
309400000, -7.451327e+001,
334350000, -6.783442e+001,
359300000, -6.717177e+001,
384250000, -6.927943e+001,
409200000, -6.799677e+001,
434150000, -6.642242e+001,
459100000, -6.594543e+001,
484050000, -6.657555e+001,
509000000, -6.795425e+001,
533950000, -6.603757e+001,
558900000, -6.518816e+001,
583850000, -6.448209e+001,
608800000, -6.515925e+001,
633750000, -6.411725e+001,
658700000, -6.402250e+001,
683650000, -6.332795e+001,
708600000, -6.422741e+001,
733550000, -6.330553e+001,
758500000, -6.267293e+001,
783450000, -6.208088e+001,
808400000, -6.239422e+001,
833350000, -6.177246e+001,
858300000, -6.130869e+001,
883250000, -6.280696e+001,
908200000, -6.143553e+001,
933150000, -6.103634e+001,
958100000, -6.120843e+001,
983050000, -6.116008e+001,
1008000000, -6.105982e+001,
1032950000, -6.072927e+001,
1057900000, -6.038803e+001,
1082850000, -6.093326e+001,
1107800000, -6.112745e+001,
1132750000, -6.106240e+001,
1157700000, -6.061273e+001,
1182650000, -6.105320e+001,
1207600000, -6.044262e+001,
1232550000, -6.066309e+001,
1257500000, -6.091579e+001,
1282450000, -6.070668e+001,
1307400000, -6.048122e+001,
1332350000, -6.051114e+001,
1357300000, -6.079136e+001,
1382250000, -6.055851e+001,
1407200000, -6.080931e+001,
1432150000, -6.175433e+001,
1457100000, -6.222826e+001,
1482050000, -6.222883e+001,
1507000000, -6.209969e+001,
1531950000, -6.257653e+001,
1556900000, -6.234578e+001,
1581850000, -6.313716e+001,
1606800000, -6.320619e+001,
1631750000, -6.377814e+001,
1656700000, -6.383730e+001,
1681650000, -6.378692e+001,
1706600000, -6.401433e+001,
1731550000, -6.540362e+001,
1756500000, -6.464683e+001,
1781450000, -6.583683e+001,
1806400000, -6.651940e+001,
1831350000, -6.710172e+001,
1856300000, -6.753056e+001,
1881250000, -6.898977e+001,
1906200000, -6.996352e+001,
1931150000, -6.843215e+001,
1956100000, -6.775170e+001,
1981050000, -6.887215e+001,
2006000000, -7.044915e+001,
2030950000, -6.885702e+001,
2055900000, -7.390951e+001,
2080850000, -7.054687e+001,
2105800000, -7.248820e+001,
2130750000, -7.317171e+001,
2155700000, -7.328070e+001,
2180650000, -7.492866e+001,
2205600000, -7.415658e+001,
2230550000, -7.273627e+001,
2255500000, -7.159395e+001,
2280450000, -7.351878e+001,
2305400000, -7.231541e+001,
2330350000, -7.111101e+001,
2355300000, -7.278857e+001,
2380250000, -7.367035e+001,
2405200000, -7.277547e+001,
2430150000, -7.244444e+001,
2455100000, -7.298229e+001,
2480050000, -7.494312e+001,
2505000000, -7.217957e+001,
2529950000, -6.946443e+001,
2554900000, -7.182651e+001,
2579850000, -6.947785e+001,
2604800000, -7.123039e+001,
2629750000, -6.991286e+001,
2654700000, -6.941935e+001,
2679650000, -6.929712e+001,
2704600000, -6.951315e+001,
2729550000, -6.989791e+001,
2754500000, -6.820754e+001,
2779450000, -6.888690e+001,
2804400000, -6.974946e+001,
2829350000, -6.666593e+001,
2854300000, -6.679412e+001,
2879250000, -6.542868e+001,
2904200000, -6.586717e+001,
2929150000, -6.468499e+001,
2954100000, -6.506029e+001,
2979050000, -6.454510e+001,
3004000000, -6.421874e+001,
3028950000, -6.392961e+001,
3053900000, -6.219554e+001,
3078850000, -6.152046e+001,
3103800000, -6.040682e+001,
3128750000, -6.045374e+001,
3153700000, -5.982742e+001,
3178650000, -5.986340e+001,
3203600000, -6.012304e+001,
3228550000, -5.948672e+001,
3253500000, -6.056507e+001,
3278450000, -6.050003e+001,
3303400000, -5.972160e+001,
