"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.537941e+001,
13118750, -6.030626e+001,
16237500, -7.643507e+001,
19356250, -6.329330e+001,
22475000, -7.868009e+001,
25593750, -6.996663e+001,
28712500, -7.266723e+001,
31831250, -7.948791e+001,
34950000, -6.954488e+001,
38068750, -8.057558e+001,
41187500, -1.063190e+002,
44306250, -7.975581e+001,
47425000, -7.287647e+001,
50543750, -6.962561e+001,
53662500, -7.478265e+001,
56781250, -7.136267e+001,
59900000, -7.312653e+001,
63018750, -7.447526e+001,
66137500, -7.222394e+001,
69256250, -8.131212e+001,
72375000, -8.040408e+001,
75493750, -8.426364e+001,
78612500, -6.771139e+001,
81731250, -7.815244e+001,
84850000, -7.577518e+001,
87968750, -7.750894e+001,
91087500, -7.381629e+001,
94206250, -7.200640e+001,
97325000, -7.513100e+001,
100443750, -7.569444e+001,
103562500, -7.848392e+001,
106681250, -7.069588e+001,
109800000, -7.889344e+001,
112918750, -7.977397e+001,
116037500, -7.456980e+001,
119156250, -7.091998e+001,
122275000, -8.406359e+001,
125393750, -7.911411e+001,
128512500, -8.337900e+001,
131631250, -7.126588e+001,
134750000, -6.629108e+001,
137868750, -6.971037e+001,
140987500, -7.164025e+001,
144106250, -7.118297e+001,
147225000, -6.832184e+001,
150343750, -7.530927e+001,
153462500, -7.692743e+001,
156581250, -6.838152e+001,
159700000, -7.152009e+001,
162818750, -7.358211e+001,
165937500, -7.561701e+001,
169056250, -7.232594e+001,
172175000, -7.328635e+001,
175293750, -7.373416e+001,
178412500, -7.340799e+001,
181531250, -7.794056e+001,
184650000, -7.513564e+001,
187768750, -7.182005e+001,
190887500, -6.944103e+001,
194006250, -7.134032e+001,
197125000, -7.102479e+001,
200243750, -7.040383e+001,
203362500, -7.241114e+001,
206481250, -6.809538e+001,
209600000, -6.978971e+001,
212718750, -7.235511e+001,
215837500, -7.042656e+001,
218956250, -7.402672e+001,
222075000, -7.434599e+001,
225193750, -7.650883e+001,
228312500, -6.887900e+001,
231431250, -6.934927e+001,
234550000, -7.298511e+001,
237668750, -6.932360e+001,
240787500, -7.350620e+001,
243906250, -7.006963e+001,
247025000, -7.487244e+001,
250143750, -7.202606e+001,
253262500, -6.872322e+001,
256381250, -7.193829e+001,
259500000, -8.130078e+001,
262618750, -7.517599e+001,
265737500, -6.614111e+001,
268856250, -7.569469e+001,
271975000, -6.931093e+001,
275093750, -7.020318e+001,
278212500, -7.095521e+001,
281331250, -7.832687e+001,
284450000, -7.117369e+001,
287568750, -8.441703e+001,
290687500, -7.224963e+001,
293806250, -6.920845e+001,
296925000, -6.797310e+001,
300043750, -6.577567e+001,
303162500, -7.078001e+001,
306281250, -6.465240e+001,
309400000, -6.957571e+001,
312518750, -6.999201e+001,
315637500, -7.119751e+001,
318756250, -7.092913e+001,
321875000, -6.659517e+001,
324993750, -6.878536e+001,
328112500, -6.995876e+001,
331231250, -6.932880e+001,
334350000, -6.959892e+001,
337468750, -6.861478e+001,
340587500, -6.888559e+001,
343706250, -7.104446e+001,
346825000, -6.810143e+001,
349943750, -6.982639e+001,
353062500, -6.716899e+001,
356181250, -6.994070e+001,
359300000, -6.690287e+001,
362418750, -6.905648e+001,
365537500, -6.950684e+001,
368656250, -6.793519e+001,
371775000, -6.704861e+001,
374893750, -6.679967e+001,
378012500, -6.721687e+001,
381131250, -6.796843e+001,
384250000, -6.687185e+001,
387368750, -6.636845e+001,
390487500, -6.880965e+001,
393606250, -6.969060e+001,
396725000, -6.642425e+001,
399843750, -6.789427e+001,
402962500, -6.838960e+001,
406081250, -6.635307e+001,
409200000, -6.564008e+001,
412318750, -6.647029e+001,
415437500, -6.903522e+001,
418556250, -6.609234e+001,
421675000, -6.747968e+001,
424793750, -6.621441e+001,
427912500, -6.676262e+001,
431031250, -6.785098e+001,
434150000, -6.732141e+001,
437268750, -6.837968e+001,
440387500, -6.653963e+001,
443506250, -6.542293e+001,
446625000, -6.693763e+001,
449743750, -6.434390e+001,
452862500, -6.634014e+001,
455981250, -6.642615e+001,
459100000, -6.691989e+001,
462218750, -6.601250e+001,
465337500, -6.596610e+001,
468456250, -6.731353e+001,
471575000, -6.612015e+001,
474693750, -6.559877e+001,
477812500, -6.662475e+001,
480931250, -6.580336e+001,
484050000, -6.561078e+001,
487168750, -6.479025e+001,
490287500, -6.536572e+001,
493406250, -6.650336e+001,
496525000, -6.552906e+001,
499643750, -6.506100e+001,
502762500, -6.622591e+001,
505881250, -6.561921e+001,
509000000, -6.689778e+001,
512118750, -6.527527e+001,
515237500, -6.484868e+001,
518356250, -6.573721e+001,
521475000, -6.599651e+001,
524593750, -6.556191e+001,
527712500, -6.559481e+001,
530831250, -6.578402e+001,
533950000, -6.530415e+001,
537068750, -6.580413e+001,
540187500, -6.640224e+001,
543306250, -6.501404e+001,
546425000, -6.557185e+001,
549543750, -6.378102e+001,
552662500, -6.367114e+001,
555781250, -6.572598e+001,
558900000, -6.442110e+001,
562018750, -6.434143e+001,
565137500, -6.579781e+001,
568256250, -6.486750e+001,
571375000, -6.441024e+001,
574493750, -6.395684e+001,
577612500, -6.490681e+001,
580731250, -6.491238e+001,
583850000, -6.579446e+001,
586968750, -6.506402e+001,
590087500, -6.436118e+001,
593206250, -6.422991e+001,
596325000, -6.505769e+001,
599443750, -6.592833e+001,
602562500, -6.377966e+001,
605681250, -6.411166e+001,
608800000, -6.594837e+001,
611918750, -6.471526e+001,
615037500, -6.350128e+001,
618156250, -6.375349e+001,
621275000, -6.317590e+001,
624393750, -6.389370e+001,
627512500, -6.351318e+001,
630631250, -6.306807e+001,
633750000, -6.419483e+001,
636868750, -6.461163e+001,
639987500, -6.409805e+001,
643106250, -6.407830e+001,
646225000, -6.412966e+001,
649343750, -6.462285e+001,
652462500, -6.414815e+001,
655581250, -6.400401e+001,
658700000, -6.461982e+001,
661818750, -6.462854e+001,
664937500, -6.368657e+001,
668056250, -6.348044e+001,
671175000, -6.379600e+001,
674293750, -6.386744e+001,
677412500, -6.384757e+001,
680531250, -6.342310e+001,
683650000, -6.358524e+001,
686768750, -6.348175e+001,
689887500, -6.376796e+001,
693006250, -6.362854e+001,
696125000, -6.405769e+001,
699243750, -6.338403e+001,
702362500, -6.326185e+001,
705481250, -6.291385e+001,
708600000, -6.340928e+001,
711718750, -6.218205e+001,
714837500, -6.246820e+001,
717956250, -6.299358e+001,
721075000, -6.380302e+001,
724193750, -6.366619e+001,
727312500, -6.175309e+001,
730431250, -6.209301e+001,
733550000, -6.303433e+001,
736668750, -6.184671e+001,
739787500, -6.246798e+001,
742906250, -6.309257e+001,
746025000, -6.311042e+001,
749143750, -6.278687e+001,
752262500, -6.209272e+001,
755381250, -6.134729e+001,
758500000, -6.264589e+001,
761618750, -6.291490e+001,
764737500, -6.261674e+001,
767856250, -6.238665e+001,
770975000, -6.284935e+001,
774093750, -6.197334e+001,
777212500, -6.202921e+001,
780331250, -6.193486e+001,
783450000, -6.215453e+001,
786568750, -6.266678e+001,
789687500, -6.272753e+001,
792806250, -6.203997e+001,
795925000, -6.195411e+001,
799043750, -6.184417e+001,
802162500, -6.262183e+001,
805281250, -6.210506e+001,
808400000, -6.170667e+001,
811518750, -6.221509e+001,
814637500, -6.228476e+001,
817756250, -6.142651e+001,
820875000, -6.188637e+001,
823993750, -6.156215e+001,
827112500, -6.162363e+001,
830231250, -6.157842e+001,
833350000, -6.117215e+001,
836468750, -6.141886e+001,
839587500, -6.160944e+001,
842706250, -6.185208e+001,
845825000, -6.119212e+001,
848943750, -6.107856e+001,
852062500, -6.137561e+001,
855181250, -6.159338e+001,
858300000, -6.078287e+001,
861418750, -6.097588e+001,
864537500, -6.144346e+001,
867656250, -6.085138e+001,
870775000, -6.097062e+001,
873893750, -6.135469e+001,
877012500, -6.147105e+001,
880131250, -6.074695e+001,
883250000, -6.156232e+001,
886368750, -6.041929e+001,
889487500, -6.119088e+001,
892606250, -6.115759e+001,
895725000, -6.041494e+001,
898843750, -6.061926e+001,
901962500, -6.048044e+001,
905081250, -6.081340e+001,
908200000, -6.023999e+001,
911318750, -6.005406e+001,
914437500, -6.058273e+001,
917556250, -6.095681e+001,
920675000, -6.044724e+001,
923793750, -6.015273e+001,
926912500, -6.055093e+001,
930031250, -6.032097e+001,
933150000, -6.018106e+001,
936268750, -5.999537e+001,
939387500, -6.011588e+001,
942506250, -6.031643e+001,
945625000, -6.046344e+001,
948743750, -6.065238e+001,
951862500, -6.044184e+001,
954981250, -6.065207e+001,
958100000, -6.078380e+001,
961218750, -6.068665e+001,
964337500, -6.054916e+001,
967456250, -6.099318e+001,
970575000, -6.062417e+001,
973693750, -6.027300e+001,
976812500, -6.041031e+001,
979931250, -6.017214e+001,
983050000, -6.073695e+001,
986168750, -6.047813e+001,
989287500, -6.061195e+001,
992406250, -6.026822e+001,
995525000, -6.074045e+001,
998643750, -6.012840e+001,
1001762500, -6.029104e+001,
1004881250, -6.083263e+001,
1008000000, -6.041785e+001,
1011118750, -6.026706e+001,
1014237500, -6.011498e+001,
1017356250, -6.011223e+001,
1020475000, -5.983878e+001,
1023593750, -6.089133e+001,
1026712500, -5.963145e+001,
1029831250, -6.012347e+001,
1032950000, -6.028674e+001,
1036068750, -5.979817e+001,
1039187500, -6.011509e+001,
1042306250, -5.955207e+001,
1045425000, -5.970147e+001,
1048543750, -6.010437e+001,
1051662500, -5.999482e+001,
1054781250, -5.974798e+001,
1057900000, -6.016232e+001,
1061018750, -6.020775e+001,
1064137500, -6.036765e+001,
1067256250, -6.028424e+001,
1070375000, -6.015738e+001,
1073493750, -6.046494e+001,
1076612500, -6.080734e+001,
1079731250, -6.091615e+001,
1082850000, -6.062369e+001,
1085968750, -6.047768e+001,
1089087500, -6.077048e+001,
1092206250, -6.077193e+001,
1095325000, -6.096333e+001,
1098443750, -6.081478e+001,
1101562500, -6.076674e+001,
1104681250, -6.079438e+001,
1107800000, -6.092568e+001,
1110918750, -6.069200e+001,
1114037500, -6.070443e+001,
1117156250, -6.085462e+001,
1120275000, -6.107344e+001,
1123393750, -6.098181e+001,
1126512500, -6.100758e+001,
1129631250, -6.103255e+001,
1132750000, -6.086561e+001,
1135868750, -6.079327e+001,
1138987500, -6.131070e+001,
1142106250, -6.128449e+001,
1145225000, -6.125209e+001,
1148343750, -6.058257e+001,
1151462500, -6.090687e+001,
1154581250, -6.106970e+001,
1157700000, -6.065842e+001,
1160818750, -6.117763e+001,
1163937500, -6.114557e+001,
1167056250, -6.070461e+001,
1170175000, -6.090780e+001,
1173293750, -6.023524e+001,
1176412500, -6.051426e+001,
1179531250, -6.160391e+001,
1182650000, -6.142803e+001,
1185768750, -6.096696e+001,
1188887500, -6.056813e+001,
1192006250, -6.052062e+001,
1195125000, -6.101255e+001,
1198243750, -6.156821e+001,
1201362500, -6.015697e+001,
1204481250, -6.058741e+001,
1207600000, -6.165580e+001,
1210718750, -6.055536e+001,
1213837500, -6.026840e+001,
1216956250, -6.097091e+001,
1220075000, -6.048937e+001,
1223193750, -6.013824e+001,
1226312500, -6.059599e+001,
1229431250, -6.078779e+001,
1232550000, -6.046787e+001,
1235668750, -6.087259e+001,
1238787500, -6.106973e+001,
1241906250, -6.079829e+001,
1245025000, -6.106565e+001,
1248143750, -6.137848e+001,
1251262500, -6.121262e+001,
1254381250, -6.092445e+001,
1257500000, -6.093622e+001,
1260618750, -6.142118e+001,
1263737500, -6.108905e+001,
1266856250, -6.089947e+001,
1269975000, -6.129615e+001,
1273093750, -6.137424e+001,
1276212500, -6.146254e+001,
1279331250, -6.102294e+001,
1282450000, -6.143079e+001,
1285568750, -6.181252e+001,
1288687500, -6.100056e+001,
1291806250, -6.105043e+001,
