"S21 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.395486e+001,
13118750, -5.754889e+001,
16237500, -6.132678e+001,
19356250, -6.536375e+001,
22475000, -6.933537e+001,
25593750, -8.046297e+001,
28712500, -7.189072e+001,
31831250, -8.468607e+001,
34950000, -7.300969e+001,
38068750, -7.972861e+001,
41187500, -8.278142e+001,
44306250, -8.463943e+001,
47425000, -7.320460e+001,
50543750, -6.726990e+001,
53662500, -6.998599e+001,
56781250, -7.028353e+001,
59900000, -7.271914e+001,
63018750, -7.507941e+001,
66137500, -7.479053e+001,
69256250, -8.473318e+001,
72375000, -8.181146e+001,
75493750, -7.443210e+001,
78612500, -6.938954e+001,
81731250, -8.170434e+001,
84850000, -7.677115e+001,
87968750, -7.304157e+001,
91087500, -7.883549e+001,
94206250, -8.621822e+001,
97325000, -7.336741e+001,
100443750, -7.434681e+001,
103562500, -8.482999e+001,
106681250, -8.284409e+001,
109800000, -7.768824e+001,
112918750, -7.143890e+001,
116037500, -7.072366e+001,
119156250, -7.206001e+001,
122275000, -7.661636e+001,
125393750, -6.595908e+001,
128512500, -6.960802e+001,
131631250, -7.101205e+001,
134750000, -7.117407e+001,
137868750, -7.239843e+001,
140987500, -7.682905e+001,
144106250, -7.150504e+001,
147225000, -6.641539e+001,
150343750, -6.807491e+001,
153462500, -7.755564e+001,
156581250, -7.581374e+001,
159700000, -7.533372e+001,
162818750, -7.233856e+001,
165937500, -6.885199e+001,
169056250, -8.330486e+001,
172175000, -7.683043e+001,
175293750, -7.573374e+001,
178412500, -6.841386e+001,
181531250, -7.454866e+001,
184650000, -7.641274e+001,
187768750, -7.147008e+001,
190887500, -7.539849e+001,
194006250, -7.126360e+001,
197125000, -7.077891e+001,
200243750, -6.910017e+001,
203362500, -7.258576e+001,
206481250, -7.183688e+001,
209600000, -7.062420e+001,
212718750, -7.341309e+001,
215837500, -7.002235e+001,
218956250, -7.204870e+001,
222075000, -7.535863e+001,
225193750, -7.242728e+001,
228312500, -7.686953e+001,
231431250, -7.013638e+001,
234550000, -7.212209e+001,
237668750, -7.430962e+001,
240787500, -7.283511e+001,
243906250, -7.797626e+001,
247025000, -7.175790e+001,
250143750, -7.029243e+001,
253262500, -7.816389e+001,
256381250, -7.014536e+001,
259500000, -6.991068e+001,
262618750, -7.273824e+001,
265737500, -6.940421e+001,
268856250, -6.985124e+001,
271975000, -7.502251e+001,
275093750, -6.724413e+001,
278212500, -6.697325e+001,
281331250, -7.006400e+001,
284450000, -6.628593e+001,
287568750, -6.822160e+001,
290687500, -7.114130e+001,
293806250, -7.571389e+001,
296925000, -7.021204e+001,
300043750, -6.824236e+001,
303162500, -7.167170e+001,
306281250, -6.962983e+001,
309400000, -7.024954e+001,
312518750, -7.003680e+001,
