"S21 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.570801e+001,
34950000, -7.755247e+001,
59900000, -6.855930e+001,
84850000, -7.481771e+001,
109800000, -7.001526e+001,
134750000, -8.107382e+001,
159700000, -6.834203e+001,
184650000, -7.427171e+001,
209600000, -6.972326e+001,
234550000, -7.415701e+001,
259500000, -7.280575e+001,
284450000, -6.762396e+001,
309400000, -7.059664e+001,
334350000, -6.698711e+001,
359300000, -6.872625e+001,
384250000, -6.754003e+001,
409200000, -6.709740e+001,
434150000, -6.668418e+001,
459100000, -6.754507e+001,
484050000, -6.656068e+001,
509000000, -6.553053e+001,
533950000, -6.568484e+001,
558900000, -6.579243e+001,
583850000, -6.496395e+001,
608800000, -6.565530e+001,
633750000, -6.489752e+001,
658700000, -6.387981e+001,
683650000, -6.408387e+001,
708600000, -6.358500e+001,
733550000, -6.244675e+001,
758500000, -6.285489e+001,
783450000, -6.233228e+001,
808400000, -6.241644e+001,
833350000, -6.146621e+001,
858300000, -6.136249e+001,
883250000, -6.075277e+001,
908200000, -6.097282e+001,
933150000, -6.059092e+001,
958100000, -6.094379e+001,
983050000, -6.070319e+001,
1008000000, -6.068824e+001,
1032950000, -6.062162e+001,
1057900000, -6.094160e+001,
1082850000, -6.087023e+001,
1107800000, -6.078904e+001,
1132750000, -6.116692e+001,
1157700000, -6.109121e+001,
1182650000, -6.116372e+001,
1207600000, -6.101344e+001,
1232550000, -6.111536e+001,
1257500000, -6.139877e+001,
1282450000, -6.084629e+001,
1307400000, -6.046287e+001,
1332350000, -6.046130e+001,
1357300000, -6.060671e+001,
1382250000, -6.013192e+001,
1407200000, -6.083302e+001,
1432150000, -6.200455e+001,
1457100000, -6.195938e+001,
1482050000, -6.179520e+001,
1507000000, -6.172546e+001,
1531950000, -6.310355e+001,
1556900000, -6.307800e+001,
1581850000, -6.252385e+001,
1606800000, -6.312652e+001,
1631750000, -6.370013e+001,
1656700000, -6.358192e+001,
1681650000, -6.415384e+001,
1706600000, -6.551834e+001,
1731550000, -6.592648e+001,
1756500000, -6.615354e+001,
1781450000, -6.575433e+001,
1806400000, -6.667249e+001,
1831350000, -6.784290e+001,
1856300000, -6.749999e+001,
1881250000, -6.854055e+001,
1906200000, -6.881254e+001,
1931150000, -6.943147e+001,
1956100000, -6.871084e+001,
1981050000, -6.946041e+001,
2006000000, -6.938336e+001,
2030950000, -7.024505e+001,
2055900000, -7.327362e+001,
2080850000, -7.053037e+001,
2105800000, -7.531148e+001,
2130750000, -7.318616e+001,
2155700000, -7.304501e+001,
2180650000, -7.324570e+001,
2205600000, -7.242004e+001,
2230550000, -7.480116e+001,
2255500000, -7.229974e+001,
2280450000, -7.124307e+001,
2305400000, -7.416982e+001,
2330350000, -7.138914e+001,
2355300000, -7.261913e+001,
2380250000, -7.250916e+001,
2405200000, -7.208794e+001,
2430150000, -7.258374e+001,
2455100000, -7.070665e+001,
2480050000, -7.264436e+001,
2505000000, -7.198725e+001,
2529950000, -7.199387e+001,
2554900000, -6.971191e+001,
2579850000, -6.991338e+001,
2604800000, -7.045983e+001,
2629750000, -6.985663e+001,
2654700000, -7.058157e+001,
2679650000, -6.924974e+001,
2704600000, -7.067739e+001,
2729550000, -6.873281e+001,
2754500000, -6.644694e+001,
2779450000, -6.722020e+001,
2804400000, -6.791481e+001,
2829350000, -6.743263e+001,
2854300000, -6.538622e+001,
2879250000, -6.558886e+001,
2904200000, -6.534743e+001,
2929150000, -6.542410e+001,
2954100000, -6.577763e+001,
2979050000, -6.561440e+001,
3004000000, -6.482977e+001,
3028950000, -6.322992e+001,
3053900000, -6.247799e+001,
3078850000, -6.156456e+001,
3103800000, -6.080949e+001,
3128750000, -5.997372e+001,
3153700000, -5.962994e+001,
3178650000, -5.950692e+001,
3203600000, -6.006485e+001,
3228550000, -5.975090e+001,
3253500000, -5.998530e+001,
3278450000, -6.041975e+001,
3303400000, -5.963376e+001,
3328350000, -5.931331e+001,
3353300000, -5.859528e+001,
3378250000, -5.902051e+001,
3403200000, -5.970874e+001,
3428150000, -6.029902e+001,
3453100000, -6.027992e+001,
3478050000, -5.964751e+001,
3503000000, -5.978991e+001,
3527950000, -6.061976e+001,
3552900000, -6.048509e+001,
3577850000, -6.119475e+001,
3602800000, -6.054646e+001,
3627750000, -6.124033e+001,
3652700000, -6.149173e+001,
3677650000, -6.349933e+001,
3702600000, -6.350761e+001,
3727550000, -6.488773e+001,
3752500000, -6.456194e+001,
3777450000, -6.534778e+001,
3802400000, -6.409677e+001,
3827350000, -6.488638e+001,
3852300000, -6.682996e+001,
3877250000, -6.682972e+001,
3902200000, -6.622718e+001,
3927150000, -6.606947e+001,
3952100000, -6.559751e+001,
3977050000, -6.744421e+001,
4002000000, -6.710041e+001,
4026950000, -6.916925e+001,
4051900000, -6.986543e+001,
4076850000, -6.857462e+001,
4101800000, -7.322368e+001,
4126750000, -7.022022e+001,
4151700000, -7.330126e+001,
4176650000, -6.875307e+001,
4201600000, -6.916807e+001,
4226550000, -6.627713e+001,
4251500000, -6.566389e+001,
4276450000, -6.623730e+001,
4301400000, -6.676656e+001,
4326350000, -7.044376e+001,
4351300000, -7.409975e+001,
4376250000, -6.388575e+001,
4401200000, -4.696238e+001,
4426150000, -5.091578e+001,
4451100000, -4.190268e+001,
4476050000, -4.182996e+001,
4501000000, -1.128057e+001,
4525950000, -8.124954e+000,
4550900000, -1.071478e+001,
4575850000, -1.099159e+001,
4600800000, -4.131123e+001,
4625750000, -4.313472e+001,
4650700000, -4.628075e+001,
4675650000, -4.714230e+001,
4700600000, -5.356953e+001,
4725550000, -5.651324e+001,
4750500000, -5.582143e+001,
4775450000, -6.023656e+001,
4800400000, -2.909685e+001,
4825350000, -3.377968e+001,
4850300000, -3.401802e+001,
4875250000, -3.786948e+001,
4900200000, -6.251605e+001,
4925150000, -6.330379e+001,
4950100000, -6.432744e+001,
4975050000, -6.444103e+001,
5000000000, -6.514046e+001,
