"S21 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.519852e+001,
13118750, -6.048166e+001,
16237500, -6.372346e+001,
19356250, -7.151938e+001,
22475000, -6.885871e+001,
25593750, -8.836780e+001,
28712500, -8.070432e+001,
31831250, -8.596972e+001,
34950000, -8.620318e+001,
38068750, -8.275474e+001,
41187500, -7.266601e+001,
44306250, -7.525763e+001,
47425000, -7.220457e+001,
50543750, -7.467116e+001,
53662500, -7.103529e+001,
56781250, -7.483738e+001,
59900000, -7.169476e+001,
63018750, -7.315642e+001,
66137500, -7.430560e+001,
69256250, -8.267020e+001,
72375000, -7.584808e+001,
75493750, -7.856259e+001,
78612500, -7.920590e+001,
81731250, -7.008601e+001,
84850000, -7.905347e+001,
87968750, -7.419724e+001,
91087500, -7.662579e+001,
94206250, -7.239413e+001,
97325000, -7.272569e+001,
100443750, -7.866771e+001,
103562500, -7.096175e+001,
106681250, -8.542362e+001,
109800000, -8.239042e+001,
112918750, -7.530266e+001,
116037500, -7.848878e+001,
119156250, -7.126426e+001,
122275000, -7.176476e+001,
125393750, -7.840311e+001,
128512500, -7.307169e+001,
131631250, -6.888788e+001,
134750000, -7.440625e+001,
137868750, -7.414891e+001,
140987500, -7.447515e+001,
144106250, -7.439747e+001,
147225000, -7.038255e+001,
150343750, -7.240574e+001,
153462500, -9.292406e+001,
156581250, -7.123894e+001,
159700000, -7.083021e+001,
162818750, -7.143574e+001,
165937500, -7.278070e+001,
169056250, -7.754100e+001,
172175000, -6.840762e+001,
175293750, -7.150037e+001,
178412500, -7.355509e+001,
181531250, -7.411453e+001,
184650000, -7.273308e+001,
187768750, -7.754215e+001,
190887500, -7.118673e+001,
194006250, -8.358978e+001,
197125000, -7.567127e+001,
200243750, -7.493418e+001,
203362500, -7.213847e+001,
206481250, -7.443027e+001,
209600000, -7.082639e+001,
212718750, -7.095597e+001,
215837500, -6.892496e+001,
218956250, -7.649907e+001,
222075000, -7.006838e+001,
225193750, -6.931735e+001,
228312500, -7.254795e+001,
231431250, -6.946685e+001,
234550000, -7.056709e+001,
237668750, -7.278276e+001,
240787500, -7.385769e+001,
243906250, -7.679631e+001,
247025000, -6.770999e+001,
250143750, -7.012024e+001,
253262500, -7.255166e+001,
256381250, -7.237346e+001,
259500000, -7.422252e+001,
262618750, -8.021649e+001,
265737500, -7.300732e+001,
268856250, -7.198376e+001,
271975000, -6.949069e+001,
275093750, -6.598804e+001,
278212500, -7.053435e+001,
281331250, -6.945287e+001,
284450000, -7.036024e+001,
287568750, -8.126801e+001,
290687500, -7.283018e+001,
293806250, -7.477255e+001,
296925000, -6.782584e+001,
300043750, -7.484568e+001,
303162500, -7.049770e+001,
306281250, -7.054688e+001,
309400000, -6.873920e+001,
312518750, -6.724814e+001,
315637500, -6.830011e+001,
318756250, -7.375588e+001,
321875000, -7.141499e+001,
324993750, -7.184806e+001,
328112500, -7.248926e+001,
331231250, -6.892214e+001,
334350000, -7.004809e+001,
337468750, -6.957261e+001,
340587500, -6.783682e+001,
343706250, -7.075437e+001,
346825000, -7.080447e+001,
349943750, -6.990237e+001,
353062500, -6.856385e+001,
356181250, -6.936300e+001,
359300000, -6.885550e+001,
362418750, -7.026849e+001,
365537500, -6.837558e+001,
368656250, -6.762032e+001,
371775000, -6.861761e+001,
374893750, -6.954267e+001,
378012500, -6.860556e+001,
381131250, -6.815006e+001,
384250000, -6.769790e+001,
387368750, -6.711563e+001,
390487500, -6.985903e+001,
393606250, -6.918408e+001,
396725000, -6.724226e+001,
399843750, -6.837925e+001,
402962500, -6.849789e+001,
406081250, -6.750148e+001,
409200000, -6.748933e+001,
412318750, -6.766813e+001,
415437500, -6.961101e+001,
418556250, -6.717173e+001,
421675000, -6.960609e+001,
424793750, -6.924101e+001,
427912500, -6.954669e+001,
431031250, -6.742094e+001,
434150000, -6.679416e+001,
437268750, -6.572453e+001,
440387500, -6.737536e+001,
443506250, -6.744311e+001,
446625000, -6.713670e+001,
449743750, -6.550977e+001,
452862500, -6.718391e+001,
455981250, -6.574809e+001,
459100000, -6.549223e+001,
462218750, -6.569978e+001,
465337500, -6.936848e+001,
468456250, -6.783073e+001,
471575000, -6.534623e+001,
474693750, -6.718368e+001,
477812500, -6.664263e+001,
480931250, -6.661832e+001,
484050000, -6.602200e+001,
487168750, -6.643134e+001,
490287500, -6.613721e+001,
493406250, -6.805817e+001,
496525000, -6.622739e+001,
499643750, -6.561521e+001,
502762500, -6.570123e+001,
505881250, -6.723273e+001,
509000000, -6.741332e+001,
512118750, -6.541883e+001,
515237500, -6.601457e+001,
518356250, -6.601830e+001,
521475000, -6.757275e+001,
524593750, -6.531367e+001,
527712500, -6.584576e+001,
530831250, -6.587031e+001,
533950000, -6.696145e+001,
537068750, -6.512443e+001,
540187500, -6.644302e+001,
543306250, -6.573156e+001,
546425000, -6.648350e+001,
549543750, -6.536005e+001,
552662500, -6.571783e+001,
555781250, -6.773646e+001,
558900000, -6.624355e+001,
562018750, -6.683298e+001,
565137500, -6.422157e+001,
568256250, -6.630865e+001,
571375000, -6.443565e+001,
574493750, -6.469636e+001,
577612500, -6.472676e+001,
580731250, -6.402596e+001,
583850000, -6.710690e+001,
586968750, -6.483469e+001,
590087500, -6.437518e+001,
593206250, -6.516417e+001,
596325000, -6.406087e+001,
599443750, -6.537587e+001,
602562500, -6.497121e+001,
605681250, -6.453224e+001,
608800000, -6.522918e+001,
611918750, -6.456603e+001,
615037500, -6.530273e+001,
618156250, -6.478876e+001,
621275000, -6.526244e+001,
624393750, -6.588204e+001,
627512500, -6.373641e+001,
630631250, -6.472899e+001,
633750000, -6.486735e+001,
636868750, -6.577097e+001,
639987500, -6.446216e+001,
643106250, -6.405276e+001,
646225000, -6.461439e+001,
649343750, -6.473595e+001,
652462500, -6.549104e+001,
655581250, -6.335287e+001,
658700000, -6.366358e+001,
661818750, -6.478796e+001,
664937500, -6.497054e+001,
668056250, -6.444104e+001,
671175000, -6.368797e+001,
674293750, -6.467754e+001,
677412500, -6.447860e+001,
680531250, -6.505685e+001,
683650000, -6.538701e+001,
686768750, -6.452773e+001,
689887500, -6.540363e+001,
693006250, -6.478929e+001,
696125000, -6.402249e+001,
699243750, -6.427733e+001,
702362500, -6.429888e+001,
705481250, -6.432560e+001,
708600000, -6.441538e+001,
711718750, -6.362909e+001,
714837500, -6.337624e+001,
717956250, -6.389625e+001,
721075000, -6.325714e+001,
724193750, -6.403075e+001,
727312500, -6.373000e+001,
730431250, -6.308570e+001,
733550000, -6.255003e+001,
736668750, -6.252686e+001,
739787500, -6.316749e+001,
742906250, -6.425579e+001,
746025000, -6.386305e+001,
749143750, -6.328938e+001,
752262500, -6.340668e+001,
755381250, -6.292457e+001,
758500000, -6.230844e+001,
761618750, -6.311937e+001,
764737500, -6.340880e+001,
767856250, -6.292052e+001,
770975000, -6.256351e+001,
774093750, -6.276001e+001,
777212500, -6.300933e+001,
780331250, -6.229932e+001,
783450000, -6.271806e+001,
786568750, -6.265688e+001,
789687500, -6.261754e+001,
792806250, -6.283734e+001,
795925000, -6.236979e+001,
799043750, -6.247086e+001,
802162500, -6.224274e+001,
805281250, -6.231943e+001,
808400000, -6.250151e+001,
811518750, -6.249762e+001,
814637500, -6.258798e+001,
817756250, -6.186973e+001,
820875000, -6.242764e+001,
823993750, -6.275091e+001,
827112500, -6.209401e+001,
830231250, -6.209289e+001,
833350000, -6.256691e+001,
836468750, -6.328425e+001,
839587500, -6.145188e+001,
842706250, -6.212209e+001,
845825000, -6.204007e+001,
848943750, -6.207195e+001,
852062500, -6.194764e+001,
855181250, -6.219486e+001,
858300000, -6.212981e+001,
861418750, -6.187403e+001,
864537500, -6.177271e+001,
867656250, -6.150245e+001,
870775000, -6.088981e+001,
873893750, -6.170124e+001,
877012500, -6.193549e+001,
880131250, -6.163134e+001,
883250000, -6.212602e+001,
886368750, -6.203437e+001,
889487500, -6.214960e+001,
892606250, -6.179865e+001,
895725000, -6.177427e+001,
898843750, -6.130104e+001,
901962500, -6.220094e+001,
905081250, -6.175661e+001,
908200000, -6.153430e+001,
911318750, -6.158796e+001,
914437500, -6.085614e+001,
917556250, -6.139838e+001,
920675000, -6.132495e+001,
923793750, -6.057115e+001,
926912500, -6.119348e+001,
930031250, -6.110430e+001,
933150000, -6.080254e+001,
936268750, -6.044422e+001,
939387500, -6.117787e+001,
942506250, -6.098882e+001,
945625000, -6.105822e+001,
948743750, -6.128640e+001,
951862500, -6.097285e+001,
954981250, -6.140883e+001,
958100000, -6.098059e+001,
961218750, -6.106967e+001,
964337500, -6.088934e+001,
967456250, -6.048249e+001,
970575000, -6.148861e+001,
973693750, -6.137394e+001,
976812500, -6.080872e+001,
979931250, -6.130782e+001,
983050000, -6.136977e+001,
986168750, -6.104473e+001,
989287500, -6.092668e+001,
992406250, -6.108739e+001,
995525000, -6.139820e+001,
998643750, -6.096056e+001,
1001762500, -6.082243e+001,
1004881250, -6.133853e+001,
1008000000, -6.109098e+001,
1011118750, -6.039722e+001,
1014237500, -6.070229e+001,
1017356250, -6.086396e+001,
1020475000, -6.118158e+001,
1023593750, -6.084572e+001,
1026712500, -6.054029e+001,
1029831250, -6.105173e+001,
1032950000, -6.073847e+001,
1036068750, -6.194791e+001,
1039187500, -6.040963e+001,
1042306250, -6.049537e+001,
1045425000, -6.114744e+001,
1048543750, -6.141321e+001,
1051662500, -6.063286e+001,
1054781250, -6.053327e+001,
1057900000, -6.098364e+001,
1061018750, -6.094200e+001,
1064137500, -6.073073e+001,
1067256250, -6.097462e+001,
1070375000, -6.085456e+001,
1073493750, -6.074715e+001,
1076612500, -6.097479e+001,
1079731250, -6.062850e+001,
1082850000, -6.144641e+001,
1085968750, -6.160958e+001,
1089087500, -6.080001e+001,
1092206250, -6.072679e+001,
1095325000, -6.066330e+001,
1098443750, -6.098639e+001,
1101562500, -6.083213e+001,
1104681250, -6.060568e+001,
1107800000, -6.106716e+001,
1110918750, -6.120538e+001,
1114037500, -6.139770e+001,
1117156250, -6.091501e+001,
1120275000, -6.101604e+001,
1123393750, -6.098336e+001,
1126512500, -6.163298e+001,
1129631250, -6.137429e+001,
1132750000, -6.106651e+001,
1135868750, -6.107777e+001,
1138987500, -6.140408e+001,
1142106250, -6.111942e+001,
1145225000, -6.045206e+001,
1148343750, -6.143665e+001,
1151462500, -6.080624e+001,
1154581250, -6.110052e+001,
1157700000, -6.114030e+001,
1160818750, -6.140795e+001,
1163937500, -6.143081e+001,
1167056250, -6.168541e+001,
1170175000, -6.130745e+001,
1173293750, -6.075295e+001,
1176412500, -6.185326e+001,
1179531250, -6.109697e+001,
1182650000, -6.073247e+001,
1185768750, -6.100541e+001,
1188887500, -6.100810e+001,
1192006250, -6.133535e+001,
1195125000, -6.152570e+001,
1198243750, -6.080346e+001,
1201362500, -6.067752e+001,
1204481250, -6.195574e+001,
