"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.727788e+001,
13118750, -5.990772e+001,
16237500, -7.006248e+001,
19356250, -7.008300e+001,
22475000, -7.621341e+001,
25593750, -7.551496e+001,
28712500, -7.325266e+001,
31831250, -7.906521e+001,
34950000, -8.421934e+001,
38068750, -8.040753e+001,
41187500, -8.331635e+001,
44306250, -7.311201e+001,
47425000, -7.100699e+001,
50543750, -6.884182e+001,
53662500, -6.684473e+001,
56781250, -7.219379e+001,
59900000, -7.380007e+001,
63018750, -7.779297e+001,
66137500, -7.201557e+001,
69256250, -8.240392e+001,
72375000, -8.488576e+001,
75493750, -7.591432e+001,
78612500, -8.558757e+001,
81731250, -7.794807e+001,
84850000, -7.564079e+001,
87968750, -8.126254e+001,
91087500, -8.123991e+001,
94206250, -7.446491e+001,
97325000, -7.356241e+001,
100443750, -8.923767e+001,
103562500, -8.000586e+001,
106681250, -8.051066e+001,
109800000, -7.703445e+001,
112918750, -6.800179e+001,
116037500, -6.979811e+001,
119156250, -8.064907e+001,
122275000, -7.869605e+001,
125393750, -6.654753e+001,
128512500, -7.138147e+001,
131631250, -8.793945e+001,
134750000, -7.602367e+001,
137868750, -7.375285e+001,
140987500, -7.233546e+001,
144106250, -6.892831e+001,
147225000, -8.270346e+001,
150343750, -7.135328e+001,
153462500, -6.665181e+001,
156581250, -7.329807e+001,
159700000, -7.373863e+001,
162818750, -7.007867e+001,
165937500, -7.204026e+001,
169056250, -6.843941e+001,
172175000, -7.162823e+001,
175293750, -7.123254e+001,
178412500, -8.128651e+001,
181531250, -7.013753e+001,
184650000, -7.652032e+001,
187768750, -7.491866e+001,
190887500, -7.036914e+001,
194006250, -7.322240e+001,
197125000, -7.716042e+001,
200243750, -7.580618e+001,
203362500, -7.224544e+001,
206481250, -7.248647e+001,
209600000, -7.797205e+001,
212718750, -7.923035e+001,
215837500, -7.057938e+001,
218956250, -7.156950e+001,
222075000, -6.972857e+001,
225193750, -7.217770e+001,
228312500, -7.070727e+001,
231431250, -7.797202e+001,
234550000, -7.143597e+001,
237668750, -7.354324e+001,
240787500, -7.811346e+001,
243906250, -7.109361e+001,
247025000, -6.950714e+001,
250143750, -6.884079e+001,
253262500, -7.085593e+001,
256381250, -7.166090e+001,
259500000, -6.771207e+001,
262618750, -7.390504e+001,
265737500, -6.881407e+001,
268856250, -6.797421e+001,
271975000, -6.846504e+001,
275093750, -6.714307e+001,
278212500, -8.027493e+001,
281331250, -7.192519e+001,
284450000, -7.008090e+001,
287568750, -6.899445e+001,
290687500, -6.735156e+001,
293806250, -6.954620e+001,
296925000, -6.903442e+001,
300043750, -6.624920e+001,
303162500, -6.811437e+001,
306281250, -6.723809e+001,
309400000, -7.051316e+001,
312518750, -7.123669e+001,
315637500, -6.916327e+001,
318756250, -7.195845e+001,
321875000, -7.053138e+001,
324993750, -6.743150e+001,
328112500, -7.063442e+001,
331231250, -6.978576e+001,
334350000, -6.858246e+001,
337468750, -6.719804e+001,
340587500, -7.043240e+001,
343706250, -7.126402e+001,
346825000, -7.031496e+001,
349943750, -6.900325e+001,
353062500, -7.060248e+001,
356181250, -7.046892e+001,
359300000, -6.900726e+001,
362418750, -6.817966e+001,
365537500, -6.895850e+001,
368656250, -6.950381e+001,
371775000, -6.901550e+001,
374893750, -6.795643e+001,
378012500, -6.781799e+001,
381131250, -6.792027e+001,
384250000, -6.806186e+001,
387368750, -6.820232e+001,
390487500, -6.749429e+001,
393606250, -6.780888e+001,
396725000, -6.859818e+001,
399843750, -7.005743e+001,
402962500, -6.802287e+001,
406081250, -6.755149e+001,
409200000, -6.750881e+001,
412318750, -6.638699e+001,
415437500, -6.638305e+001,
418556250, -6.649870e+001,
421675000, -6.638393e+001,
424793750, -6.639691e+001,
427912500, -6.784656e+001,
431031250, -6.716346e+001,
434150000, -6.854463e+001,
437268750, -6.623589e+001,
440387500, -6.582172e+001,
443506250, -6.862199e+001,
446625000, -6.689276e+001,
449743750, -6.748366e+001,
452862500, -6.586775e+001,
455981250, -6.672657e+001,
459100000, -6.725240e+001,
462218750, -6.735675e+001,
465337500, -6.637832e+001,
468456250, -6.709782e+001,
471575000, -6.636358e+001,
474693750, -6.667657e+001,
477812500, -6.693399e+001,
480931250, -6.600731e+001,
484050000, -6.790466e+001,
487168750, -6.725909e+001,
490287500, -6.688689e+001,
493406250, -6.575488e+001,
496525000, -6.659038e+001,
499643750, -6.704640e+001,
502762500, -6.665556e+001,
505881250, -6.686698e+001,
509000000, -6.600172e+001,
512118750, -6.491160e+001,
515237500, -6.641009e+001,
518356250, -6.644712e+001,
521475000, -6.605302e+001,
524593750, -6.706413e+001,
527712500, -6.682483e+001,
530831250, -6.627965e+001,
533950000, -6.601878e+001,
537068750, -6.636585e+001,
540187500, -6.583122e+001,
543306250, -6.580991e+001,
546425000, -6.535918e+001,
549543750, -6.626312e+001,
552662500, -6.646523e+001,
555781250, -6.552076e+001,
558900000, -6.559629e+001,
562018750, -6.526986e+001,
565137500, -6.662888e+001,
568256250, -6.522771e+001,
571375000, -6.574966e+001,
574493750, -6.532631e+001,
577612500, -6.516838e+001,
580731250, -6.445245e+001,
583850000, -6.425333e+001,
586968750, -6.599530e+001,
590087500, -6.471832e+001,
593206250, -6.594687e+001,
596325000, -6.505296e+001,
599443750, -6.523885e+001,
602562500, -6.542106e+001,
605681250, -6.545018e+001,
608800000, -6.635098e+001,
611918750, -6.497684e+001,
615037500, -6.392323e+001,
618156250, -6.548096e+001,
621275000, -6.564932e+001,
624393750, -6.413743e+001,
627512500, -6.418848e+001,
630631250, -6.455054e+001,
633750000, -6.452577e+001,
636868750, -6.480528e+001,
639987500, -6.403288e+001,
643106250, -6.430801e+001,
646225000, -6.482807e+001,
649343750, -6.432327e+001,
652462500, -6.468194e+001,
655581250, -6.443940e+001,
658700000, -6.452043e+001,
661818750, -6.582820e+001,
664937500, -6.457369e+001,
668056250, -6.446471e+001,
671175000, -6.416537e+001,
674293750, -6.446980e+001,
677412500, -6.609946e+001,
680531250, -6.439429e+001,
683650000, -6.401558e+001,
686768750, -6.386438e+001,
689887500, -6.465717e+001,
693006250, -6.456296e+001,
696125000, -6.374737e+001,
699243750, -6.454456e+001,
702362500, -6.354522e+001,
705481250, -6.459043e+001,
708600000, -6.446933e+001,
711718750, -6.345301e+001,
714837500, -6.406166e+001,
717956250, -6.433204e+001,
721075000, -6.360049e+001,
724193750, -6.396271e+001,
727312500, -6.309420e+001,
730431250, -6.351180e+001,
733550000, -6.370795e+001,
736668750, -6.278062e+001,
739787500, -6.276797e+001,
742906250, -6.268762e+001,
746025000, -6.293632e+001,
749143750, -6.305280e+001,
752262500, -6.358364e+001,
755381250, -6.265577e+001,
758500000, -6.309690e+001,
761618750, -6.434003e+001,
764737500, -6.293685e+001,
767856250, -6.273963e+001,
770975000, -6.216436e+001,
774093750, -6.228982e+001,
777212500, -6.318290e+001,
780331250, -6.283537e+001,
783450000, -6.288993e+001,
786568750, -6.257783e+001,
789687500, -6.228351e+001,
792806250, -6.307179e+001,
795925000, -6.285964e+001,
799043750, -6.233740e+001,
802162500, -6.216796e+001,
805281250, -6.284690e+001,
808400000, -6.277215e+001,
811518750, -6.240273e+001,
814637500, -6.258675e+001,
817756250, -6.199092e+001,
820875000, -6.214001e+001,
823993750, -6.184772e+001,
827112500, -6.231477e+001,
830231250, -6.285300e+001,
833350000, -6.256613e+001,
836468750, -6.229305e+001,
839587500, -6.180966e+001,
842706250, -6.223897e+001,
845825000, -6.221879e+001,
848943750, -6.146668e+001,
852062500, -6.280129e+001,
855181250, -6.190160e+001,
858300000, -6.224944e+001,
861418750, -6.194582e+001,
864537500, -6.185429e+001,
867656250, -6.171529e+001,
870775000, -6.207279e+001,
873893750, -6.240847e+001,
877012500, -6.227899e+001,
880131250, -6.205104e+001,
883250000, -6.169547e+001,
886368750, -6.096600e+001,
889487500, -6.242744e+001,
892606250, -6.134571e+001,
895725000, -6.190117e+001,
898843750, -6.206840e+001,
901962500, -6.157773e+001,
905081250, -6.129932e+001,
908200000, -6.131258e+001,
911318750, -6.125307e+001,
914437500, -6.041884e+001,
917556250, -6.032237e+001,
920675000, -6.111929e+001,
923793750, -6.127063e+001,
926912500, -6.057888e+001,
930031250, -6.107037e+001,
933150000, -6.090241e+001,
936268750, -6.151050e+001,
939387500, -6.099026e+001,
942506250, -6.121692e+001,
945625000, -6.128138e+001,
948743750, -6.131725e+001,
951862500, -6.141041e+001,
954981250, -6.086415e+001,
958100000, -6.107410e+001,
961218750, -6.135215e+001,
964337500, -6.131767e+001,
967456250, -6.162514e+001,
970575000, -6.141651e+001,
973693750, -6.126624e+001,
976812500, -6.161787e+001,
979931250, -6.089761e+001,
983050000, -6.132598e+001,
986168750, -6.204246e+001,
989287500, -6.149575e+001,
