"S12 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.190644e+001,
34950000, -7.763904e+001,
59900000, -7.352433e+001,
84850000, -8.191455e+001,
109800000, -7.443630e+001,
134750000, -7.253739e+001,
159700000, -7.837491e+001,
184650000, -7.149046e+001,
209600000, -7.969122e+001,
234550000, -6.972424e+001,
259500000, -7.035981e+001,
284450000, -8.202483e+001,
309400000, -7.018475e+001,
334350000, -6.761310e+001,
359300000, -6.724999e+001,
384250000, -6.809054e+001,
409200000, -6.925827e+001,
434150000, -6.588461e+001,
459100000, -6.507915e+001,
484050000, -6.644571e+001,
509000000, -6.648001e+001,
533950000, -6.689352e+001,
558900000, -6.608141e+001,
583850000, -6.500883e+001,
608800000, -6.399914e+001,
633750000, -6.426553e+001,
658700000, -6.463419e+001,
683650000, -6.391355e+001,
708600000, -6.304975e+001,
733550000, -6.441169e+001,
758500000, -6.251277e+001,
783450000, -6.233387e+001,
808400000, -6.253701e+001,
833350000, -6.167553e+001,
858300000, -6.154755e+001,
883250000, -6.151908e+001,
908200000, -6.127302e+001,
933150000, -6.080050e+001,
958100000, -6.120282e+001,
983050000, -6.136934e+001,
1008000000, -6.086504e+001,
1032950000, -6.010781e+001,
1057900000, -6.027435e+001,
1082850000, -6.057084e+001,
1107800000, -6.103421e+001,
1132750000, -6.072870e+001,
1157700000, -6.077576e+001,
1182650000, -6.091369e+001,
1207600000, -6.026667e+001,
1232550000, -6.043272e+001,
1257500000, -6.065437e+001,
1282450000, -6.067650e+001,
1307400000, -6.052256e+001,
1332350000, -6.043020e+001,
1357300000, -6.110009e+001,
1382250000, -6.066436e+001,
1407200000, -6.090691e+001,
1432150000, -6.112565e+001,
1457100000, -6.251464e+001,
1482050000, -6.226569e+001,
1507000000, -6.249165e+001,
1531950000, -6.307113e+001,
1556900000, -6.330510e+001,
1581850000, -6.280669e+001,
1606800000, -6.343367e+001,
1631750000, -6.424920e+001,
1656700000, -6.415963e+001,
1681650000, -6.411034e+001,
1706600000, -6.475253e+001,
1731550000, -6.594055e+001,
1756500000, -6.630373e+001,
1781450000, -6.684392e+001,
1806400000, -6.839156e+001,
1831350000, -6.716106e+001,
1856300000, -6.884310e+001,
1881250000, -6.897180e+001,
1906200000, -7.164225e+001,
1931150000, -7.014464e+001,
1956100000, -7.076425e+001,
1981050000, -7.014043e+001,
2006000000, -7.190754e+001,
2030950000, -7.116515e+001,
2055900000, -7.176588e+001,
2080850000, -7.284989e+001,
2105800000, -7.196992e+001,
2130750000, -7.341470e+001,
2155700000, -7.251213e+001,
2180650000, -7.298701e+001,
2205600000, -7.505479e+001,
2230550000, -7.320068e+001,
2255500000, -7.274716e+001,
2280450000, -7.202428e+001,
2305400000, -7.260721e+001,
2330350000, -7.194069e+001,
2355300000, -7.265274e+001,
2380250000, -7.281301e+001,
2405200000, -7.457700e+001,
2430150000, -7.377523e+001,
2455100000, -7.386942e+001,
2480050000, -7.268127e+001,
2505000000, -7.056389e+001,
2529950000, -7.069528e+001,
2554900000, -6.942268e+001,
2579850000, -7.067786e+001,
2604800000, -7.073420e+001,
2629750000, -7.039942e+001,
2654700000, -6.909870e+001,
2679650000, -6.975375e+001,
