"S21 Log Mag"
"Frequency (Hz)","dB",
10000000, -5.840118e+001,
34950000, -8.286932e+001,
59900000, -7.365711e+001,
84850000, -7.919270e+001,
109800000, -7.420084e+001,
134750000, -7.966859e+001,
159700000, -7.069983e+001,
184650000, -6.967928e+001,
209600000, -7.186499e+001,
234550000, -7.458904e+001,
259500000, -7.014561e+001,
284450000, -6.928297e+001,
309400000, -6.917780e+001,
334350000, -6.783394e+001,
359300000, -7.005251e+001,
384250000, -6.713506e+001,
409200000, -6.842538e+001,
434150000, -6.683460e+001,
459100000, -6.595387e+001,
484050000, -6.627525e+001,
509000000, -6.645319e+001,
533950000, -6.522417e+001,
558900000, -6.480864e+001,
583850000, -6.439563e+001,
608800000, -6.450487e+001,
633750000, -6.401069e+001,
658700000, -6.453601e+001,
683650000, -6.436831e+001,
708600000, -6.376682e+001,
733550000, -6.366309e+001,
758500000, -6.324109e+001,
783450000, -6.263838e+001,
808400000, -6.202151e+001,
833350000, -6.206354e+001,
858300000, -6.155304e+001,
883250000, -6.112134e+001,
908200000, -6.141853e+001,
933150000, -6.085352e+001,
958100000, -6.090541e+001,
983050000, -6.109248e+001,
1008000000, -6.057532e+001,
1032950000, -6.065168e+001,
1057900000, -6.030560e+001,
1082850000, -6.042106e+001,
1107800000, -6.065176e+001,
1132750000, -6.077603e+001,
1157700000, -6.082203e+001,
1182650000, -6.122470e+001,
1207600000, -6.058813e+001,
1232550000, -6.123061e+001,
1257500000, -6.091152e+001,
1282450000, -6.117521e+001,
1307400000, -6.067173e+001,
1332350000, -6.066190e+001,
1357300000, -6.054233e+001,
1382250000, -6.061298e+001,
1407200000, -6.074471e+001,
1432150000, -6.186744e+001,
1457100000, -6.220349e+001,
1482050000, -6.264395e+001,
1507000000, -6.272228e+001,
1531950000, -6.335344e+001,
1556900000, -6.302983e+001,
1581850000, -6.298790e+001,
1606800000, -6.358628e+001,
1631750000, -6.404233e+001,
1656700000, -6.439855e+001,
1681650000, -6.411023e+001,
1706600000, -6.468125e+001,
1731550000, -6.534407e+001,
1756500000, -6.611304e+001,
1781450000, -6.633215e+001,
1806400000, -6.660715e+001,
1831350000, -6.745168e+001,
1856300000, -6.830975e+001,
1881250000, -6.931519e+001,
1906200000, -7.031107e+001,
1931150000, -6.970078e+001,
1956100000, -7.163188e+001,
1981050000, -7.001731e+001,
2006000000, -7.163105e+001,
2030950000, -7.100926e+001,
2055900000, -7.328155e+001,
2080850000, -7.296653e+001,
2105800000, -7.501287e+001,
2130750000, -7.291180e+001,
2155700000, -7.487778e+001,
2180650000, -7.214376e+001,
2205600000, -7.132240e+001,
