"S21 Log Mag"
"Frequency (Hz)","dB",
10000000, -6.096492e+001,
13118750, -6.654601e+001,
16237500, -5.763906e+001,
19356250, -6.445047e+001,
22475000, -7.194402e+001,
25593750, -7.699180e+001,
28712500, -7.295606e+001,
31831250, -7.706439e+001,
34950000, -7.957363e+001,
38068750, -8.169529e+001,
41187500, -8.242967e+001,
44306250, -9.409695e+001,
47425000, -6.968387e+001,
50543750, -7.076389e+001,
53662500, -7.471749e+001,
56781250, -6.884134e+001,
59900000, -7.894239e+001,
63018750, -7.770118e+001,
66137500, -7.469691e+001,
69256250, -6.929560e+001,
72375000, -7.753981e+001,
75493750, -7.104316e+001,
78612500, -8.502576e+001,
81731250, -8.092881e+001,
84850000, -7.832510e+001,
87968750, -7.385850e+001,
91087500, -9.036521e+001,
94206250, -7.349374e+001,
97325000, -7.496470e+001,
100443750, -7.410232e+001,
103562500, -8.198149e+001,
106681250, -7.161668e+001,
109800000, -7.767267e+001,
112918750, -7.242272e+001,
116037500, -7.698036e+001,
119156250, -8.116300e+001,
122275000, -7.827604e+001,
125393750, -7.344810e+001,
128512500, -7.983240e+001,
131631250, -7.447868e+001,
134750000, -7.467610e+001,
137868750, -6.943025e+001,
140987500, -7.459197e+001,
144106250, -9.455468e+001,
147225000, -6.926842e+001,
150343750, -7.138940e+001,
153462500, -7.431816e+001,
156581250, -8.999477e+001,
159700000, -6.561849e+001,
162818750, -7.710405e+001,
165937500, -7.381020e+001,
169056250, -6.978201e+001,
172175000, -9.209390e+001,
175293750, -7.369207e+001,
178412500, -7.709863e+001,
181531250, -7.482272e+001,
184650000, -8.158358e+001,
187768750, -7.134747e+001,
190887500, -7.411503e+001,
194006250, -7.619600e+001,
197125000, -8.633522e+001,
200243750, -7.129213e+001,
203362500, -7.441162e+001,
206481250, -8.897244e+001,
209600000, -7.338702e+001,
212718750, -6.897087e+001,
215837500, -7.080148e+001,
218956250, -7.555470e+001,
222075000, -7.288717e+001,
225193750, -6.937573e+001,
228312500, -7.070183e+001,
231431250, -7.053417e+001,
234550000, -6.937510e+001,
237668750, -6.839159e+001,
240787500, -6.892077e+001,
243906250, -7.478646e+001,
247025000, -7.070019e+001,
250143750, -7.757043e+001,
253262500, -7.125503e+001,
256381250, -6.887247e+001,
259500000, -7.032344e+001,
262618750, -6.987125e+001,
265737500, -6.730717e+001,
268856250, -6.986819e+001,
271975000, -7.407155e+001,
275093750, -6.859819e+001,
278212500, -6.475047e+001,
281331250, -7.111603e+001,
284450000, -7.311290e+001,
287568750, -7.276914e+001,
290687500, -6.843073e+001,
293806250, -7.625002e+001,
296925000, -6.806509e+001,
300043750, -6.952462e+001,
303162500, -6.905750e+001,
306281250, -6.686469e+001,
309400000, -6.866107e+001,
312518750, -6.619253e+001,
315637500, -6.937177e+001,
318756250, -6.812727e+001,
321875000, -7.035514e+001,
324993750, -7.030938e+001,
328112500, -6.739715e+001,
331231250, -6.879411e+001,
334350000, -7.132559e+001,
337468750, -6.872459e+001,
340587500, -6.771690e+001,
343706250, -6.607323e+001,
346825000, -6.693639e+001,
349943750, -7.003778e+001,
353062500, -6.869183e+001,
356181250, -6.711349e+001,
359300000, -7.013217e+001,
362418750, -7.024709e+001,
365537500, -6.896989e+001,
368656250, -6.809354e+001,
371775000, -6.765007e+001,
374893750, -6.817601e+001,
378012500, -6.945189e+001,
381131250, -6.756994e+001,
384250000, -6.784524e+001,
387368750, -6.901292e+001,
390487500, -6.910181e+001,
393606250, -6.773246e+001,
396725000, -6.635780e+001,
399843750, -6.761347e+001,
402962500, -6.796155e+001,
406081250, -6.704339e+001,
409200000, -6.873860e+001,
412318750, -6.717530e+001,
415437500, -6.933089e+001,
418556250, -6.987954e+001,
421675000, -6.745845e+001,
424793750, -6.586552e+001,
427912500, -6.814303e+001,
431031250, -6.768010e+001,
434150000, -6.800472e+001,
437268750, -6.561663e+001,
440387500, -6.680115e+001,
443506250, -6.772884e+001,
446625000, -6.649609e+001,
449743750, -6.628688e+001,
452862500, -6.634639e+001,
455981250, -6.691425e+001,
