"S12 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.591762e+002,
3001562500, 1.570309e+002,
3003125000, 1.556204e+002,
3004687500, 1.539183e+002,
3006250000, 1.517949e+002,
3007812500, 1.500459e+002,
3009375000, 1.481789e+002,
3010937500, 1.470027e+002,
3012500000, 1.448612e+002,
3014062500, 1.426573e+002,
3015625000, 1.409520e+002,
3017187500, 1.387157e+002,
3018750000, 1.369633e+002,
3020312500, 1.352953e+002,
3021875000, 1.330794e+002,
3023437500, 1.311599e+002,
3025000000, 1.293357e+002,
3026562500, 1.272838e+002,
3028125000, 1.252285e+002,
3029687500, 1.233346e+002,
3031250000, 1.212972e+002,
3032812500, 1.195499e+002,
3034375000, 1.172586e+002,
3035937500, 1.150390e+002,
3037500000, 1.131914e+002,
3039062500, 1.109133e+002,
3040625000, 1.090031e+002,
3042187500, 1.066568e+002,
3043750000, 1.043646e+002,
3045312500, 1.022242e+002,
3046875000, 9.989011e+001,
3048437500, 9.792485e+001,
3050000000, 9.573934e+001,
3051562500, 9.337618e+001,
3053125000, 9.171722e+001,
3054687500, 8.927074e+001,
3056250000, 8.690033e+001,
3057812500, 8.449113e+001,
3059375000, 8.262035e+001,
3060937500, 8.022892e+001,
3062500000, 7.802655e+001,
3064062500, 7.619264e+001,
3065625000, 7.358276e+001,
3067187500, 7.158294e+001,
3068750000, 6.943412e+001,
3070312500, 6.712117e+001,
3071875000, 6.522787e+001,
3073437500, 6.256703e+001,
3075000000, 6.099789e+001,
3076562500, 5.838803e+001,
3078125000, 5.613411e+001,
3079687500, 5.387369e+001,
3081250000, 5.192420e+001,
3082812500, 4.964809e+001,
3084375000, 4.787983e+001,
3085937500, 4.537925e+001,
3087500000, 4.354497e+001,
3089062500, 4.112236e+001,
3090625000, 3.891232e+001,
3092187500, 3.735427e+001,
3093750000, 3.548435e+001,
3095312500, 3.359838e+001,
3096875000, 3.135126e+001,
3098437500, 2.907264e+001,
3100000000, 2.738091e+001,
3101562500, 2.489518e+001,
3103125000, 2.290507e+001,
3104687500, 2.117754e+001,
3106250000, 1.861653e+001,
3107812500, 1.675171e+001,
3109375000, 1.477686e+001,
3110937500, 1.272448e+001,
3112500000, 1.057719e+001,
3114062500, 8.908660e+000,
3115625000, 6.303065e+000,
3117187500, 4.228736e+000,
3118750000, 2.291022e+000,
3120312500, 1.611055e-001,
3121875000, -1.911532e+000,
3123437500, -4.342632e+000,
3125000000, -6.067996e+000,
3126562500, -8.358308e+000,
3128125000, -1.027454e+001,
3129687500, -1.256079e+001,
