"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.992510e+001,
3001562500, -4.981055e+001,
3003125000, -4.985144e+001,
3004687500, -4.974305e+001,
3006250000, -4.970393e+001,
3007812500, -4.968989e+001,
3009375000, -4.962113e+001,
3010937500, -4.961231e+001,
3012500000, -4.957473e+001,
3014062500, -4.952422e+001,
3015625000, -4.945184e+001,
3017187500, -4.946404e+001,
3018750000, -4.934426e+001,
3020312500, -4.928875e+001,
3021875000, -4.927371e+001,
3023437500, -4.920718e+001,
3025000000, -4.917730e+001,
3026562500, -4.910548e+001,
3028125000, -4.907666e+001,
3029687500, -4.896946e+001,
3031250000, -4.896214e+001,
3032812500, -4.889464e+001,
3034375000, -4.887717e+001,
3035937500, -4.873344e+001,
3037500000, -4.876048e+001,
3039062500, -4.867900e+001,
3040625000, -4.867610e+001,
3042187500, -4.864292e+001,
3043750000, -4.855107e+001,
3045312500, -4.853102e+001,
3046875000, -4.848904e+001,
3048437500, -4.847944e+001,
3050000000, -4.841184e+001,
3051562500, -4.836876e+001,
3053125000, -4.833276e+001,
3054687500, -4.832961e+001,
3056250000, -4.819396e+001,
3057812500, -4.820735e+001,
3059375000, -4.817397e+001,
3060937500, -4.818239e+001,
3062500000, -4.802553e+001,
3064062500, -4.811155e+001,
3065625000, -4.804766e+001,
3067187500, -4.801189e+001,
3068750000, -4.800857e+001,
3070312500, -4.789137e+001,
3071875000, -4.793515e+001,
3073437500, -4.800910e+001,
3075000000, -4.785961e+001,
3076562500, -4.786741e+001,
3078125000, -4.790616e+001,
3079687500, -4.786456e+001,
3081250000, -4.783791e+001,
3082812500, -4.791513e+001,
3084375000, -4.783713e+001,
3085937500, -4.782406e+001,
3087500000, -4.784641e+001,
3089062500, -4.787575e+001,
3090625000, -4.775953e+001,
3092187500, -4.779964e+001,
3093750000, -4.774809e+001,
3095312500, -4.776929e+001,
3096875000, -4.785288e+001,
3098437500, -4.779876e+001,
3100000000, -4.771144e+001,
3101562500, -4.772724e+001,
3103125000, -4.782231e+001,
3104687500, -4.768922e+001,
3106250000, -4.772068e+001,
3107812500, -4.778784e+001,
3109375000, -4.765270e+001,
3110937500, -4.764151e+001,
3112500000, -4.771809e+001,
3114062500, -4.775253e+001,
3115625000, -4.764070e+001,
3117187500, -4.771306e+001,
3118750000, -4.776294e+001,
3120312500, -4.766512e+001,
3121875000, -4.766420e+001,
3123437500, -4.770103e+001,
3125000000, -4.770031e+001,
3126562500, -4.766523e+001,
3128125000, -4.765928e+001,
3129687500, -4.772583e+001,
3131250000, -4.765023e+001,
3132812500, -4.768332e+001,
3134375000, -4.768542e+001,
3135937500, -4.770227e+001,
3137500000, -4.755783e+001,
3139062500, -4.771767e+001,
3140625000, -4.769659e+001,
3142187500, -4.763244e+001,
3143750000, -4.761281e+001,
3145312500, -4.766818e+001,
3146875000, -4.761317e+001,
3148437500, -4.761020e+001,
3150000000, -4.755661e+001,
3151562500, -4.762633e+001,
3153125000, -4.761184e+001,
3154687500, -4.755861e+001,
3156250000, -4.763126e+001,
3157812500, -4.752407e+001,
3159375000, -4.766356e+001,
3160937500, -4.759788e+001,
3162500000, -4.762478e+001,
3164062500, -4.762087e+001,
3165625000, -4.761909e+001,
3167187500, -4.766378e+001,
3168750000, -4.772112e+001,
3170312500, -4.770918e+001,
3171875000, -4.775652e+001,
3173437500, -4.774931e+001,
3175000000, -4.773091e+001,
3176562500, -4.781165e+001,
3178125000, -4.777756e+001,
3179687500, -4.783160e+001,
3181250000, -4.790488e+001,
3182812500, -4.788971e+001,
3184375000, -4.795432e+001,
3185937500, -4.791533e+001,
3187500000, -4.797128e+001,
3189062500, -4.798654e+001,
3190625000, -4.808921e+001,
3192187500, -4.806979e+001,
3193750000, -4.815406e+001,
3195312500, -4.810284e+001,
3196875000, -4.819653e+001,
3198437500, -4.819893e+001,
3200000000, -4.830638e+001,
3201562500, -4.828420e+001,
3203125000, -4.846711e+001,
3204687500, -4.841659e+001,
3206250000, -4.852436e+001,
3207812500, -4.852851e+001,
3209375000, -4.856735e+001,
3210937500, -4.866220e+001,
3212500000, -4.855781e+001,
3214062500, -4.877180e+001,
3215625000, -4.865224e+001,
3217187500, -4.879366e+001,
3218750000, -4.880613e+001,
3220312500, -4.889256e+001,
3221875000, -4.887329e+001,
3223437500, -4.887700e+001,
3225000000, -4.894150e+001,
3226562500, -4.888353e+001,
3228125000, -4.895759e+001,
3229687500, -4.897262e+001,
3231250000, -4.903698e+001,
3232812500, -4.913636e+001,
3234375000, -4.906337e+001,
3235937500, -4.908812e+001,
3237500000, -4.905357e+001,
3239062500, -4.914830e+001,
3240625000, -4.912526e+001,
3242187500, -4.924039e+001,
3243750000, -4.902776e+001,
3245312500, -4.924142e+001,
3246875000, -4.920596e+001,
3248437500, -4.924144e+001,
3250000000, -4.922208e+001,
3251562500, -4.919648e+001,
3253125000, -4.925098e+001,
3254687500, -4.913806e+001,
3256250000, -4.923226e+001,
3257812500, -4.917312e+001,
3259375000, -4.914952e+001,
3260937500, -4.933243e+001,
3262500000, -4.923069e+001,
3264062500, -4.921259e+001,
3265625000, -4.917745e+001,
3267187500, -4.917081e+001,
3268750000, -4.924054e+001,
3270312500, -4.918386e+001,
3271875000, -4.919368e+001,
3273437500, -4.898022e+001,
3275000000, -4.904957e+001,
3276562500, -4.906214e+001,
3278125000, -4.897359e+001,
3279687500, -4.904770e+001,
3281250000, -4.895274e+001,
3282812500, -4.890651e+001,
3284375000, -4.893899e+001,
3285937500, -4.882935e+001,
3287500000, -4.886674e+001,
3289062500, -4.878698e+001,
3290625000, -4.866802e+001,
3292187500, -4.889754e+001,
3293750000, -4.871413e+001,
3295312500, -4.867799e+001,
3296875000, -4.868500e+001,
3298437500, -4.851044e+001,
3300000000, -4.859648e+001,
3301562500, -4.850799e+001,
3303125000, -4.853361e+001,
3304687500, -4.856591e+001,
3306250000, -4.827892e+001,
3307812500, -4.839907e+001,
3309375000, -4.840046e+001,
3310937500, -4.834205e+001,
3312500000, -4.829290e+001,
3314062500, -4.831137e+001,
3315625000, -4.814933e+001,
3317187500, -4.828033e+001,
3318750000, -4.817405e+001,
3320312500, -4.815619e+001,
3321875000, -4.813147e+001,
3323437500, -4.787376e+001,
3325000000, -4.806185e+001,
3326562500, -4.799955e+001,
3328125000, -4.804364e+001,
3329687500, -4.794008e+001,
3331250000, -4.791586e+001,
3332812500, -4.788427e+001,
3334375000, -4.789172e+001,
3335937500, -4.777501e+001,
3337500000, -4.780709e+001,
3339062500, -4.785916e+001,
3340625000, -4.759449e+001,
3342187500, -4.781995e+001,
3343750000, -4.768171e+001,
3345312500, -4.767018e+001,
3346875000, -4.770285e+001,
3348437500, -4.767841e+001,
3350000000, -4.752151e+001,
3351562500, -4.760357e+001,
3353125000, -4.758787e+001,
3354687500, -4.754106e+001,
3356250000, -4.769163e+001,
3357812500, -4.750964e+001,
3359375000, -4.752075e+001,
3360937500, -4.767136e+001,
3362500000, -4.749687e+001,
