"S12 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.701031e+001,
3501250000, -4.697773e+001,
3502500000, -4.700561e+001,
3503750000, -4.698804e+001,
3505000000, -4.697882e+001,
3506250000, -4.693618e+001,
3507500000, -4.706866e+001,
3508750000, -4.710337e+001,
3510000000, -4.709932e+001,
3511250000, -4.716304e+001,
3512500000, -4.712236e+001,
3513750000, -4.713044e+001,
3515000000, -4.720432e+001,
3516250000, -4.722000e+001,
3517500000, -4.728056e+001,
3518750000, -4.727432e+001,
3520000000, -4.727610e+001,
3521250000, -4.730248e+001,
3522500000, -4.737101e+001,
3523750000, -4.737265e+001,
3525000000, -4.746995e+001,
3526250000, -4.742658e+001,
3527500000, -4.743095e+001,
3528750000, -4.748978e+001,
3530000000, -4.761154e+001,
3531250000, -4.765225e+001,
3532500000, -4.766441e+001,
3533750000, -4.762793e+001,
3535000000, -4.770074e+001,
3536250000, -4.770255e+001,
3537500000, -4.770840e+001,
3538750000, -4.771712e+001,
3540000000, -4.778137e+001,
3541250000, -4.787051e+001,
3542500000, -4.786245e+001,
3543750000, -4.786036e+001,
3545000000, -4.791785e+001,
3546250000, -4.803545e+001,
3547500000, -4.802767e+001,
3548750000, -4.797826e+001,
3550000000, -4.806743e+001,
3551250000, -4.822681e+001,
3552500000, -4.823074e+001,
3553750000, -4.819955e+001,
3555000000, -4.823549e+001,
3556250000, -4.831698e+001,
3557500000, -4.832026e+001,
3558750000, -4.830192e+001,
3560000000, -4.833291e+001,
3561250000, -4.837610e+001,
3562500000, -4.838669e+001,
3563750000, -4.842426e+001,
3565000000, -4.848834e+001,
3566250000, -4.843970e+001,
3567500000, -4.854780e+001,
3568750000, -4.856658e+001,
3570000000, -4.861963e+001,
3571250000, -4.850552e+001,
3572500000, -4.861429e+001,
3573750000, -4.870911e+001,
3575000000, -4.878389e+001,
3576250000, -4.882811e+001,
3577500000, -4.884002e+001,
3578750000, -4.878238e+001,
3580000000, -4.877221e+001,
3581250000, -4.874976e+001,
3582500000, -4.886952e+001,
3583750000, -4.890946e+001,
3585000000, -4.880452e+001,
3586250000, -4.882800e+001,
3587500000, -4.888311e+001,
3588750000, -4.886647e+001,
3590000000, -4.885188e+001,
3591250000, -4.884902e+001,
3592500000, -4.893516e+001,
3593750000, -4.888981e+001,
3595000000, -4.874016e+001,
3596250000, -4.883569e+001,
3597500000, -4.891988e+001,
3598750000, -4.893490e+001,
3600000000, -4.891666e+001,
3601250000, -4.884558e+001,
3602500000, -4.891393e+001,
3603750000, -4.879830e+001,
3605000000, -4.872073e+001,
3606250000, -4.871840e+001,
3607500000, -4.884906e+001,
3608750000, -4.879833e+001,
3610000000, -4.876978e+001,
3611250000, -4.873940e+001,
3612500000, -4.873098e+001,
3613750000, -4.871526e+001,
3615000000, -4.865947e+001,
3616250000, -4.871223e+001,
3617500000, -4.870770e+001,
3618750000, -4.872083e+001,
3620000000, -4.859406e+001,
3621250000, -4.859420e+001,
3622500000, -4.871286e+001,
3623750000, -4.868728e+001,
3625000000, -4.863636e+001,
3626250000, -4.867210e+001,
3627500000, -4.867619e+001,
3628750000, -4.855607e+001,
3630000000, -4.855465e+001,
3631250000, -4.855302e+001,
3632500000, -4.863453e+001,
3633750000, -4.867483e+001,
3635000000, -4.867147e+001,
3636250000, -4.865487e+001,
3637500000, -4.868135e+001,
3638750000, -4.865682e+001,
3640000000, -4.855406e+001,
3641250000, -4.859438e+001,
3642500000, -4.870539e+001,
3643750000, -4.870289e+001,
3645000000, -4.869112e+001,
3646250000, -4.869368e+001,
3647500000, -4.866505e+001,
3648750000, -4.860004e+001,
3650000000, -4.868665e+001,
3651250000, -4.875347e+001,
3652500000, -4.871521e+001,
3653750000, -4.866626e+001,
3655000000, -4.854485e+001,
3656250000, -4.859885e+001,
3657500000, -4.866878e+001,
3658750000, -4.864350e+001,
3660000000, -4.867501e+001,
3661250000, -4.875083e+001,
3662500000, -4.877594e+001,
3663750000, -4.872126e+001,
3665000000, -4.872585e+001,
3666250000, -4.873496e+001,
3667500000, -4.878997e+001,
3668750000, -4.886089e+001,
3670000000, -4.885183e+001,
3671250000, -4.885672e+001,
3672500000, -4.895045e+001,
3673750000, -4.898760e+001,
3675000000, -4.889570e+001,
3676250000, -4.870962e+001,
3677500000, -4.883648e+001,
3678750000, -4.902121e+001,
3680000000, -4.912743e+001,
3681250000, -4.903788e+001,
3682500000, -4.888763e+001,
3683750000, -4.887045e+001,
3685000000, -4.893173e+001,
3686250000, -4.898986e+001,
3687500000, -4.917115e+001,
3688750000, -4.922597e+001,
3690000000, -4.930058e+001,
3691250000, -4.918861e+001,
3692500000, -4.907072e+001,
3693750000, -4.919046e+001,
3695000000, -4.929831e+001,
3696250000, -4.948924e+001,
3697500000, -4.950907e+001,
3698750000, -4.945915e+001,
3700000000, -4.952166e+001,
3701250000, -4.952719e+001,
3702500000, -4.950973e+001,
3703750000, -4.937529e+001,
3705000000, -4.937072e+001,
3706250000, -4.960012e+001,
3707500000, -4.981099e+001,
3708750000, -4.980277e+001,
3710000000, -4.960310e+001,
3711250000, -4.949557e+001,
3712500000, -4.943225e+001,
3713750000, -4.950489e+001,
3715000000, -4.959470e+001,
3716250000, -4.986853e+001,
3717500000, -4.991006e+001,
3718750000, -4.971103e+001,
3720000000, -4.948206e+001,
3721250000, -4.958309e+001,
3722500000, -4.969479e+001,
3723750000, -4.982904e+001,
3725000000, -4.984550e+001,
3726250000, -4.977559e+001,
3727500000, -4.978210e+001,
3728750000, -4.974402e+001,
3730000000, -4.972647e+001,
3731250000, -4.964949e+001,
3732500000, -4.946289e+001,
3733750000, -4.941447e+001,
3735000000, -4.952233e+001,
3736250000, -4.967801e+001,
3737500000, -4.978121e+001,
3738750000, -4.967143e+001,
3740000000, -4.954177e+001,
3741250000, -4.943226e+001,
3742500000, -4.929430e+001,
3743750000, -4.931905e+001,
3745000000, -4.968735e+001,
3746250000, -4.989476e+001,
3747500000, -4.962876e+001,
3748750000, -4.943570e+001,
3750000000, -4.938787e+001,
3751250000, -4.951799e+001,
3752500000, -4.956673e+001,
3753750000, -4.955477e+001,
3755000000, -4.960610e+001,
3756250000, -4.977945e+001,
3757500000, -4.991475e+001,
3758750000, -4.968462e+001,
3760000000, -4.934636e+001,
3761250000, -4.933598e+001,
3762500000, -4.936331e+001,
3763750000, -4.935952e+001,
3765000000, -4.960432e+001,
3766250000, -4.962411e+001,
3767500000, -4.974807e+001,
3768750000, -4.957211e+001,
3770000000, -4.943007e+001,
3771250000, -4.931484e+001,
3772500000, -4.928329e+001,
3773750000, -4.931691e+001,
3775000000, -4.955634e+001,
3776250000, -4.978840e+001,
3777500000, -4.994933e+001,
3778750000, -4.960286e+001,
3780000000, -4.939163e+001,
3781250000, -4.961341e+001,
3782500000, -4.988797e+001,
3783750000, -5.003024e+001,
3785000000, -4.974051e+001,
3786250000, -4.958857e+001,
3787500000, -4.980524e+001,
3788750000, -5.013680e+001,
3790000000, -5.011542e+001,
3791250000, -4.986218e+001,
3792500000, -4.966358e+001,
3793750000, -4.974443e+001,
3795000000, -4.991291e+001,
3796250000, -4.994563e+001,
3797500000, -4.990765e+001,
3798750000, -4.996197e+001,
3800000000, -5.006089e+001,
3801250000, -5.033317e+001,
3802500000, -5.046018e+001,
3803750000, -5.019928e+001,
3805000000, -4.968652e+001,
3806250000, -4.995370e+001,
3807500000, -5.060415e+001,
3808750000, -5.087071e+001,
3810000000, -5.065147e+001,
3811250000, -5.017712e+001,
3812500000, -5.012909e+001,
3813750000, -5.083412e+001,
3815000000, -5.129401e+001,
3816250000, -5.091341e+001,
3817500000, -5.073643e+001,
3818750000, -5.077008e+001,
3820000000, -5.087881e+001,
3821250000, -5.091801e+001,
3822500000, -5.095395e+001,
3823750000, -5.104909e+001,
3825000000, -5.143569e+001,
3826250000, -5.131804e+001,
3827500000, -5.120760e+001,
3828750000, -5.112583e+001,
3830000000, -5.112108e+001,
3831250000, -5.152776e+001,
3832500000, -5.206282e+001,
3833750000, -5.166919e+001,
3835000000, -5.114676e+001,
3836250000, -5.126320e+001,
3837500000, -5.170924e+001,
3838750000, -5.220166e+001,
3840000000, -5.227021e+001,
3841250000, -5.215355e+001,
3842500000, -5.196745e+001,
3843750000, -5.178396e+001,
3845000000, -5.181103e+001,
3846250000, -5.198318e+001,
3847500000, -5.228422e+001,
3848750000, -5.248864e+001,
3850000000, -5.243110e+001,
3851250000, -5.232289e+001,
3852500000, -5.232529e+001,
3853750000, -5.241832e+001,
3855000000, -5.240551e+001,
3856250000, -5.216132e+001,
3857500000, -5.194561e+001,
3858750000, -5.213177e+001,
3860000000, -5.244566e+001,
3861250000, -5.259595e+001,
3862500000, -5.242379e+001,
3863750000, -5.235086e+001,
3865000000, -5.274581e+001,
3866250000, -5.326801e+001,
3867500000, -5.308657e+001,
3868750000, -5.226200e+001,
3870000000, -5.179378e+001,
3871250000, -5.196641e+001,
3872500000, -5.265604e+001,
3873750000, -5.370959e+001,
3875000000, -5.418694e+001,
3876250000, -5.368398e+001,
3877500000, -5.303144e+001,
3878750000, -5.257012e+001,
3880000000, -5.244790e+001,
3881250000, -5.258869e+001,
3882500000, -5.292984e+001,
3883750000, -5.321191e+001,
3885000000, -5.301018e+001,
3886250000, -5.340713e+001,
3887500000, -5.404546e+001,
3888750000, -5.392254e+001,
3890000000, -5.327744e+001,
3891250000, -5.266264e+001,
3892500000, -5.229751e+001,
3893750000, -5.225793e+001,
3895000000, -5.240671e+001,
3896250000, -5.262000e+001,
3897500000, -5.276773e+001,
3898750000, -5.333347e+001,
3900000000, -5.394215e+001,
3901250000, -5.402872e+001,
3902500000, -5.346161e+001,
3903750000, -5.256098e+001,
3905000000, -5.199800e+001,
3906250000, -5.177053e+001,
3907500000, -5.199457e+001,
3908750000, -5.274581e+001,
3910000000, -5.377801e+001,
3911250000, -5.441145e+001,
3912500000, -5.428229e+001,
3913750000, -5.423833e+001,
3915000000, -5.402078e+001,
3916250000, -5.294512e+001,
3917500000, -5.213508e+001,
3918750000, -5.250281e+001,
3920000000, -5.287734e+001,
3921250000, -5.262367e+001,
3922500000, -5.268141e+001,
3923750000, -5.311647e+001,
3925000000, -5.361413e+001,
3926250000, -5.397036e+001,
3927500000, -5.405371e+001,
3928750000, -5.345765e+001,
3930000000, -5.264594e+001,
3931250000, -5.191747e+001,
3932500000, -5.153915e+001,
3933750000, -5.123813e+001,
3935000000, -5.129545e+001,
3936250000, -5.217352e+001,
3937500000, -5.357005e+001,
3938750000, -5.493087e+001,
3940000000, -5.452714e+001,
3941250000, -5.250336e+001,
3942500000, -5.135315e+001,
3943750000, -5.114945e+001,
3945000000, -5.151394e+001,
3946250000, -5.241580e+001,
3947500000, -5.334221e+001,
3948750000, -5.386349e+001,
3950000000, -5.350426e+001,
3951250000, -5.293644e+001,
3952500000, -5.306684e+001,
3953750000, -5.292923e+001,
3955000000, -5.287735e+001,
3956250000, -5.337343e+001,
3957500000, -5.362054e+001,
3958750000, -5.280234e+001,
3960000000, -5.133467e+001,
3961250000, -5.091100e+001,
3962500000, -5.214219e+001,
3963750000, -5.358449e+001,
3965000000, -5.315918e+001,
3966250000, -5.225267e+001,
3967500000, -5.209343e+001,
3968750000, -5.285756e+001,
3970000000, -5.428673e+001,
3971250000, -5.499765e+001,
3972500000, -5.402549e+001,
3973750000, -5.178570e+001,
3975000000, -5.021818e+001,
3976250000, -5.000361e+001,
3977500000, -5.078849e+001,
3978750000, -5.252685e+001,
3980000000, -5.553895e+001,
3981250000, -5.664540e+001,
3982500000, -5.401678e+001,
3983750000, -5.166342e+001,
3985000000, -5.100410e+001,
3986250000, -5.185451e+001,
3987500000, -5.421746e+001,
3988750000, -5.634868e+001,
3990000000, -5.490431e+001,
3991250000, -5.251376e+001,
3992500000, -5.128918e+001,
3993750000, -5.067881e+001,
3995000000, -5.108963e+001,
3996250000, -5.276609e+001,
3997500000, -5.499158e+001,
3998750000, -5.567269e+001,
4000000000, -5.450225e+001,
4001250000, -5.237044e+001,
4002500000, -5.138744e+001,
4003750000, -5.231183e+001,
4005000000, -5.421265e+001,
4006250000, -5.460833e+001,
4007500000, -5.321867e+001,
4008750000, -5.273576e+001,
4010000000, -5.300901e+001,
4011250000, -5.287042e+001,
4012500000, -5.325406e+001,
4013750000, -5.445770e+001,
4015000000, -5.564217e+001,
4016250000, -5.640377e+001,
4017500000, -5.617027e+001,
4018750000, -5.353793e+001,
4020000000, -5.160085e+001,
4021250000, -5.147875e+001,
4022500000, -5.277527e+001,
4023750000, -5.437970e+001,
4025000000, -5.628793e+001,
4026250000, -5.641454e+001,
4027500000, -5.455183e+001,
4028750000, -5.396165e+001,
4030000000, -5.467583e+001,
4031250000, -5.727909e+001,
4032500000, -5.661279e+001,
4033750000, -5.356520e+001,
4035000000, -5.187584e+001,
4036250000, -5.120423e+001,
4037500000, -5.108125e+001,
4038750000, -5.152687e+001,
4040000000, -5.271649e+001,
4041250000, -5.611242e+001,
4042500000, -6.209952e+001,
4043750000, -5.898246e+001,
4045000000, -5.492270e+001,
4046250000, -5.219749e+001,
4047500000, -5.092696e+001,
4048750000, -5.082291e+001,
4050000000, -5.149853e+001,
4051250000, -5.286439e+001,
4052500000, -5.572304e+001,
4053750000, -5.789578e+001,
4055000000, -5.770235e+001,
4056250000, -5.518224e+001,
4057500000, -5.339512e+001,
4058750000, -5.343576e+001,
4060000000, -5.609601e+001,
4061250000, -5.974646e+001,
4062500000, -5.734595e+001,
4063750000, -5.480976e+001,
4065000000, -5.298212e+001,
4066250000, -5.283071e+001,
4067500000, -5.449717e+001,
4068750000, -5.945266e+001,
4070000000, -6.047832e+001,
4071250000, -5.424028e+001,
4072500000, -5.140902e+001,
4073750000, -5.109668e+001,
4075000000, -5.253674e+001,
4076250000, -5.632279e+001,
4077500000, -6.538351e+001,
4078750000, -6.374136e+001,
4080000000, -5.570422e+001,
4081250000, -5.181657e+001,
4082500000, -4.968728e+001,
4083750000, -4.830242e+001,
4085000000, -4.848584e+001,
4086250000, -5.110344e+001,
4087500000, -5.705803e+001,
4088750000, -6.694004e+001,
4090000000, -5.905963e+001,
4091250000, -5.394882e+001,
4092500000, -5.204030e+001,
4093750000, -5.101596e+001,
4095000000, -5.007000e+001,
4096250000, -4.974778e+001,
4097500000, -5.050847e+001,
4098750000, -5.228017e+001,
4100000000, -5.560746e+001,
4101250000, -6.242910e+001,
4102500000, -6.634204e+001,
4103750000, -5.855149e+001,
4105000000, -5.699126e+001,
4106250000, -5.637384e+001,
4107500000, -5.403643e+001,
4108750000, -5.191522e+001,
4110000000, -5.021289e+001,
4111250000, -4.955427e+001,
4112500000, -5.044918e+001,
4113750000, -5.368671e+001,
4115000000, -5.942220e+001,
4116250000, -6.338786e+001,
4117500000, -5.850866e+001,
4118750000, -5.402668e+001,
4120000000, -5.131134e+001,
4121250000, -5.035779e+001,
4122500000, -5.106805e+001,
4123750000, -5.318649e+001,
4125000000, -5.744929e+001,
4126250000, -6.976608e+001,
4127500000, -5.920853e+001,
4128750000, -5.274642e+001,
4130000000, -5.031253e+001,
4131250000, -4.989148e+001,
4132500000, -5.064191e+001,
4133750000, -5.305501e+001,
4135000000, -5.727918e+001,
4136250000, -6.004305e+001,
4137500000, -5.760569e+001,
4138750000, -5.404636e+001,
4140000000, -5.198228e+001,
4141250000, -5.061636e+001,
4142500000, -5.002019e+001,
4143750000, -5.055941e+001,
4145000000, -5.237624e+001,
4146250000, -5.443892e+001,
4147500000, -5.827682e+001,
4148750000, -6.635721e+001,
4150000000, -9.707748e+001,
4151250000, -6.512617e+001,
4152500000, -5.821760e+001,
4153750000, -5.589436e+001,
4155000000, -5.589491e+001,
4156250000, -5.890852e+001,
4157500000, -6.346218e+001,
4158750000, -6.307960e+001,
4160000000, -5.999870e+001,
4161250000, -5.708324e+001,
4162500000, -5.382566e+001,
4163750000, -5.112474e+001,
4165000000, -5.001507e+001,
4166250000, -5.078011e+001,
4167500000, -5.279327e+001,
4168750000, -5.615181e+001,
4170000000, -5.745509e+001,
4171250000, -5.681800e+001,
4172500000, -5.651979e+001,
4173750000, -5.548851e+001,
4175000000, -5.321985e+001,
4176250000, -5.118379e+001,
4177500000, -4.998305e+001,
4178750000, -4.864664e+001,
4180000000, -4.665890e+001,
4181250000, -4.554540e+001,
4182500000, -4.533044e+001,
4183750000, -4.526358e+001,
4185000000, -4.563863e+001,
4186250000, -4.642865e+001,
4187500000, -4.683759e+001,
4188750000, -4.714510e+001,
4190000000, -4.733281e+001,
4191250000, -4.766941e+001,
4192500000, -4.786173e+001,
4193750000, -4.830798e+001,
4195000000, -4.990261e+001,
4196250000, -5.151072e+001,
4197500000, -5.170054e+001,
4198750000, -5.304686e+001,
4200000000, -5.446384e+001,
4201250000, -5.351212e+001,
4202500000, -5.067191e+001,
4203750000, -4.873198e+001,
4205000000, -4.845154e+001,
4206250000, -4.927944e+001,
4207500000, -5.072146e+001,
4208750000, -5.277690e+001,
4210000000, -5.519339e+001,
4211250000, -5.620752e+001,
4212500000, -5.513703e+001,
4213750000, -5.214632e+001,
4215000000, -4.945010e+001,
4216250000, -4.797305e+001,
4217500000, -4.754502e+001,
4218750000, -4.744888e+001,
4220000000, -4.859627e+001,
4221250000, -5.056803e+001,
4222500000, -5.171383e+001,
4223750000, -5.137684e+001,
4225000000, -5.019770e+001,
4226250000, -4.824687e+001,
4227500000, -4.589344e+001,
4228750000, -4.372084e+001,
4230000000, -4.182861e+001,
4231250000, -4.116095e+001,
4232500000, -4.109776e+001,
4233750000, -4.085271e+001,
4235000000, -4.024646e+001,
4236250000, -3.952242e+001,
4237500000, -3.848193e+001,
4238750000, -3.790170e+001,
4240000000, -3.867736e+001,
4241250000, -3.986800e+001,
4242500000, -4.129321e+001,
4243750000, -4.308250e+001,
4245000000, -4.436163e+001,
4246250000, -4.469986e+001,
4247500000, -4.509288e+001,
4248750000, -4.628048e+001,
4250000000, -4.810258e+001,
4251250000, -4.800067e+001,
4252500000, -4.659138e+001,
4253750000, -4.466237e+001,
4255000000, -4.323677e+001,
4256250000, -4.256767e+001,
4257500000, -4.189919e+001,
4258750000, -4.197108e+001,
4260000000, -4.333183e+001,
4261250000, -4.508422e+001,
4262500000, -4.672675e+001,
4263750000, -4.735006e+001,
4265000000, -4.679923e+001,
4266250000, -4.479802e+001,
4267500000, -4.275036e+001,
4268750000, -4.158220e+001,
4270000000, -4.138589e+001,
4271250000, -4.211063e+001,
4272500000, -4.351807e+001,
4273750000, -4.561016e+001,
4275000000, -4.845932e+001,
4276250000, -4.691679e+001,
4277500000, -4.407568e+001,
4278750000, -4.391197e+001,
4280000000, -4.576796e+001,
4281250000, -4.791323e+001,
4282500000, -5.050688e+001,
4283750000, -5.207434e+001,
4285000000, -5.383306e+001,
4286250000, -5.648448e+001,
4287500000, -5.872834e+001,
4288750000, -5.425937e+001,
