"S12 Phase"
"Frequency (Hz)","Deg",
3500000000, -1.351889e+002,
3501250000, -1.367380e+002,
3502500000, -1.384813e+002,
3503750000, -1.400745e+002,
3505000000, -1.421366e+002,
3506250000, -1.444427e+002,
3507500000, -1.462520e+002,
3508750000, -1.477793e+002,
3510000000, -1.494160e+002,
3511250000, -1.512554e+002,
3512500000, -1.526186e+002,
3513750000, -1.546652e+002,
3515000000, -1.563484e+002,
3516250000, -1.584570e+002,
3517500000, -1.600500e+002,
3518750000, -1.615987e+002,
3520000000, -1.632725e+002,
3521250000, -1.649256e+002,
3522500000, -1.668113e+002,
3523750000, -1.685724e+002,
3525000000, -1.700328e+002,
3526250000, -1.715712e+002,
3527500000, -1.736461e+002,
3528750000, -1.755679e+002,
3530000000, -1.770844e+002,
3531250000, -1.785582e+002,
3532500000, -1.799414e+002,
3533750000, 1.784744e+002,
3535000000, 1.767722e+002,
3536250000, 1.750999e+002,
3537500000, 1.733801e+002,
3538750000, 1.716844e+002,
3540000000, 1.699055e+002,
3541250000, 1.684429e+002,
3542500000, 1.669409e+002,
3543750000, 1.654013e+002,
3545000000, 1.635401e+002,
3546250000, 1.616504e+002,
3547500000, 1.604092e+002,
3548750000, 1.588789e+002,
3550000000, 1.568453e+002,
3551250000, 1.551752e+002,
3552500000, 1.541862e+002,
3553750000, 1.527559e+002,
3555000000, 1.510798e+002,
3556250000, 1.500409e+002,
3557500000, 1.483230e+002,
3558750000, 1.465937e+002,
3560000000, 1.453840e+002,
3561250000, 1.439840e+002,
3562500000, 1.424136e+002,
3563750000, 1.404331e+002,
3565000000, 1.389653e+002,
3566250000, 1.374946e+002,
3567500000, 1.359645e+002,
3568750000, 1.344021e+002,
3570000000, 1.334847e+002,
3571250000, 1.317289e+002,
3572500000, 1.300292e+002,
3573750000, 1.280982e+002,
3575000000, 1.274708e+002,
3576250000, 1.260909e+002,
3577500000, 1.247796e+002,
3578750000, 1.234509e+002,
3580000000, 1.222274e+002,
3581250000, 1.202074e+002,
3582500000, 1.189645e+002,
3583750000, 1.179030e+002,
3585000000, 1.168428e+002,
3586250000, 1.153985e+002,
3587500000, 1.134474e+002,
3588750000, 1.123147e+002,
3590000000, 1.109072e+002,
3591250000, 1.091827e+002,
3592500000, 1.078171e+002,
3593750000, 1.069994e+002,
3595000000, 1.055318e+002,
3596250000, 1.029839e+002,
3597500000, 1.016658e+002,
3598750000, 1.006590e+002,
3600000000, 9.943313e+001,
3601250000, 9.804278e+001,
3602500000, 9.691468e+001,
3603750000, 9.556923e+001,
3605000000, 9.386898e+001,
3606250000, 9.163284e+001,
3607500000, 9.031862e+001,
3608750000, 8.923691e+001,
3610000000, 8.764993e+001,
3611250000, 8.570235e+001,
3612500000, 8.431410e+001,
3613750000, 8.290929e+001,
3615000000, 8.129032e+001,
3616250000, 7.898265e+001,
3617500000, 7.773619e+001,
3618750000, 7.657014e+001,
3620000000, 7.476915e+001,
3621250000, 7.279729e+001,
3622500000, 7.097108e+001,
3623750000, 6.994991e+001,
3625000000, 6.806714e+001,
3626250000, 6.667831e+001,
3627500000, 6.553440e+001,
3628750000, 6.377621e+001,
3630000000, 6.157590e+001,
3631250000, 5.948318e+001,
3632500000, 5.776359e+001,
3633750000, 5.641325e+001,
3635000000, 5.499065e+001,
3636250000, 5.300457e+001,
3637500000, 5.173234e+001,
3638750000, 5.030655e+001,
3640000000, 4.828719e+001,
3641250000, 4.645459e+001,
3642500000, 4.485217e+001,
3643750000, 4.351966e+001,
3645000000, 4.203466e+001,
3646250000, 4.063115e+001,
3647500000, 3.892004e+001,
3648750000, 3.671947e+001,
3650000000, 3.467421e+001,
3651250000, 3.352286e+001,
3652500000, 3.249434e+001,
3653750000, 3.103067e+001,
3655000000, 2.915589e+001,
3656250000, 2.685327e+001,
3657500000, 2.501684e+001,
3658750000, 2.328113e+001,
3660000000, 2.130846e+001,
3661250000, 1.979283e+001,
3662500000, 1.838269e+001,
3663750000, 1.682256e+001,
3665000000, 1.497474e+001,
3666250000, 1.344662e+001,
3667500000, 1.099598e+001,
3668750000, 9.522436e+000,
3670000000, 8.191902e+000,
3671250000, 6.780691e+000,
3672500000, 4.821263e+000,
3673750000, 3.826026e+000,
3675000000, 3.019847e+000,
3676250000, 3.441055e-001,
3677500000, -2.697487e+000,
3678750000, -4.126699e+000,
3680000000, -4.659674e+000,
3681250000, -5.531999e+000,
3682500000, -7.314105e+000,
3683750000, -9.770983e+000,
3685000000, -1.213279e+001,
3686250000, -1.415812e+001,
3687500000, -1.579143e+001,
3688750000, -1.683204e+001,
3690000000, -1.774177e+001,
3691250000, -1.872394e+001,
3692500000, -2.164804e+001,
3693750000, -2.355696e+001,
3695000000, -2.600287e+001,
3696250000, -2.704434e+001,
3697500000, -2.763130e+001,
3698750000, -2.894380e+001,
3700000000, -3.058630e+001,
3701250000, -3.198041e+001,
3702500000, -3.297241e+001,
3703750000, -3.437156e+001,
3705000000, -3.732664e+001,
3706250000, -3.923717e+001,
3707500000, -4.017450e+001,
3708750000, -3.992534e+001,
3710000000, -4.071332e+001,
3711250000, -4.284097e+001,
3712500000, -4.529160e+001,
3713750000, -4.761099e+001,
3715000000, -4.986567e+001,
3716250000, -5.139089e+001,
3717500000, -5.059972e+001,
3718750000, -5.147643e+001,
3720000000, -5.335194e+001,
3721250000, -5.683833e+001,
3722500000, -5.833852e+001,
3723750000, -6.005216e+001,
3725000000, -6.004091e+001,
3726250000, -6.108068e+001,
3727500000, -6.253068e+001,
3728750000, -6.441713e+001,
3730000000, -6.537352e+001,
3731250000, -6.660774e+001,
3732500000, -6.908393e+001,
3733750000, -7.115341e+001,
3735000000, -7.343531e+001,
3736250000, -7.498580e+001,
3737500000, -7.571341e+001,
3738750000, -7.669225e+001,
3740000000, -7.822126e+001,
3741250000, -7.999938e+001,
3742500000, -8.241937e+001,
3743750000, -8.594975e+001,
3745000000, -8.814705e+001,
3746250000, -8.724925e+001,
3747500000, -8.740531e+001,
3748750000, -8.936816e+001,
3750000000, -9.255853e+001,
3751250000, -9.503355e+001,
3752500000, -9.612102e+001,
3753750000, -9.839159e+001,
3755000000, -1.002344e+002,
3756250000, -1.018973e+002,
3757500000, -1.013476e+002,
3758750000, -1.012982e+002,
3760000000, -1.039548e+002,
3761250000, -1.070597e+002,
3762500000, -1.095190e+002,
3763750000, -1.123050e+002,
3765000000, -1.140215e+002,
3766250000, -1.148057e+002,
3767500000, -1.157559e+002,
3768750000, -1.163157e+002,
3770000000, -1.180535e+002,
3771250000, -1.206887e+002,
3772500000, -1.234619e+002,
3773750000, -1.261477e+002,
3775000000, -1.289659e+002,
3776250000, -1.307165e+002,
3777500000, -1.303142e+002,
3778750000, -1.307804e+002,
3780000000, -1.338979e+002,
3781250000, -1.377700e+002,
3782500000, -1.392102e+002,
3783750000, -1.388938e+002,
3785000000, -1.398239e+002,
3786250000, -1.430387e+002,
3787500000, -1.458573e+002,
3788750000, -1.473117e+002,
3790000000, -1.465508e+002,
3791250000, -1.478924e+002,
3792500000, -1.507845e+002,
3793750000, -1.537086e+002,
3795000000, -1.553584e+002,
3796250000, -1.568122e+002,
3797500000, -1.589384e+002,
3798750000, -1.612867e+002,
3800000000, -1.640492e+002,
3801250000, -1.658820e+002,
3802500000, -1.648867e+002,
3803750000, -1.648826e+002,
3805000000, -1.685078e+002,
3806250000, -1.748550e+002,
3807500000, -1.764398e+002,
3808750000, -1.750756e+002,
3810000000, -1.745593e+002,
3811250000, -1.765091e+002,
3812500000, 1.774897e+002,
3813750000, 1.741911e+002,
3815000000, 1.763696e+002,
3816250000, 1.776703e+002,
3817500000, 1.748069e+002,
3818750000, 1.719183e+002,
3820000000, 1.700473e+002,
3821250000, 1.688019e+002,
3822500000, 1.664503e+002,
3823750000, 1.640081e+002,
3825000000, 1.636512e+002,
3826250000, 1.636151e+002,
3827500000, 1.617020e+002,
3828750000, 1.591299e+002,
3830000000, 1.558667e+002,
3831250000, 1.534502e+002,
3832500000, 1.547768e+002,
3833750000, 1.565840e+002,
3835000000, 1.536898e+002,
3836250000, 1.480638e+002,
3837500000, 1.442241e+002,
3838750000, 1.449252e+002,
3840000000, 1.460956e+002,
3841250000, 1.457316e+002,
3842500000, 1.449605e+002,
3843750000, 1.429473e+002,
3845000000, 1.397772e+002,
3846250000, 1.369007e+002,
3847500000, 1.357089e+002,
3848750000, 1.356338e+002,
3850000000, 1.354453e+002,
3851250000, 1.335223e+002,
3852500000, 1.320021e+002,
3853750000, 1.317212e+002,
3855000000, 1.313830e+002,
3856250000, 1.302622e+002,
3857500000, 1.265745e+002,
3858750000, 1.233329e+002,
3860000000, 1.221611e+002,
3861250000, 1.217918e+002,
3862500000, 1.205260e+002,
3863750000, 1.169848e+002,
3865000000, 1.144386e+002,
3866250000, 1.162938e+002,
3867500000, 1.193637e+002,
3868750000, 1.181836e+002,
3870000000, 1.131000e+002,
3871250000, 1.056338e+002,
3872500000, 1.016473e+002,
3873750000, 1.004949e+002,
3875000000, 1.061429e+002,
3876250000, 1.103102e+002,
3877500000, 1.098622e+002,
3878750000, 1.053188e+002,
3880000000, 1.021090e+002,
3881250000, 9.847099e+001,
3882500000, 9.623506e+001,
3883750000, 9.625480e+001,
3885000000, 9.440460e+001,
3886250000, 9.170786e+001,
3887500000, 9.292446e+001,
3888750000, 9.634310e+001,
3890000000, 9.761937e+001,
3891250000, 9.582655e+001,
3892500000, 9.172295e+001,
3893750000, 8.722688e+001,
3895000000, 8.309299e+001,
3896250000, 8.049311e+001,
3897500000, 7.726497e+001,
3898750000, 7.530243e+001,
3900000000, 7.703580e+001,
3901250000, 8.007753e+001,
3902500000, 8.328412e+001,
3903750000, 8.284110e+001,
3905000000, 7.749654e+001,
