"S12 Phase"
"Frequency (Hz)","Deg",
3500000000, -1.291793e+002,
3501250000, -1.308340e+002,
3502500000, -1.326114e+002,
3503750000, -1.344349e+002,
3505000000, -1.363502e+002,
3506250000, -1.380411e+002,
3507500000, -1.396950e+002,
3508750000, -1.413692e+002,
3510000000, -1.433181e+002,
3511250000, -1.452605e+002,
3512500000, -1.471000e+002,
3513750000, -1.487359e+002,
3515000000, -1.502177e+002,
3516250000, -1.521269e+002,
3517500000, -1.539771e+002,
3518750000, -1.556924e+002,
3520000000, -1.574024e+002,
3521250000, -1.591048e+002,
3522500000, -1.607017e+002,
3523750000, -1.622891e+002,
3525000000, -1.641713e+002,
3526250000, -1.659178e+002,
3527500000, -1.678024e+002,
3528750000, -1.690337e+002,
3530000000, -1.709727e+002,
3531250000, -1.724038e+002,
3532500000, -1.741702e+002,
3533750000, -1.761693e+002,
3535000000, -1.776570e+002,
3536250000, -1.791947e+002,
3537500000, 1.789973e+002,
3538750000, 1.777285e+002,
3540000000, 1.762785e+002,
3541250000, 1.743592e+002,
3542500000, 1.727971e+002,
3543750000, 1.712352e+002,
3545000000, 1.697648e+002,
3546250000, 1.680404e+002,
3547500000, 1.661562e+002,
3548750000, 1.646206e+002,
3550000000, 1.634791e+002,
3551250000, 1.620018e+002,
3552500000, 1.603646e+002,
3553750000, 1.589100e+002,
3555000000, 1.572624e+002,
3556250000, 1.561129e+002,
3557500000, 1.544609e+002,
3558750000, 1.527947e+002,
3560000000, 1.513466e+002,
3561250000, 1.502019e+002,
3562500000, 1.489327e+002,
3563750000, 1.472192e+002,
3565000000, 1.460242e+002,
3566250000, 1.443050e+002,
3567500000, 1.430551e+002,
3568750000, 1.416838e+002,
3570000000, 1.396403e+002,
3571250000, 1.382601e+002,
3572500000, 1.370986e+002,
3573750000, 1.357174e+002,
3575000000, 1.342567e+002,
3576250000, 1.329542e+002,
3577500000, 1.314576e+002,
3578750000, 1.301269e+002,
3580000000, 1.280482e+002,
3581250000, 1.269745e+002,
3582500000, 1.256699e+002,
3583750000, 1.242982e+002,
3585000000, 1.229737e+002,
3586250000, 1.218333e+002,
