"S21 Log Mag"
"Frequency (Hz)","dB",
3500000000, -4.620581e+001,
3501250000, -4.650309e+001,
3502500000, -4.650583e+001,
3503750000, -4.634301e+001,
3505000000, -4.630455e+001,
3506250000, -4.627682e+001,
3507500000, -4.633739e+001,
3508750000, -4.645452e+001,
3510000000, -4.660832e+001,
3511250000, -4.647197e+001,
3512500000, -4.635760e+001,
3513750000, -4.632843e+001,
3515000000, -4.651733e+001,
3516250000, -4.658887e+001,
3517500000, -4.657766e+001,
3518750000, -4.643920e+001,
3520000000, -4.641322e+001,
3521250000, -4.651672e+001,
3522500000, -4.664709e+001,
3523750000, -4.666667e+001,
3525000000, -4.674464e+001,
3526250000, -4.677606e+001,
3527500000, -4.674632e+001,
3528750000, -4.670037e+001,
3530000000, -4.682241e+001,
3531250000, -4.689250e+001,
3532500000, -4.696037e+001,
3533750000, -4.697439e+001,
3535000000, -4.691677e+001,
3536250000, -4.681035e+001,
3537500000, -4.700002e+001,
3538750000, -4.705112e+001,
3540000000, -4.713015e+001,
3541250000, -4.695199e+001,
3542500000, -4.692595e+001,
3543750000, -4.709740e+001,
3545000000, -4.718384e+001,
3546250000, -4.723178e+001,
3547500000, -4.731474e+001,
3548750000, -4.738563e+001,
3550000000, -4.730544e+001,
3551250000, -4.727689e+001,
3552500000, -4.743493e+001,
3553750000, -4.739643e+001,
3555000000, -4.743769e+001,
3556250000, -4.755750e+001,
3557500000, -4.752872e+001,
3558750000, -4.751126e+001,
3560000000, -4.757999e+001,
3561250000, -4.770725e+001,
3562500000, -4.760770e+001,
3563750000, -4.762074e+001,
3565000000, -4.765770e+001,
3566250000, -4.769050e+001,
3567500000, -4.769588e+001,
3568750000, -4.777713e+001,
3570000000, -4.792500e+001,
3571250000, -4.788384e+001,
3572500000, -4.780456e+001,
3573750000, -4.785207e+001,
3575000000, -4.795373e+001,
3576250000, -4.797943e+001,
3577500000, -4.791952e+001,
3578750000, -4.801204e+001,
3580000000, -4.785823e+001,
3581250000, -4.778303e+001,
3582500000, -4.789417e+001,
3583750000, -4.807349e+001,
3585000000, -4.816756e+001,
3586250000, -4.797725e+001,
3587500000, -4.792378e+001,
3588750000, -4.786171e+001,
3590000000, -4.776943e+001,
3591250000, -4.794785e+001,
3592500000, -4.821828e+001,
3593750000, -4.811393e+001,
3595000000, -4.807224e+001,
3596250000, -4.793840e+001,
3597500000, -4.812452e+001,
3598750000, -4.813555e+001,
3600000000, -4.800853e+001,
3601250000, -4.800519e+001,
3602500000, -4.816936e+001,
3603750000, -4.806594e+001,
3605000000, -4.790134e+001,
3606250000, -4.794896e+001,
3607500000, -4.806400e+001,
3608750000, -4.812774e+001,
3610000000, -4.808133e+001,
3611250000, -4.807205e+001,
3612500000, -4.793127e+001,
3613750000, -4.779395e+001,
3615000000, -4.786923e+001,
3616250000, -4.808867e+001,
3617500000, -4.810217e+001,
3618750000, -4.799672e+001,
3620000000, -4.785636e+001,
3621250000, -4.797750e+001,
3622500000, -4.807397e+001,
3623750000, -4.795959e+001,
3625000000, -4.790058e+001,
3626250000, -4.789986e+001,
3627500000, -4.790615e+001,
3628750000, -4.782001e+001,
3630000000, -4.780026e+001,
3631250000, -4.778999e+001,
3632500000, -4.794527e+001,
3633750000, -4.804541e+001,
3635000000, -4.789074e+001,
3636250000, -4.787995e+001,
3637500000, -4.778057e+001,
3638750000, -4.776812e+001,
3640000000, -4.792218e+001,
3641250000, -4.805971e+001,
3642500000, -4.792021e+001,
3643750000, -4.782591e+001,
3645000000, -4.771714e+001,
3646250000, -4.787603e+001,
3647500000, -4.812772e+001,
3648750000, -4.821498e+001,
3650000000, -4.807439e+001,
3651250000, -4.782144e+001,
3652500000, -4.776467e+001,
3653750000, -4.804967e+001,
3655000000, -4.816456e+001,
3656250000, -4.797138e+001,
3657500000, -4.792070e+001,
3658750000, -4.795429e+001,
3660000000, -4.807927e+001,
3661250000, -4.810775e+001,
3662500000, -4.814450e+001,
3663750000, -4.803677e+001,
3665000000, -4.805048e+001,
3666250000, -4.820947e+001,
3667500000, -4.842879e+001,
3668750000, -4.835226e+001,
3670000000, -4.816453e+001,
3671250000, -4.799362e+001,
3672500000, -4.808003e+001,
3673750000, -4.841603e+001,
3675000000, -4.877461e+001,
3676250000, -4.870725e+001,
3677500000, -4.822579e+001,
3678750000, -4.796264e+001,
3680000000, -4.801585e+001,
3681250000, -4.853962e+001,
3682500000, -4.859365e+001,
3683750000, -4.828809e+001,
3685000000, -4.823925e+001,
3686250000, -4.822956e+001,
3687500000, -4.832544e+001,
3688750000, -4.833745e+001,
3690000000, -4.841697e+001,
3691250000, -4.860113e+001,
3692500000, -4.853403e+001,
3693750000, -4.861350e+001,
3695000000, -4.871763e+001,
3696250000, -4.874356e+001,
3697500000, -4.851525e+001,
3698750000, -4.832262e+001,
3700000000, -4.851277e+001,
3701250000, -4.878875e+001,
3702500000, -4.916450e+001,
3703750000, -4.902044e+001,
3705000000, -4.861678e+001,
3706250000, -4.841425e+001,
3707500000, -4.848343e+001,
3708750000, -4.896828e+001,
3710000000, -4.896825e+001,
3711250000, -4.867845e+001,
3712500000, -4.863514e+001,
3713750000, -4.862952e+001,
3715000000, -4.843206e+001,
3716250000, -4.837635e+001,
3717500000, -4.881394e+001,
3718750000, -4.931437e+001,
3720000000, -4.913432e+001,
3721250000, -4.881058e+001,
3722500000, -4.869010e+001,
3723750000, -4.886803e+001,
3725000000, -4.882743e+001,
3726250000, -4.864722e+001,
3727500000, -4.876525e+001,
3728750000, -4.915901e+001,
3730000000, -4.927919e+001,
3731250000, -4.907262e+001,
3732500000, -4.870950e+001,
3733750000, -4.843360e+001,
3735000000, -4.870277e+001,
3736250000, -4.920178e+001,
3737500000, -4.922871e+001,
3738750000, -4.889231e+001,
3740000000, -4.902264e+001,
3741250000, -4.909990e+001,
3742500000, -4.852724e+001,
3743750000, -4.780999e+001,
3745000000, -4.781007e+001,
3746250000, -4.881213e+001,
3747500000, -4.991332e+001,
3748750000, -4.961570e+001,
3750000000, -4.919355e+001,
3751250000, -4.862504e+001,
3752500000, -4.824184e+001,
3753750000, -4.806445e+001,
3755000000, -4.815353e+001,
3756250000, -4.881089e+001,
3757500000, -4.991100e+001,
3758750000, -5.002181e+001,
3760000000, -4.906533e+001,
3761250000, -4.821084e+001,
3762500000, -4.773631e+001,
3763750000, -4.796129e+001,
3765000000, -4.879672e+001,
3766250000, -4.948662e+001,
3767500000, -4.930567e+001,
3768750000, -4.893776e+001,
3770000000, -4.878557e+001,
3771250000, -4.900922e+001,
3772500000, -4.818862e+001,
3773750000, -4.699754e+001,
3775000000, -4.724279e+001,
3776250000, -4.872364e+001,
3777500000, -4.991398e+001,
3778750000, -4.986509e+001,
3780000000, -4.947496e+001,
3781250000, -4.927795e+001,
3782500000, -4.846909e+001,
