"S21 Phase"
"Frequency (Hz)","Deg",
4000000000, -1.052626e+002,
4000825000, -1.085113e+002,
4001650000, -2.107573e+001,
4002475000, -1.752536e+001,
4003300000, -2.689753e+001,
4004125000, -3.451191e+001,
4004950000, -4.014387e+001,
4005775000, -4.585163e+001,
4006600000, -5.255612e+001,
4007425000, -6.039966e+001,
4008250000, -6.723612e+001,
4009075000, -7.489552e+001,
4009900000, -8.138805e+001,
4010725000, -8.485128e+001,
4011550000, -8.001043e+001,
4012375000, -7.420144e+001,
4013200000, -7.932788e+001,
4014025000, -8.300952e+001,
4014850000, -8.284768e+001,
4015675000, -8.082933e+001,
4016500000, -7.052592e+001,
4017325000, -4.669661e+001,
4018150000, -3.486693e+001,
4018975000, -5.021002e+001,
4019800000, -6.866343e+001,
4020625000, -7.771671e+001,
4021450000, -7.947163e+001,
4022275000, -8.084708e+001,
4023100000, -8.741470e+001,
4023925000, -1.010951e+002,
4024750000, -1.082863e+002,
4025575000, -1.039992e+002,
4026400000, -9.385423e+001,
4027225000, -8.807927e+001,
4028050000, -8.586753e+001,
4028875000, -7.947808e+001,
4029700000, -7.843724e+001,
4030525000, -8.276724e+001,
4031350000, -8.628074e+001,
4032175000, -8.954549e+001,
4033000000, -8.952922e+001,
4033825000, -8.971088e+001,
4034650000, -9.052098e+001,
4035475000, -9.331768e+001,
4036300000, -1.013494e+002,
4037125000, -1.133484e+002,
4037950000, -1.280097e+002,
4038775000, -1.430537e+002,
4039600000, -1.410822e+002,
4040425000, -1.204785e+002,
4041250000, -1.097402e+002,
4042075000, -9.637990e+001,
4042900000, -7.905131e+001,
4043725000, -7.192460e+001,
4044550000, -7.317681e+001,
4045375000, -7.844386e+001,
4046200000, -9.076428e+001,
4047025000, -1.042986e+002,
4047850000, -1.170425e+002,
4048675000, -1.258485e+002,
4049500000, -1.359080e+002,
4050325000, -1.447312e+002,
4051150000, -1.476696e+002,
4051975000, -1.478936e+002,
4052800000, -1.540319e+002,
4053625000, -1.431661e+002,
4054450000, -1.108471e+002,
4055275000, -9.871616e+001,
4056100000, -1.029184e+002,
4056925000, -9.909348e+001,
4057750000, -9.534465e+001,
4058575000, -1.046582e+002,
4059400000, -1.224440e+002,
4060225000, -1.390429e+002,
4061050000, -1.478294e+002,
4061875000, -1.470382e+002,
4062700000, -1.421588e+002,
4063525000, -1.430807e+002,
4064350000, -1.481907e+002,
4065175000, -1.538840e+002,
4066000000, -1.517903e+002,
4066825000, -1.208140e+002,
4067650000, -1.115755e+002,
4068475000, -1.168552e+002,
4069300000, -1.251004e+002,
4070125000, -1.363568e+002,
4070950000, -1.499406e+002,
4071775000, -1.567695e+002,
4072600000, -1.352423e+002,
4073425000, -1.326077e+002,
4074250000, -1.367458e+002,
4075075000, -1.406463e+002,
4075900000, -1.460201e+002,
4076725000, -1.569844e+002,
4077550000, -1.691867e+002,
4078375000, 1.746637e+002,
4079200000, 1.557880e+002,
4080025000, 1.400114e+002,
4080850000, 1.766396e+002,
4081675000, -1.449503e+002,
4082500000, -1.406654e+002,
4083325000, -1.387064e+002,
4084150000, -1.360295e+002,
4084975000, -1.340447e+002,
4085800000, -1.312031e+002,
4086625000, -1.276732e+002,
4087450000, -1.361209e+002,
4088275000, -1.486850e+002,
4089100000, -1.585680e+002,
4089925000, -1.653266e+002,
4090750000, -1.710845e+002,
4091575000, -1.757739e+002,
4092400000, 1.743857e+002,
4093225000, 1.571900e+002,
4094050000, 1.366394e+002,
4094875000, 1.183389e+002,
4095700000, 1.193648e+002,
