"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.773199e+001,
3001562500, -4.775406e+001,
3003125000, -4.766584e+001,
3004687500, -4.769298e+001,
3006250000, -4.762417e+001,
3007812500, -4.763957e+001,
3009375000, -4.753020e+001,
3010937500, -4.753084e+001,
3012500000, -4.747090e+001,
3014062500, -4.747265e+001,
3015625000, -4.737711e+001,
3017187500, -4.742187e+001,
3018750000, -4.738963e+001,
3020312500, -4.730116e+001,
3021875000, -4.728688e+001,
3023437500, -4.724942e+001,
3025000000, -4.719442e+001,
3026562500, -4.715644e+001,
3028125000, -4.718475e+001,
3029687500, -4.705067e+001,
3031250000, -4.708212e+001,
3032812500, -4.700005e+001,
3034375000, -4.706471e+001,
3035937500, -4.690715e+001,
3037500000, -4.687568e+001,
3039062500, -4.686444e+001,
3040625000, -4.682574e+001,
3042187500, -4.681692e+001,
3043750000, -4.678109e+001,
3045312500, -4.677444e+001,
3046875000, -4.673286e+001,
3048437500, -4.668675e+001,
3050000000, -4.664719e+001,
3051562500, -4.667997e+001,
3053125000, -4.660714e+001,
3054687500, -4.658329e+001,
3056250000, -4.654948e+001,
3057812500, -4.646465e+001,
3059375000, -4.649599e+001,
3060937500, -4.646281e+001,
3062500000, -4.642125e+001,
3064062500, -4.647023e+001,
3065625000, -4.636454e+001,
3067187500, -4.638121e+001,
3068750000, -4.638298e+001,
3070312500, -4.628685e+001,
3071875000, -4.633512e+001,
3073437500, -4.631730e+001,
3075000000, -4.632910e+001,
3076562500, -4.625359e+001,
3078125000, -4.626823e+001,
3079687500, -4.626206e+001,
3081250000, -4.624213e+001,
3082812500, -4.623610e+001,
3084375000, -4.627549e+001,
3085937500, -4.620039e+001,
3087500000, -4.625480e+001,
3089062500, -4.620885e+001,
3090625000, -4.620189e+001,
3092187500, -4.613766e+001,
3093750000, -4.613242e+001,
3095312500, -4.617004e+001,
3096875000, -4.614019e+001,
3098437500, -4.610641e+001,
3100000000, -4.615256e+001,
3101562500, -4.613192e+001,
3103125000, -4.612679e+001,
3104687500, -4.607544e+001,
3106250000, -4.604017e+001,
3107812500, -4.606508e+001,
3109375000, -4.611629e+001,
3110937500, -4.600541e+001,
3112500000, -4.610139e+001,
3114062500, -4.608244e+001,
3115625000, -4.601407e+001,
3117187500, -4.609694e+001,
3118750000, -4.595698e+001,
3120312500, -4.600151e+001,
3121875000, -4.605564e+001,
3123437500, -4.593680e+001,
3125000000, -4.600120e+001,
3126562500, -4.601804e+001,
3128125000, -4.596590e+001,
3129687500, -4.596354e+001,
3131250000, -4.598415e+001,
3132812500, -4.600577e+001,
3134375000, -4.592674e+001,
3135937500, -4.598416e+001,
3137500000, -4.589756e+001,
3139062500, -4.598267e+001,
3140625000, -4.599233e+001,
3142187500, -4.596031e+001,
3143750000, -4.590269e+001,
3145312500, -4.597380e+001,
3146875000, -4.590441e+001,
3148437500, -4.585003e+001,
3150000000, -4.583159e+001,
3151562500, -4.588348e+001,
3153125000, -4.585548e+001,
3154687500, -4.591250e+001,
3156250000, -4.594305e+001,
3157812500, -4.586730e+001,
3159375000, -4.588195e+001,
3160937500, -4.590402e+001,
3162500000, -4.595354e+001,
3164062500, -4.584817e+001,
3165625000, -4.593736e+001,
3167187500, -4.594881e+001,
3168750000, -4.594601e+001,
3170312500, -4.597403e+001,
3171875000, -4.597165e+001,
3173437500, -4.598639e+001,
3175000000, -4.603019e+001,
3176562500, -4.608002e+001,
3178125000, -4.604381e+001,
3179687500, -4.607173e+001,
3181250000, -4.614336e+001,
3182812500, -4.616451e+001,
3184375000, -4.620144e+001,
3185937500, -4.621012e+001,
3187500000, -4.629081e+001,
3189062500, -4.625758e+001,
3190625000, -4.631907e+001,
3192187500, -4.635835e+001,
3193750000, -4.636931e+001,
3195312500, -4.639556e+001,
3196875000, -4.646184e+001,
3198437500, -4.645981e+001,
3200000000, -4.648412e+001,
3201562500, -4.651371e+001,
3203125000, -4.656383e+001,
3204687500, -4.656773e+001,
3206250000, -4.665545e+001,
3207812500, -4.666327e+001,
3209375000, -4.664666e+001,
3210937500, -4.670831e+001,
3212500000, -4.674296e+001,
3214062500, -4.677343e+001,
3215625000, -4.685477e+001,
3217187500, -4.696791e+001,
3218750000, -4.696383e+001,
3220312500, -4.701082e+001,
3221875000, -4.702112e+001,
3223437500, -4.707686e+001,
3225000000, -4.707472e+001,
3226562500, -4.717997e+001,
3228125000, -4.720029e+001,
3229687500, -4.724792e+001,
3231250000, -4.727977e+001,
3232812500, -4.729883e+001,
3234375000, -4.732714e+001,
3235937500, -4.735714e+001,
3237500000, -4.735466e+001,
3239062500, -4.751311e+001,
3240625000, -4.746024e+001,
3242187500, -4.759674e+001,
3243750000, -4.753702e+001,
3245312500, -4.758543e+001,
3246875000, -4.759651e+001,
3248437500, -4.767553e+001,
3250000000, -4.760462e+001,
3251562500, -4.770013e+001,
3253125000, -4.773491e+001,
3254687500, -4.769999e+001,
3256250000, -4.771809e+001,
3257812500, -4.772681e+001,
3259375000, -4.775005e+001,
3260937500, -4.779458e+001,
3262500000, -4.776140e+001,
3264062500, -4.770919e+001,
3265625000, -4.787486e+001,
3267187500, -4.777437e+001,
3268750000, -4.785614e+001,
3270312500, -4.781936e+001,
3271875000, -4.787497e+001,
3273437500, -4.773668e+001,
3275000000, -4.774727e+001,
3276562500, -4.768126e+001,
3278125000, -4.782317e+001,
3279687500, -4.782543e+001,
3281250000, -4.773149e+001,
3282812500, -4.770559e+001,
3284375000, -4.771358e+001,
3285937500, -4.759503e+001,
3287500000, -4.759809e+001,
3289062500, -4.760421e+001,
3290625000, -4.747242e+001,
3292187500, -4.758581e+001,
3293750000, -4.751233e+001,
3295312500, -4.739960e+001,
3296875000, -4.744812e+001,
3298437500, -4.740037e+001,
3300000000, -4.730626e+001,
3301562500, -4.726323e+001,
3303125000, -4.728426e+001,
3304687500, -4.721103e+001,
3306250000, -4.720199e+001,
3307812500, -4.715946e+001,
3309375000, -4.711348e+001,
3310937500, -4.708764e+001,
3312500000, -4.699234e+001,
3314062500, -4.699095e+001,
3315625000, -4.691641e+001,
3317187500, -4.685728e+001,
3318750000, -4.678912e+001,
3320312500, -4.679096e+001,
3321875000, -4.683113e+001,
3323437500, -4.674982e+001,
3325000000, -4.673246e+001,
3326562500, -4.662946e+001,
3328125000, -4.669885e+001,
3329687500, -4.662622e+001,
3331250000, -4.654529e+001,
3332812500, -4.651675e+001,
3334375000, -4.656306e+001,
3335937500, -4.649947e+001,
3337500000, -4.647053e+001,
3339062500, -4.653806e+001,
3340625000, -4.641076e+001,
3342187500, -4.630833e+001,
3343750000, -4.650471e+001,
3345312500, -4.635938e+001,
3346875000, -4.629567e+001,
3348437500, -4.637700e+001,
3350000000, -4.635335e+001,
3351562500, -4.638117e+001,
3353125000, -4.625395e+001,
3354687500, -4.637534e+001,
3356250000, -4.636428e+001,
3357812500, -4.624713e+001,
3359375000, -4.637000e+001,
3360937500, -4.631768e+001,
3362500000, -4.627562e+001,
3364062500, -4.632395e+001,
3365625000, -4.631607e+001,
3367187500, -4.639062e+001,
3368750000, -4.633107e+001,
3370312500, -4.640658e+001,
3371875000, -4.651817e+001,
3373437500, -4.634101e+001,
3375000000, -4.638430e+001,
3376562500, -4.663886e+001,
3378125000, -4.645016e+001,
3379687500, -4.640711e+001,
3381250000, -4.657792e+001,
3382812500, -4.656153e+001,
3384375000, -4.664954e+001,
3385937500, -4.661037e+001,
3387500000, -4.665985e+001,
3389062500, -4.679416e+001,
3390625000, -4.671469e+001,
3392187500, -4.672842e+001,
3393750000, -4.691876e+001,
3395312500, -4.679047e+001,
3396875000, -4.687599e+001,
3398437500, -4.699344e+001,
3400000000, -4.694143e+001,
3401562500, -4.707059e+001,
3403125000, -4.711735e+001,
3404687500, -4.713383e+001,
3406250000, -4.725388e+001,
3407812500, -4.720239e+001,
3409375000, -4.723308e+001,
3410937500, -4.736362e+001,
3412500000, -4.733651e+001,
3414062500, -4.726997e+001,
3415625000, -4.752430e+001,
3417187500, -4.734541e+001,
3418750000, -4.747617e+001,
3420312500, -4.759689e+001,
3421875000, -4.748384e+001,
3423437500, -4.752279e+001,
3425000000, -4.762349e+001,
3426562500, -4.765432e+001,
3428125000, -4.751039e+001,
3429687500, -4.767033e+001,
3431250000, -4.747636e+001,
3432812500, -4.771259e+001,
3434375000, -4.767877e+001,
3435937500, -4.750534e+001,
3437500000, -4.764124e+001,
3439062500, -4.771047e+001,
3440625000, -4.756356e+001,
3442187500, -4.760257e+001,
3443750000, -4.750797e+001,
3445312500, -4.781367e+001,
3446875000, -4.753140e+001,
3448437500, -4.758163e+001,
3450000000, -4.749093e+001,
3451562500, -4.766722e+001,
3453125000, -4.766550e+001,
3454687500, -4.739891e+001,
3456250000, -4.744011e+001,
3457812500, -4.765461e+001,
3459375000, -4.760433e+001,
3460937500, -4.744499e+001,
3462500000, -4.732416e+001,
3464062500, -4.766596e+001,
3465625000, -4.758533e+001,
3467187500, -4.732220e+001,
3468750000, -4.731323e+001,
3470312500, -4.741886e+001,
3471875000, -4.763850e+001,
3473437500, -4.733858e+001,
3475000000, -4.710604e+001,
3476562500, -4.736573e+001,
3478125000, -4.759289e+001,
3479687500, -4.729306e+001,
3481250000, -4.716791e+001,
3482812500, -4.712740e+001,
3484375000, -4.750247e+001,
3485937500, -4.745345e+001,
3487500000, -4.712876e+001,
3489062500, -4.697080e+001,
3490625000, -4.738979e+001,
3492187500, -4.750879e+001,
3493750000, -4.729700e+001,
3495312500, -4.688165e+001,
3496875000, -4.727968e+001,
3498437500, -4.751613e+001,
3500000000, -4.736515e+001,
3501562500, -4.715045e+001,
3503125000, -4.683111e+001,
3504687500, -4.738376e+001,
3506250000, -4.776427e+001,
3507812500, -4.721003e+001,
3509375000, -4.686676e+001,
3510937500, -4.719740e+001,
3512500000, -4.763853e+001,
3514062500, -4.769640e+001,
3515625000, -4.714541e+001,
3517187500, -4.691319e+001,
3518750000, -4.751268e+001,
3520312500, -4.774707e+001,
3521875000, -4.778196e+001,
3523437500, -4.712795e+001,
3525000000, -4.687403e+001,
3526562500, -4.779363e+001,
3528125000, -4.808213e+001,
3529687500, -4.747212e+001,
3531250000, -4.710587e+001,
3532812500, -4.722546e+001,
3534375000, -4.807413e+001,
3535937500, -4.832364e+001,
3537500000, -4.742515e+001,
3539062500, -4.711795e+001,
3540625000, -4.770208e+001,
3542187500, -4.813754e+001,
3543750000, -4.850827e+001,
3545312500, -4.758960e+001,
3546875000, -4.704874e+001,
3548437500, -4.774723e+001,
3550000000, -4.847897e+001,
