"S12 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.816237e+001,
3001562500, -4.814684e+001,
3003125000, -4.809070e+001,
3004687500, -4.805476e+001,
3006250000, -4.798423e+001,
3007812500, -4.799861e+001,
3009375000, -4.792965e+001,
3010937500, -4.783672e+001,
3012500000, -4.784200e+001,
3014062500, -4.777538e+001,
3015625000, -4.774220e+001,
3017187500, -4.767962e+001,
3018750000, -4.764803e+001,
3020312500, -4.756235e+001,
3021875000, -4.751154e+001,
3023437500, -4.754929e+001,
3025000000, -4.744463e+001,
3026562500, -4.739896e+001,
3028125000, -4.735439e+001,
3029687500, -4.732584e+001,
3031250000, -4.729601e+001,
3032812500, -4.722386e+001,
3034375000, -4.719287e+001,
3035937500, -4.718508e+001,
3037500000, -4.714457e+001,
3039062500, -4.705860e+001,
3040625000, -4.703769e+001,
3042187500, -4.703815e+001,
3043750000, -4.698188e+001,
3045312500, -4.693766e+001,
3046875000, -4.685823e+001,
3048437500, -4.687171e+001,
3050000000, -4.680893e+001,
3051562500, -4.682882e+001,
3053125000, -4.675061e+001,
3054687500, -4.676626e+001,
3056250000, -4.670918e+001,
3057812500, -4.666962e+001,
3059375000, -4.671015e+001,
3060937500, -4.665207e+001,
3062500000, -4.664897e+001,
3064062500, -4.664315e+001,
3065625000, -4.662133e+001,
3067187500, -4.659769e+001,
3068750000, -4.662931e+001,
3070312500, -4.665577e+001,
3071875000, -4.660612e+001,
3073437500, -4.662796e+001,
3075000000, -4.656229e+001,
3076562500, -4.657385e+001,
3078125000, -4.659059e+001,
3079687500, -4.657541e+001,
3081250000, -4.661354e+001,
3082812500, -4.659540e+001,
3084375000, -4.659774e+001,
3085937500, -4.657900e+001,
3087500000, -4.656951e+001,
3089062500, -4.659714e+001,
3090625000, -4.658232e+001,
3092187500, -4.655679e+001,
3093750000, -4.655450e+001,
3095312500, -4.649178e+001,
3096875000, -4.647805e+001,
3098437500, -4.651123e+001,
3100000000, -4.647969e+001,
3101562500, -4.645875e+001,
3103125000, -4.638755e+001,
3104687500, -4.643345e+001,
3106250000, -4.643380e+001,
3107812500, -4.639069e+001,
3109375000, -4.641184e+001,
3110937500, -4.637800e+001,
3112500000, -4.638447e+001,
3114062500, -4.638032e+001,
3115625000, -4.636908e+001,
3117187500, -4.636713e+001,
3118750000, -4.628435e+001,
3120312500, -4.632192e+001,
3121875000, -4.626863e+001,
3123437500, -4.625863e+001,
3125000000, -4.621646e+001,
3126562500, -4.621350e+001,
3128125000, -4.616944e+001,
3129687500, -4.613452e+001,
3131250000, -4.608839e+001,
3132812500, -4.612461e+001,
3134375000, -4.603960e+001,
3135937500, -4.605573e+001,
3137500000, -4.603878e+001,
3139062500, -4.601622e+001,
3140625000, -4.598124e+001,
3142187500, -4.598175e+001,
3143750000, -4.594742e+001,
3145312500, -4.589906e+001,
3146875000, -4.592023e+001,
3148437500, -4.587967e+001,
3150000000, -4.583984e+001,
3151562500, -4.585755e+001,
3153125000, -4.583374e+001,
3154687500, -4.582490e+001,
3156250000, -4.582573e+001,
3157812500, -4.582651e+001,
3159375000, -4.579956e+001,
3160937500, -4.582767e+001,
3162500000, -4.579319e+001,
3164062500, -4.579759e+001,
3165625000, -4.578494e+001,
3167187500, -4.583392e+001,
3168750000, -4.580651e+001,
3170312500, -4.584360e+001,
3171875000, -4.586441e+001,
3173437500, -4.583571e+001,
3175000000, -4.587406e+001,
3176562500, -4.588467e+001,
3178125000, -4.588927e+001,
3179687500, -4.593908e+001,
3181250000, -4.598272e+001,
3182812500, -4.596409e+001,
3184375000, -4.598401e+001,
3185937500, -4.595640e+001,
3187500000, -4.601625e+001,
3189062500, -4.603545e+001,
3190625000, -4.608090e+001,
3192187500, -4.615361e+001,
3193750000, -4.615590e+001,
3195312500, -4.616717e+001,
3196875000, -4.621243e+001,
3198437500, -4.627687e+001,
3200000000, -4.631636e+001,
3201562500, -4.639183e+001,
3203125000, -4.641381e+001,
3204687500, -4.640518e+001,
3206250000, -4.648405e+001,
3207812500, -4.643512e+001,
3209375000, -4.656030e+001,
3210937500, -4.654876e+001,
3212500000, -4.667661e+001,
3214062500, -4.672309e+001,
3215625000, -4.675105e+001,
3217187500, -4.676526e+001,
3218750000, -4.675552e+001,
3220312500, -4.683221e+001,
3221875000, -4.689310e+001,
3223437500, -4.692559e+001,
3225000000, -4.703659e+001,
3226562500, -4.699578e+001,
3228125000, -4.707066e+001,
3229687500, -4.709489e+001,
3231250000, -4.709777e+001,
3232812500, -4.723340e+001,
3234375000, -4.720101e+001,
3235937500, -4.728526e+001,
3237500000, -4.729905e+001,
3239062500, -4.737791e+001,
3240625000, -4.737049e+001,
3242187500, -4.741160e+001,
3243750000, -4.746338e+001,
3245312500, -4.752707e+001,
3246875000, -4.757841e+001,
3248437500, -4.765960e+001,
3250000000, -4.761865e+001,
3251562500, -4.759980e+001,
