"S12 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.839119e+001,
3001562500, -4.832169e+001,
3003125000, -4.829604e+001,
3004687500, -4.827213e+001,
3006250000, -4.823779e+001,
3007812500, -4.821048e+001,
3009375000, -4.811135e+001,
3010937500, -4.806882e+001,
3012500000, -4.803998e+001,
3014062500, -4.796278e+001,
3015625000, -4.789249e+001,
3017187500, -4.788385e+001,
3018750000, -4.783809e+001,
3020312500, -4.780452e+001,
3021875000, -4.772501e+001,
3023437500, -4.768306e+001,
3025000000, -4.765401e+001,
3026562500, -4.760516e+001,
3028125000, -4.755570e+001,
3029687500, -4.754721e+001,
3031250000, -4.749442e+001,
3032812500, -4.744629e+001,
3034375000, -4.736936e+001,
3035937500, -4.734631e+001,
3037500000, -4.726718e+001,
3039062500, -4.726177e+001,
3040625000, -4.722053e+001,
3042187500, -4.714848e+001,
3043750000, -4.711931e+001,
3045312500, -4.711137e+001,
3046875000, -4.707514e+001,
3048437500, -4.701218e+001,
3050000000, -4.695324e+001,
3051562500, -4.693028e+001,
3053125000, -4.694370e+001,
3054687500, -4.690762e+001,
3056250000, -4.686910e+001,
3057812500, -4.685501e+001,
3059375000, -4.683949e+001,
3060937500, -4.684452e+001,
3062500000, -4.679857e+001,
3064062500, -4.681726e+001,
3065625000, -4.677083e+001,
3067187500, -4.678456e+001,
3068750000, -4.674137e+001,
3070312500, -4.674665e+001,
3071875000, -4.674324e+001,
3073437500, -4.677186e+001,
3075000000, -4.675187e+001,
3076562500, -4.674465e+001,
3078125000, -4.672530e+001,
3079687500, -4.670088e+001,
3081250000, -4.675721e+001,
3082812500, -4.674236e+001,
3084375000, -4.674431e+001,
3085937500, -4.668789e+001,
3087500000, -4.673818e+001,
3089062500, -4.671617e+001,
3090625000, -4.676049e+001,
3092187500, -4.670991e+001,
3093750000, -4.666877e+001,
3095312500, -4.670504e+001,
3096875000, -4.670275e+001,
3098437500, -4.671477e+001,
3100000000, -4.667561e+001,
3101562500, -4.666893e+001,
3103125000, -4.663385e+001,
3104687500, -4.662977e+001,
3106250000, -4.661436e+001,
3107812500, -4.659976e+001,
3109375000, -4.658382e+001,
3110937500, -4.664730e+001,
3112500000, -4.666070e+001,
3114062500, -4.662406e+001,
3115625000, -4.660643e+001,
3117187500, -4.657089e+001,
3118750000, -4.657889e+001,
3120312500, -4.656128e+001,
3121875000, -4.652533e+001,
3123437500, -4.652353e+001,
3125000000, -4.652351e+001,
3126562500, -4.650353e+001,
3128125000, -4.647279e+001,
3129687500, -4.651289e+001,
3131250000, -4.642339e+001,
3132812500, -4.640813e+001,
3134375000, -4.638847e+001,
3135937500, -4.640046e+001,
3137500000, -4.637476e+001,
3139062500, -4.634554e+001,
3140625000, -4.634957e+001,
3142187500, -4.633439e+001,
3143750000, -4.634153e+001,
3145312500, -4.631486e+001,
3146875000, -4.633826e+001,
3148437500, -4.629363e+001,
3150000000, -4.631266e+001,
3151562500, -4.635185e+001,
3153125000, -4.629179e+001,
3154687500, -4.632428e+001,
3156250000, -4.632561e+001,
3157812500, -4.632325e+001,
3159375000, -4.636425e+001,
3160937500, -4.629153e+001,
3162500000, -4.635220e+001,
3164062500, -4.632975e+001,
3165625000, -4.629219e+001,
3167187500, -4.635471e+001,
3168750000, -4.643030e+001,
3170312500, -4.639547e+001,
3171875000, -4.643803e+001,
3173437500, -4.643422e+001,
3175000000, -4.652885e+001,
3176562500, -4.656159e+001,
3178125000, -4.654357e+001,
3179687500, -4.664113e+001,
3181250000, -4.667598e+001,
3182812500, -4.667889e+001,
3184375000, -4.668453e+001,
3185937500, -4.675725e+001,
3187500000, -4.679923e+001,
3189062500, -4.678622e+001,
3190625000, -4.686549e+001,
3192187500, -4.687362e+001,
3193750000, -4.695061e+001,
3195312500, -4.699933e+001,
3196875000, -4.701030e+001,
3198437500, -4.713614e+001,
3200000000, -4.718363e+001,
3201562500, -4.715613e+001,
3203125000, -4.714956e+001,
3204687500, -4.728730e+001,
3206250000, -4.730465e+001,
3207812500, -4.737785e+001,
3209375000, -4.736525e+001,
3210937500, -4.740198e+001,
3212500000, -4.752649e+001,
3214062500, -4.752528e+001,
3215625000, -4.747095e+001,
3217187500, -4.764718e+001,
3218750000, -4.769649e+001,
3220312500, -4.764565e+001,
3221875000, -4.769724e+001,
3223437500, -4.773641e+001,
3225000000, -4.784832e+001,
3226562500, -4.782607e+001,
3228125000, -4.782970e+001,
3229687500, -4.790128e+001,
3231250000, -4.794194e+001,
3232812500, -4.805201e+001,
3234375000, -4.802664e+001,
3235937500, -4.806620e+001,
3237500000, -4.814647e+001,
3239062500, -4.818443e+001,
3240625000, -4.821225e+001,
3242187500, -4.814601e+001,
3243750000, -4.824475e+001,
3245312500, -4.833390e+001,
3246875000, -4.830157e+001,
3248437500, -4.832919e+001,
3250000000, -4.841584e+001,
3251562500, -4.837855e+001,
3253125000, -4.844924e+001,
3254687500, -4.843019e+001,
3256250000, -4.847541e+001,
3257812500, -4.845022e+001,
3259375000, -4.850338e+001,
3260937500, -4.848839e+001,
3262500000, -4.843087e+001,
3264062500, -4.845514e+001,
3265625000, -4.854429e+001,
3267187500, -4.846905e+001,
3268750000, -4.835769e+001,
3270312500, -4.852684e+001,
3271875000, -4.840741e+001,
3273437500, -4.845401e+001,
3275000000, -4.842495e+001,
3276562500, -4.840359e+001,
3278125000, -4.835106e+001,
3279687500, -4.843430e+001,
3281250000, -4.837825e+001,
3282812500, -4.820884e+001,
3284375000, -4.822853e+001,
3285937500, -4.825583e+001,
3287500000, -4.828517e+001,
3289062500, -4.803550e+001,
3290625000, -4.805806e+001,
3292187500, -4.807584e+001,
3293750000, -4.799233e+001,
3295312500, -4.794780e+001,
3296875000, -4.790241e+001,
3298437500, -4.780846e+001,
3300000000, -4.775862e+001,
3301562500, -4.775749e+001,
3303125000, -4.764711e+001,
3304687500, -4.754798e+001,
3306250000, -4.749725e+001,
3307812500, -4.745382e+001,
3309375000, -4.757698e+001,
3310937500, -4.742639e+001,
3312500000, -4.729762e+001,
3314062500, -4.725075e+001,
3315625000, -4.725130e+001,
3317187500, -4.723298e+001,
3318750000, -4.714624e+001,
3320312500, -4.711501e+001,
3321875000, -4.702595e+001,
3323437500, -4.705094e+001,
3325000000, -4.695214e+001,
3326562500, -4.693289e+001,
3328125000, -4.691448e+001,
3329687500, -4.679557e+001,
3331250000, -4.676044e+001,
3332812500, -4.688648e+001,
3334375000, -4.673707e+001,
3335937500, -4.657515e+001,
3337500000, -4.655890e+001,
3339062500, -4.660695e+001,
3340625000, -4.660056e+001,
3342187500, -4.655525e+001,
3343750000, -4.644221e+001,
3345312500, -4.643484e+001,
3346875000, -4.647974e+001,
3348437500, -4.649695e+001,
3350000000, -4.644436e+001,
3351562500, -4.656511e+001,
3353125000, -4.640627e+001,
3354687500, -4.650291e+001,
3356250000, -4.664351e+001,
3357812500, -4.658125e+001,
3359375000, -4.654090e+001,
3360937500, -4.644448e+001,
3362500000, -4.651123e+001,
3364062500, -4.665855e+001,
3365625000, -4.667139e+001,
3367187500, -4.656743e+001,
3368750000, -4.660868e+001,
3370312500, -4.670090e+001,
3371875000, -4.676274e+001,
3373437500, -4.672149e+001,
3375000000, -4.678469e+001,
3376562500, -4.678169e+001,
3378125000, -4.671955e+001,
3379687500, -4.687359e+001,
3381250000, -4.692869e+001,
3382812500, -4.692386e+001,
3384375000, -4.691504e+001,
3385937500, -4.681477e+001,
3387500000, -4.692815e+001,
3389062500, -4.711887e+001,
3390625000, -4.709061e+001,
3392187500, -4.713219e+001,
3393750000, -4.727310e+001,
3395312500, -4.719158e+001,
3396875000, -4.732341e+001,
3398437500, -4.738722e+001,
3400000000, -4.738236e+001,
3401562500, -4.742198e+001,
3403125000, -4.732142e+001,
3404687500, -4.756369e+001,
3406250000, -4.766459e+001,
3407812500, -4.750732e+001,
3409375000, -4.748316e+001,
3410937500, -4.749073e+001,
3412500000, -4.750599e+001,
3414062500, -4.766475e+001,
3415625000, -4.774777e+001,
3417187500, -4.774367e+001,
3418750000, -4.772819e+001,
3420312500, -4.776662e+001,
3421875000, -4.788824e+001,
3423437500, -4.779894e+001,
3425000000, -4.784285e+001,
3426562500, -4.782903e+001,
