"S12 Phase"
"Frequency (Hz)","Deg",
3860542000, 1.164995e+002,
3861454161.25, 1.137948e+002,
3862366322.5, 1.133919e+002,
3863278483.75, 1.104640e+002,
3864190645, 1.072955e+002,
3865102806.25, 1.084236e+002,
3866014967.5, 1.129044e+002,
3866927128.75, 1.123725e+002,
3867839290, 1.107254e+002,
3868751451.25, 1.101952e+002,
3869663612.5, 1.078379e+002,
3870575773.75, 1.040348e+002,
3871487935, 1.012786e+002,
3872400096.25, 9.936453e+001,
3873312257.5, 9.840609e+001,
3874224418.75, 9.903405e+001,
3875136580, 1.012490e+002,
3876048741.25, 1.028275e+002,
3876960902.5, 1.014482e+002,
3877873063.75, 9.794798e+001,
3878785225, 9.438831e+001,
3879697386.25, 9.306263e+001,
3880609547.5, 9.283049e+001,
3881521708.75, 9.234466e+001,
3882433870, 9.070993e+001,
3883346031.25, 8.892382e+001,
3884258192.5, 8.627203e+001,
3885170353.75, 8.402786e+001,
3886082515, 8.152276e+001,
3886994676.25, 8.117635e+001,
3887906837.5, 8.330478e+001,
3888818998.75, 8.480282e+001,
3889731160, 8.722566e+001,
3890643321.25, 8.271477e+001,
3891555482.5, 7.893878e+001,
3892467643.75, 8.018239e+001,
3893379805, 7.864699e+001,
3894291966.25, 7.488862e+001,
3895204127.5, 7.108448e+001,
3896116288.75, 7.033485e+001,
3897028450, 7.270049e+001,
3897940611.25, 7.289916e+001,
3898852772.5, 7.499618e+001,
3899764933.75, 7.692768e+001,
3900677095, 7.586106e+001,
3901589256.25, 7.062358e+001,
3902501417.5, 6.655755e+001,
3903413578.75, 6.233403e+001,
3904325740, 5.882638e+001,
3905237901.25, 5.807792e+001,
3906150062.5, 6.126298e+001,
3907062223.75, 6.451696e+001,
3907974385, 6.684383e+001,
3908886546.25, 6.305219e+001,
3909798707.5, 5.805408e+001,
3910710868.75, 5.658371e+001,
3911623030, 5.488898e+001,
3912535191.25, 5.373636e+001,
3913447352.5, 5.423592e+001,
3914359513.75, 5.347851e+001,
3915271675, 5.144833e+001,
3916183836.25, 4.923054e+001,
3917095997.5, 4.447835e+001,
3918008158.75, 3.982014e+001,
3918920320, 3.845602e+001,
3919832481.25, 3.870983e+001,
3920744642.5, 4.202041e+001,
3921656803.75, 4.600238e+001,
3922568965, 4.505834e+001,
3923481126.25, 4.881480e+001,
3924393287.5, 4.557199e+001,
3925305448.75, 3.944119e+001,
3926217610, 3.364698e+001,
3927129771.25, 3.247405e+001,
3928041932.5, 3.105937e+001,
3928954093.75, 3.211705e+001,
3929866255, 3.160914e+001,
3930778416.25, 2.962271e+001,
3931690577.5, 3.232124e+001,
3932602738.75, 3.521917e+001,
3933514900, 3.719458e+001,
3934427061.25, 3.264129e+001,
3935339222.5, 2.726565e+001,
3936251383.75, 2.212159e+001,
3937163545, 1.871413e+001,
3938075706.25, 1.826841e+001,
3938987867.5, 1.816599e+001,
3939900028.75, 1.862744e+001,
3940812190, 2.051880e+001,
3941724351.25, 2.080459e+001,
3942636512.5, 1.905161e+001,
3943548673.75, 1.881669e+001,
3944460835, 1.825107e+001,
3945372996.25, 1.488600e+001,
3946285157.5, 1.249109e+001,
3947197318.75, 1.065824e+001,
3948109480, 8.156223e+000,
3949021641.25, 7.692884e+000,
3949933802.5, 4.378474e+000,
3950845963.75, -7.764815e-001,
3951758125, -6.689568e+000,
3952670286.25, -8.043383e+000,
3953582447.5, -8.115513e+000,
3954494608.75, -1.207152e+001,
3955406770, -9.107349e+000,
3956318931.25, 1.148013e+001,
3957231092.5, 1.352788e+001,
3958143253.75, 7.087987e+000,
3959055415, -1.748032e+000,
3959967576.25, -1.042834e+001,
3960879737.5, -1.671773e+001,
3961791898.75, -1.962527e+001,
3962704060, -1.717248e+001,
3963616221.25, -1.062558e+001,
3964528382.5, -5.997590e+000,
3965440543.75, -8.289916e+000,
3966352705, -1.047373e+001,
3967264866.25, -1.110466e+001,
3968177027.5, -1.432398e+001,
3969089188.75, -1.693427e+001,
3970001350, -1.854108e+001,
