"S21 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.555056e+002,
3001562500, 1.535710e+002,
3003125000, 1.512825e+002,
3004687500, 1.504757e+002,
3006250000, 1.474112e+002,
3007812500, 1.470840e+002,
3009375000, 1.441797e+002,
3010937500, 1.429360e+002,
3012500000, 1.404816e+002,
3014062500, 1.394095e+002,
3015625000, 1.371077e+002,
3017187500, 1.356612e+002,
3018750000, 1.333043e+002,
3020312500, 1.319252e+002,
3021875000, 1.298995e+002,
3023437500, 1.280873e+002,
3025000000, 1.259236e+002,
3026562500, 1.241793e+002,
3028125000, 1.221047e+002,
3029687500, 1.200477e+002,
3031250000, 1.181096e+002,
3032812500, 1.164122e+002,
3034375000, 1.140667e+002,
3035937500, 1.121218e+002,
3037500000, 1.101596e+002,
3039062500, 1.084149e+002,
3040625000, 1.055760e+002,
3042187500, 1.038057e+002,
3043750000, 1.014725e+002,
3045312500, 1.000442e+002,
3046875000, 9.709912e+001,
3048437500, 9.566558e+001,
3050000000, 9.277971e+001,
3051562500, 9.143681e+001,
3053125000, 8.871695e+001,
3054687500, 8.680982e+001,
3056250000, 8.454030e+001,
3057812500, 8.220872e+001,
3059375000, 8.001262e+001,
3060937500, 7.766667e+001,
3062500000, 7.656802e+001,
3064062500, 7.331590e+001,
3065625000, 7.144325e+001,
3067187500, 6.922602e+001,
3068750000, 6.708257e+001,
3070312500, 6.514049e+001,
3071875000, 6.214448e+001,
3073437500, 6.090922e+001,
3075000000, 5.818676e+001,
3076562500, 5.649578e+001,
3078125000, 5.442445e+001,
3079687500, 5.162088e+001,
3081250000, 5.012206e+001,
3082812500, 4.720879e+001,
3084375000, 4.502475e+001,
3085937500, 4.376975e+001,
3087500000, 4.111795e+001,
3089062500, 3.922369e+001,
3090625000, 3.684596e+001,
3092187500, 3.481163e+001,
3093750000, 3.288966e+001,
3095312500, 3.051465e+001,
3096875000, 2.881832e+001,
3098437500, 2.645640e+001,
3100000000, 2.426609e+001,
3101562500, 2.259444e+001,
3103125000, 2.029005e+001,
3104687500, 1.864945e+001,
3106250000, 1.611808e+001,
3107812500, 1.372724e+001,
3109375000, 1.272569e+001,
3110937500, 9.790105e+000,
3112500000, 7.852982e+000,
3114062500, 5.449843e+000,
3115625000, 3.438936e+000,
3117187500, 1.424597e+000,
3118750000, -1.044750e+000,
3120312500, -2.935296e+000,
3121875000, -5.155659e+000,
3123437500, -7.120298e+000,
3125000000, -9.130394e+000,
3126562500, -1.074041e+001,
3128125000, -1.385307e+001,
3129687500, -1.585668e+001,
3131250000, -1.760607e+001,
3132812500, -1.958589e+001,
3134375000, -2.186927e+001,
3135937500, -2.401746e+001,
3137500000, -2.657437e+001,
3139062500, -2.847946e+001,
3140625000, -3.076417e+001,
3142187500, -3.300223e+001,
3143750000, -3.507313e+001,
3145312500, -3.729430e+001,
3146875000, -4.008319e+001,
3148437500, -4.172239e+001,
3150000000, -4.465482e+001,
3151562500, -4.670313e+001,
3153125000, -4.889699e+001,
3154687500, -5.102587e+001,
3156250000, -5.408046e+001,
3157812500, -5.575336e+001,
3159375000, -5.842533e+001,
3160937500, -6.077660e+001,
3162500000, -6.280741e+001,
3164062500, -6.502078e+001,
3165625000, -6.781916e+001,
3167187500, -7.008292e+001,
3168750000, -7.215989e+001,
3170312500, -7.481856e+001,
3171875000, -7.697722e+001,
3173437500, -7.941214e+001,
3175000000, -8.116215e+001,
3176562500, -8.407253e+001,
3178125000, -8.574547e+001,
3179687500, -8.788312e+001,
3181250000, -9.078854e+001,
3182812500, -9.299339e+001,
3184375000, -9.510024e+001,
3185937500, -9.698921e+001,
3187500000, -1.001514e+002,
3189062500, -1.012416e+002,
3190625000, -1.039743e+002,
3192187500, -1.066244e+002,
3193750000, -1.087282e+002,
3195312500, -1.109498e+002,
3196875000, -1.123529e+002,
3198437500, -1.156091e+002,
3200000000, -1.170058e+002,
3201562500, -1.189427e+002,
3203125000, -1.217202e+002,
3204687500, -1.239743e+002,
3206250000, -1.258983e+002,
3207812500, -1.273573e+002,
3209375000, -1.301893e+002,
3210937500, -1.321991e+002,
3212500000, -1.338934e+002,
3214062500, -1.360289e+002,
3215625000, -1.383105e+002,
3217187500, -1.400802e+002,
3218750000, -1.416435e+002,
3220312500, -1.441455e+002,
3221875000, -1.456907e+002,
3223437500, -1.480095e+002,
3225000000, -1.490229e+002,
3226562500, -1.514881e+002,
3228125000, -1.538515e+002,
3229687500, -1.551809e+002,
3231250000, -1.572303e+002,
3232812500, -1.590155e+002,
3234375000, -1.609766e+002,
3235937500, -1.629926e+002,
3237500000, -1.639395e+002,
3239062500, -1.661770e+002,
3240625000, -1.681982e+002,
3242187500, -1.694272e+002,
3243750000, -1.716455e+002,
3245312500, -1.726391e+002,
3246875000, -1.742311e+002,
3248437500, -1.771355e+002,
3250000000, -1.778133e+002,
3251562500, -1.794431e+002,
3253125000, 1.774678e+002,
3254687500, 1.776386e+002,
3256250000, 1.748507e+002,
3257812500, 1.730802e+002,
3259375000, 1.729482e+002,
3260937500, 1.699302e+002,
3262500000, 1.686499e+002,
