"S21 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.577210e+002,
3001562500, 1.553416e+002,
3003125000, 1.540293e+002,
3004687500, 1.523714e+002,
3006250000, 1.507509e+002,
3007812500, 1.488821e+002,
3009375000, 1.469248e+002,
3010937500, 1.451881e+002,
3012500000, 1.433538e+002,
3014062500, 1.419410e+002,
3015625000, 1.398083e+002,
3017187500, 1.376713e+002,
3018750000, 1.359747e+002,
3020312500, 1.341164e+002,
3021875000, 1.323421e+002,
3023437500, 1.303747e+002,
3025000000, 1.283408e+002,
3026562500, 1.263417e+002,
3028125000, 1.243485e+002,
3029687500, 1.222560e+002,
3031250000, 1.204985e+002,
3032812500, 1.183414e+002,
3034375000, 1.163466e+002,
3035937500, 1.144902e+002,
3037500000, 1.123003e+002,
3039062500, 1.104875e+002,
3040625000, 1.084394e+002,
3042187500, 1.063792e+002,
3043750000, 1.040932e+002,
3045312500, 1.019525e+002,
3046875000, 9.966447e+001,
3048437500, 9.765173e+001,
3050000000, 9.551290e+001,
3051562500, 9.348234e+001,
3053125000, 9.119716e+001,
3054687500, 8.914763e+001,
3056250000, 8.662368e+001,
3057812500, 8.470305e+001,
3059375000, 8.250691e+001,
3060937500, 8.035349e+001,
3062500000, 7.808390e+001,
3064062500, 7.574684e+001,
3065625000, 7.408280e+001,
3067187500, 7.171703e+001,
3068750000, 6.950754e+001,
3070312500, 6.735192e+001,
3071875000, 6.543461e+001,
3073437500, 6.304432e+001,
3075000000, 6.092227e+001,
3076562500, 5.876291e+001,
3078125000, 5.654931e+001,
3079687500, 5.467381e+001,
3081250000, 5.237637e+001,
3082812500, 5.003704e+001,
3084375000, 4.835373e+001,
3085937500, 4.599715e+001,
3087500000, 4.405383e+001,
3089062500, 4.177645e+001,
3090625000, 3.991799e+001,
3092187500, 3.775026e+001,
3093750000, 3.594142e+001,
3095312500, 3.384110e+001,
3096875000, 3.135436e+001,
3098437500, 2.949491e+001,
3100000000, 2.722511e+001,
3101562500, 2.550903e+001,
3103125000, 2.324147e+001,
3104687500, 2.128033e+001,
3106250000, 1.878737e+001,
3107812500, 1.712749e+001,
3109375000, 1.457064e+001,
3110937500, 1.216583e+001,
3112500000, 1.041531e+001,
3114062500, 8.266506e+000,
3115625000, 6.167407e+000,
3117187500, 3.729285e+000,
3118750000, 1.829822e+000,
3120312500, -4.245909e-001,
3121875000, -2.679831e+000,
3123437500, -4.666233e+000,
3125000000, -6.656673e+000,
3126562500, -9.041629e+000,
3128125000, -1.121306e+001,
3129687500, -1.334489e+001,
3131250000, -1.554191e+001,
3132812500, -1.797678e+001,
3134375000, -1.992676e+001,
3135937500, -2.219460e+001,
3137500000, -2.420497e+001,
3139062500, -2.658166e+001,
3140625000, -2.918053e+001,
3142187500, -3.149141e+001,
3143750000, -3.372048e+001,
3145312500, -3.562337e+001,
3146875000, -3.813963e+001,
3148437500, -4.049269e+001,
3150000000, -4.280760e+001,
3151562500, -4.499538e+001,
3153125000, -4.738269e+001,
3154687500, -4.972581e+001,
3156250000, -5.188350e+001,
3157812500, -5.424062e+001,
3159375000, -5.671225e+001,
3160937500, -5.869116e+001,
3162500000, -6.120660e+001,
3164062500, -6.361710e+001,
3165625000, -6.603493e+001,
3167187500, -6.827290e+001,
3168750000, -7.065909e+001,
3170312500, -7.300778e+001,
3171875000, -7.531182e+001,
3173437500, -7.775809e+001,
3175000000, -8.017641e+001,
3176562500, -8.255016e+001,
3178125000, -8.466725e+001,
3179687500, -8.707551e+001,
3181250000, -8.944773e+001,
3182812500, -9.142034e+001,
3184375000, -9.398029e+001,
3185937500, -9.597793e+001,
3187500000, -9.807848e+001,
3189062500, -1.002601e+002,
3190625000, -1.026408e+002,
3192187500, -1.044461e+002,
3193750000, -1.067469e+002,
3195312500, -1.090384e+002,
3196875000, -1.110398e+002,
3198437500, -1.131066e+002,
3200000000, -1.154825e+002,
3201562500, -1.174827e+002,
3203125000, -1.193100e+002,
3204687500, -1.215155e+002,
3206250000, -1.236470e+002,
3207812500, -1.257358e+002,
3209375000, -1.274546e+002,
3210937500, -1.295589e+002,
3212500000, -1.315416e+002,
3214062500, -1.334535e+002,
3215625000, -1.356326e+002,
3217187500, -1.368918e+002,
3218750000, -1.393421e+002,
3220312500, -1.410134e+002,
3221875000, -1.429199e+002,
3223437500, -1.448649e+002,
3225000000, -1.465245e+002,
3226562500, -1.485947e+002,
3228125000, -1.502364e+002,
3229687500, -1.521037e+002,
3231250000, -1.537825e+002,
3232812500, -1.556966e+002,
3234375000, -1.578202e+002,
3235937500, -1.589690e+002,
3237500000, -1.610563e+002,
3239062500, -1.629586e+002,
3240625000, -1.643941e+002,
3242187500, -1.663693e+002,
3243750000, -1.678843e+002,
3245312500, -1.698908e+002,
3246875000, -1.715963e+002,
3248437500, -1.729575e+002,
3250000000, -1.750409e+002,
3251562500, -1.765762e+002,
3253125000, -1.779914e+002,
3254687500, -1.796893e+002,
3256250000, 1.788962e+002,
3257812500, 1.766777e+002,
3259375000, 1.752066e+002,
3260937500, 1.737509e+002,
3262500000, 1.720227e+002,
3264062500, 1.702861e+002,
3265625000, 1.686391e+002,
3267187500, 1.667084e+002,
3268750000, 1.655398e+002,
3270312500, 1.634497e+002,
3271875000, 1.619293e+002,
3273437500, 1.603152e+002,
3275000000, 1.586019e+002,
3276562500, 1.571022e+002,
3278125000, 1.551392e+002,
3279687500, 1.535634e+002,
3281250000, 1.523184e+002,
3282812500, 1.503825e+002,
3284375000, 1.489395e+002,
3285937500, 1.466213e+002,
3287500000, 1.454133e+002,
3289062500, 1.435799e+002,
3290625000, 1.418907e+002,
3292187500, 1.402157e+002,
3293750000, 1.386945e+002,
3295312500, 1.363170e+002,
3296875000, 1.345358e+002,
3298437500, 1.327766e+002,
3300000000, 1.308406e+002,
3301562500, 1.296537e+002,
3303125000, 1.276120e+002,
3304687500, 1.252445e+002,
3306250000, 1.237020e+002,
3307812500, 1.217615e+002,
3309375000, 1.199417e+002,
3310937500, 1.180958e+002,
3312500000, 1.161362e+002,
3314062500, 1.139855e+002,
3315625000, 1.121903e+002,
3317187500, 1.105396e+002,
3318750000, 1.078779e+002,
3320312500, 1.064699e+002,
3321875000, 1.045097e+002,
3323437500, 1.021691e+002,
3325000000, 1.002499e+002,
3326562500, 9.821121e+001,
3328125000, 9.602492e+001,
