"S12 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.629844e+002,
3001562500, 1.612326e+002,
3003125000, 1.591236e+002,
3004687500, 1.573174e+002,
3006250000, 1.558195e+002,
3007812500, 1.538628e+002,
3009375000, 1.520580e+002,
3010937500, 1.498890e+002,
3012500000, 1.482056e+002,
3014062500, 1.461864e+002,
3015625000, 1.444647e+002,
3017187500, 1.424931e+002,
3018750000, 1.406822e+002,
3020312500, 1.385541e+002,
3021875000, 1.366223e+002,
3023437500, 1.345664e+002,
3025000000, 1.326483e+002,
3026562500, 1.307753e+002,
3028125000, 1.286742e+002,
3029687500, 1.266226e+002,
3031250000, 1.244791e+002,
3032812500, 1.226607e+002,
3034375000, 1.206318e+002,
3035937500, 1.186852e+002,
3037500000, 1.166210e+002,
3039062500, 1.144124e+002,
3040625000, 1.124128e+002,
3042187500, 1.103687e+002,
3043750000, 1.082666e+002,
3045312500, 1.057503e+002,
3046875000, 1.041131e+002,
3048437500, 1.016854e+002,
3050000000, 9.970741e+001,
3051562500, 9.711685e+001,
3053125000, 9.548802e+001,
3054687500, 9.286018e+001,
3056250000, 9.092479e+001,
3057812500, 8.854790e+001,
3059375000, 8.623448e+001,
3060937500, 8.399912e+001,
3062500000, 8.193438e+001,
3064062500, 7.993803e+001,
3065625000, 7.728582e+001,
3067187500, 7.555865e+001,
3068750000, 7.328551e+001,
3070312500, 7.124330e+001,
3071875000, 6.932760e+001,
3073437500, 6.686371e+001,
3075000000, 6.454375e+001,
3076562500, 6.245485e+001,
3078125000, 6.044234e+001,
3079687500, 5.787128e+001,
3081250000, 5.582452e+001,
3082812500, 5.353944e+001,
3084375000, 5.164677e+001,
3085937500, 4.951557e+001,
3087500000, 4.700862e+001,
3089062500, 4.523603e+001,
3090625000, 4.285204e+001,
3092187500, 4.094079e+001,
3093750000, 3.905361e+001,
3095312500, 3.630132e+001,
3096875000, 3.453063e+001,
3098437500, 3.224351e+001,
3100000000, 3.021815e+001,
3101562500, 2.828794e+001,
3103125000, 2.605991e+001,
3104687500, 2.415969e+001,
3106250000, 2.226872e+001,
3107812500, 1.955889e+001,
3109375000, 1.822579e+001,
3110937500, 1.549087e+001,
3112500000, 1.350908e+001,
3114062500, 1.167567e+001,
3115625000, 9.205024e+000,
3117187500, 7.318026e+000,
3118750000, 5.230957e+000,
3120312500, 3.191618e+000,
3121875000, 1.317005e+000,
3123437500, -9.649322e-001,
3125000000, -2.939222e+000,
3126562500, -4.890024e+000,
3128125000, -7.382642e+000,
3129687500, -8.994624e+000,
3131250000, -1.118680e+001,
3132812500, -1.360183e+001,
3134375000, -1.554106e+001,
3135937500, -1.742479e+001,
3137500000, -1.989103e+001,
3139062500, -2.210751e+001,
3140625000, -2.391240e+001,
3142187500, -2.622357e+001,
3143750000, -2.833392e+001,
3145312500, -3.062209e+001,
3146875000, -3.290312e+001,
3148437500, -3.493709e+001,
