"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.861419e+001,
3001562500, -4.863965e+001,
3003125000, -4.856906e+001,
3004687500, -4.856199e+001,
3006250000, -4.848463e+001,
3007812500, -4.853167e+001,
3009375000, -4.840615e+001,
3010937500, -4.840830e+001,
3012500000, -4.837770e+001,
3014062500, -4.825514e+001,
3015625000, -4.827991e+001,
3017187500, -4.821732e+001,
3018750000, -4.822485e+001,
3020312500, -4.807788e+001,
3021875000, -4.812561e+001,
3023437500, -4.804547e+001,
3025000000, -4.801831e+001,
3026562500, -4.796820e+001,
3028125000, -4.789353e+001,
3029687500, -4.785699e+001,
3031250000, -4.785639e+001,
3032812500, -4.774548e+001,
3034375000, -4.771862e+001,
3035937500, -4.765727e+001,
3037500000, -4.765001e+001,
3039062500, -4.756661e+001,
3040625000, -4.751659e+001,
3042187500, -4.747958e+001,
3043750000, -4.748190e+001,
3045312500, -4.740693e+001,
3046875000, -4.739582e+001,
3048437500, -4.737669e+001,
3050000000, -4.726457e+001,
3051562500, -4.727893e+001,
3053125000, -4.725708e+001,
3054687500, -4.720293e+001,
3056250000, -4.716662e+001,
3057812500, -4.712434e+001,
3059375000, -4.706784e+001,
3060937500, -4.713522e+001,
3062500000, -4.707131e+001,
3064062500, -4.701835e+001,
3065625000, -4.702510e+001,
3067187500, -4.692601e+001,
3068750000, -4.696582e+001,
3070312500, -4.690487e+001,
3071875000, -4.691406e+001,
3073437500, -4.682719e+001,
3075000000, -4.684797e+001,
3076562500, -4.682145e+001,
3078125000, -4.679091e+001,
3079687500, -4.683518e+001,
3081250000, -4.678956e+001,
3082812500, -4.680693e+001,
3084375000, -4.673532e+001,
3085937500, -4.674591e+001,
3087500000, -4.675295e+001,
3089062500, -4.675929e+001,
3090625000, -4.672311e+001,
3092187500, -4.670975e+001,
3093750000, -4.669210e+001,
3095312500, -4.668688e+001,
3096875000, -4.667007e+001,
3098437500, -4.664143e+001,
3100000000, -4.659728e+001,
3101562500, -4.664626e+001,
3103125000, -4.663531e+001,
3104687500, -4.659092e+001,
3106250000, -4.657864e+001,
3107812500, -4.648289e+001,
3109375000, -4.657277e+001,
3110937500, -4.651945e+001,
3112500000, -4.658330e+001,
3114062500, -4.655865e+001,
3115625000, -4.654946e+001,
3117187500, -4.650956e+001,
3118750000, -4.656282e+001,
3120312500, -4.650030e+001,
3121875000, -4.654609e+001,
3123437500, -4.652433e+001,
3125000000, -4.652953e+001,
3126562500, -4.649903e+001,
3128125000, -4.656299e+001,
3129687500, -4.650671e+001,
3131250000, -4.648687e+001,
3132812500, -4.647567e+001,
3134375000, -4.647500e+001,
3135937500, -4.645111e+001,
3137500000, -4.643542e+001,
3139062500, -4.642389e+001,
3140625000, -4.648189e+001,
3142187500, -4.647827e+001,
3143750000, -4.641071e+001,
3145312500, -4.640647e+001,
3146875000, -4.639990e+001,
3148437500, -4.643124e+001,
3150000000, -4.643966e+001,
3151562500, -4.643298e+001,
3153125000, -4.638836e+001,
3154687500, -4.641901e+001,
3156250000, -4.643674e+001,
3157812500, -4.637761e+001,
3159375000, -4.652476e+001,
3160937500, -4.642724e+001,
3162500000, -4.650373e+001,
3164062500, -4.651397e+001,
3165625000, -4.648737e+001,
3167187500, -4.648839e+001,
3168750000, -4.651401e+001,
3170312500, -4.657978e+001,
3171875000, -4.655478e+001,
3173437500, -4.666626e+001,
3175000000, -4.659116e+001,
3176562500, -4.658017e+001,
3178125000, -4.660226e+001,
3179687500, -4.672840e+001,
3181250000, -4.665002e+001,
3182812500, -4.675016e+001,
3184375000, -4.677188e+001,
3185937500, -4.669962e+001,
3187500000, -4.679619e+001,
3189062500, -4.683184e+001,
3190625000, -4.686253e+001,
3192187500, -4.681209e+001,
3193750000, -4.690908e+001,
3195312500, -4.697177e+001,
3196875000, -4.685506e+001,
3198437500, -4.707584e+001,
3200000000, -4.707537e+001,
3201562500, -4.706031e+001,
3203125000, -4.706734e+001,
3204687500, -4.714557e+001,
3206250000, -4.721213e+001,
3207812500, -4.711207e+001,
3209375000, -4.724358e+001,
3210937500, -4.733757e+001,
3212500000, -4.724163e+001,
3214062500, -4.727060e+001,
3215625000, -4.739148e+001,
3217187500, -4.744643e+001,
3218750000, -4.735113e+001,
3220312500, -4.738985e+001,
3221875000, -4.762966e+001,
3223437500, -4.748768e+001,
3225000000, -4.754789e+001,
3226562500, -4.759541e+001,
3228125000, -4.766765e+001,
3229687500, -4.767878e+001,
3231250000, -4.763610e+001,
3232812500, -4.773415e+001,
3234375000, -4.783681e+001,
3235937500, -4.774771e+001,
3237500000, -4.782239e+001,
3239062500, -4.784797e+001,
3240625000, -4.788556e+001,
3242187500, -4.794983e+001,
3243750000, -4.785592e+001,
3245312500, -4.793880e+001,
3246875000, -4.808090e+001,
3248437500, -4.792982e+001,
3250000000, -4.812917e+001,
3251562500, -4.808340e+001,
3253125000, -4.809540e+001,
3254687500, -4.804502e+001,
3256250000, -4.812974e+001,
3257812500, -4.816928e+001,
3259375000, -4.820047e+001,
3260937500, -4.806325e+001,
