"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -4.794571e+001,
3001562500, -4.794841e+001,
3003125000, -4.792111e+001,
3004687500, -4.787128e+001,
3006250000, -4.780423e+001,
3007812500, -4.779339e+001,
3009375000, -4.773785e+001,
3010937500, -4.771546e+001,
3012500000, -4.767606e+001,
3014062500, -4.764468e+001,
3015625000, -4.756080e+001,
3017187500, -4.757821e+001,
3018750000, -4.753072e+001,
3020312500, -4.744600e+001,
3021875000, -4.741695e+001,
3023437500, -4.741042e+001,
3025000000, -4.733798e+001,
3026562500, -4.731358e+001,
3028125000, -4.724922e+001,
3029687500, -4.723294e+001,
3031250000, -4.715940e+001,
3032812500, -4.713099e+001,
3034375000, -4.703999e+001,
3035937500, -4.706110e+001,
3037500000, -4.699262e+001,
3039062500, -4.698352e+001,
3040625000, -4.692405e+001,
3042187500, -4.687256e+001,
3043750000, -4.683177e+001,
3045312500, -4.678142e+001,
3046875000, -4.672667e+001,
3048437500, -4.671227e+001,
3050000000, -4.670667e+001,
3051562500, -4.662203e+001,
3053125000, -4.662825e+001,
3054687500, -4.659483e+001,
3056250000, -4.652560e+001,
3057812500, -4.656283e+001,
3059375000, -4.650854e+001,
3060937500, -4.643036e+001,
3062500000, -4.643681e+001,
3064062500, -4.642461e+001,
3065625000, -4.643062e+001,
3067187500, -4.639152e+001,
3068750000, -4.635117e+001,
3070312500, -4.630375e+001,
3071875000, -4.634843e+001,
3073437500, -4.625388e+001,
3075000000, -4.629572e+001,
3076562500, -4.623254e+001,
3078125000, -4.620715e+001,
3079687500, -4.619986e+001,
3081250000, -4.615779e+001,
3082812500, -4.616623e+001,
3084375000, -4.619540e+001,
3085937500, -4.613602e+001,
3087500000, -4.620174e+001,
3089062500, -4.614954e+001,
3090625000, -4.616628e+001,
3092187500, -4.614491e+001,
3093750000, -4.612295e+001,
3095312500, -4.614796e+001,
3096875000, -4.611057e+001,
3098437500, -4.609304e+001,
3100000000, -4.607123e+001,
3101562500, -4.611396e+001,
3103125000, -4.605829e+001,
3104687500, -4.605986e+001,
3106250000, -4.601714e+001,
3107812500, -4.599725e+001,
3109375000, -4.606390e+001,
3110937500, -4.596027e+001,
3112500000, -4.604878e+001,
3114062500, -4.594912e+001,
3115625000, -4.598505e+001,
3117187500, -4.597257e+001,
3118750000, -4.594359e+001,
3120312500, -4.590932e+001,
3121875000, -4.591330e+001,
3123437500, -4.587569e+001,
3125000000, -4.589964e+001,
3126562500, -4.586583e+001,
3128125000, -4.585558e+001,
3129687500, -4.582378e+001,
3131250000, -4.584212e+001,
3132812500, -4.582412e+001,
3134375000, -4.582434e+001,
3135937500, -4.571510e+001,
3137500000, -4.571770e+001,
3139062500, -4.571534e+001,
3140625000, -4.570303e+001,
3142187500, -4.568657e+001,
3143750000, -4.568471e+001,
3145312500, -4.568313e+001,
